VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
2202,PITTSBURGTHEATER3,BL2,BALCONY LEFT,11,A,BLUE,CENTER,,RECT,
2202,PITTSBURGTHEATER3,BLC2,BALCONY LEFT CENTER,9,A,BLUE,CENTER,,RECT,
2202,PITTSBURGTHEATER3,BR2,BALCONY RIGHT,12,A,BLUE,CENTER,,RECT,
2202,PITTSBURGTHEATER3,BRC2,BALCONY RIGHT CENTER,10,A,BLUE,CENTER,,RECT,
2202,PITTSBURGTHEATER3,FC2,FLOOR CENTER,6,A,BLUE,CENTER,,RECT,
2202,PITTSBURGTHEATER3,FLC2,FLOOR LEFT CENTER,7,A,BLUE,CENTER,,RECT,
2202,PITTSBURGTHEATER3,FRC2,FLOOR RIGHT CENTER,8,A,BLUE,CENTER,,RECT,
2202,PITTSBURGTHEATER3,BLC1,BALCONY LEFT CENTER,4,A,GOLD,CENTER,,RECT,
2202,PITTSBURGTHEATER3,BRC1,BALCONY RIGHT CENTER,5,A,GOLD,CENTER,,RECT,
2202,PITTSBURGTHEATER3,FC1,FLOOR CENTER,1,A,GOLD,CENTER,,RECT,
2202,PITTSBURGTHEATER3,FLC1,FLOOR LEFT CENTER,2,A,GOLD,CENTER,,RECT,
2202,PITTSBURGTHEATER3,FRC1,FLOOR RIGHT CENTER,3,A,GOLD,CENTER,,RECT,
2202,PITTSBURGTHEATER3,BL4,BALCONY LEFT,10,A,GREEN,CENTER,,RECT,
2202,PITTSBURGTHEATER3,BLC4,BALCONY LEFT CENTER,18,A,GREEN,CENTER,,RECT,
2202,PITTSBURGTHEATER3,BR4,BALCONY RIGHT,21,A,GREEN,CENTER,,RECT,
2202,PITTSBURGTHEATER3,BRC4,BALCONY RIGHT CENTER,19,A,GREEN,CENTER,,RECT,
2202,PITTSBURGTHEATER3,FC4,FLOOR CENTER,15,A,GREEN,CENTER,,RECT,
2202,PITTSBURGTHEATER3,FLC4,FLOOR LEFT CENTER,16,A,GREEN,CENTER,,RECT,
2202,PITTSBURGTHEATER3,FRC4,FLOOR RIGHT CENTER,17,A,GREEN,CENTER,,RECT,
2202,PITTSBURGTHEATER3,FL3,FLOOR LEFT,13,A,PURPLE,CENTER,,RECT,
2202,PITTSBURGTHEATER3,FR3,FLOOR RIGHT,14,A,PURPLE,CENTER,,RECT,
2202,PITTSBURGTHEATER3,FL5,FLOOR LEFT,22,A,RED,CENTER,,RECT,
2202,PITTSBURGTHEATER3,FR5,FLOOR RIGHT,23,A,RED,CENTER,,RECT,
