VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates,DirectionImage
4494,UPLANDSPORTSARENA1,RINGA,RINGSIDE A,1,A,BLUE,LEFT,,RECT,,
4494,UPLANDSPORTSARENA1,RINGB,RINGSIDE B,2,A,BLUE,LEFT,,RECT,,
4494,UPLANDSPORTSARENA1,RINGC,RINGSIDE C,3,A,BLUE,LEFT,,RECT,,
4494,UPLANDSPORTSARENA1,RINGD,RINGSIDE D,4,A,BLUE,LEFT,,RECT,,
4494,UPLANDSPORTSARENA1,GOLDA,GOLD A,5,A,GOLD,LEFT,,RECT,,
4494,UPLANDSPORTSARENA1,GOLDB,GOLD B,6,A,GOLD,LEFT,,RECT,,
4494,UPLANDSPORTSARENA1,GOLDC,GOLD C,7,A,GOLD,LEFT,,RECT,,
4494,UPLANDSPORTSARENA1,GOLDD,GOLD D,8,A,GOLD,LEFT,,RECT,,
4494,UPLANDSPORTSARENA1,SLVRA,SILVER A,9,A,GREEN,LEFT,,RECT,,
4494,UPLANDSPORTSARENA1,SLVRB,SILVER B,10,A,GREEN,LEFT,,RECT,,
4494,UPLANDSPORTSARENA1,SLVRC,SILVER C,11,A,GREEN,LEFT,,RECT,,
4494,UPLANDSPORTSARENA1,SLVRD,SILVER D,12,A,GREEN,LEFT,,RECT,,
4494,UPLANDSPORTSARENA1,RESVA,RESERVED A,13,A,ORANGE,LEFT,,RECT,,
4494,UPLANDSPORTSARENA1,RESVB,RESERVED B,14,A,ORANGE,LEFT,,RECT,,
4494,UPLANDSPORTSARENA1,RESVC,RESERVED C,15,A,ORANGE,LEFT,,RECT,,
4494,UPLANDSPORTSARENA1,RESVD,RESERVED D,16,A,ORANGE,LEFT,,RECT
4494,UPLANDSPORTSARENA1,GA,GENERAL ADMISSION,17,A,RED,LEFT,general,POLY
