VenueCode,Template Name,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
4119,SEASHORELINES3,1000G, , ,1,A,1,1,1,,0
4119,SEASHORELINES3,1000G, , ,2,A,0,1,2,,0
4119,SEASHORELINES3,1000G, , ,3,A,0,1,3,,0
4119,SEASHORELINES3,1000G, , ,4,A,0,1,4,,0
4119,SEASHORELINES3,1000G, , ,5,A,0,1,5,,0
4119,SEASHORELINES3,1000G, , ,6,A,0,1,6,,0
4119,SEASHORELINES3,1000G, , ,7,A,0,1,7,,0
4119,SEASHORELINES3,1000G, , ,8,A,0,1,8,,0
4119,SEASHORELINES3,1000G, , ,9,A,0,1,9,,0
4119,SEASHORELINES3,1000G, , ,10,A,0,1,10,,0
4119,SEASHORELINES3,1000G, , ,11,A,0,1,11,,0
4119,SEASHORELINES3,1000G, , ,12,A,0,1,12,,0
4119,SEASHORELINES3,1000G, , ,13,A,0,1,13,,0
4119,SEASHORELINES3,1000G, , ,14,A,0,1,14,,0
4119,SEASHORELINES3,1000G, , ,15,A,0,1,15,,0
4119,SEASHORELINES3,1000G, , ,16,A,0,1,16,,0
4119,SEASHORELINES3,1000G, , ,17,A,0,1,17,,0
4119,SEASHORELINES3,1000G, , ,18,A,0,1,18,,0
4119,SEASHORELINES3,1000G, , ,19,A,0,1,19,,0
4119,SEASHORELINES3,1000G, , ,20,A,0,1,20,,0
4119,SEASHORELINES3,1000G, , ,21,A,0,1,21,,0
4119,SEASHORELINES3,1000G, , ,22,A,0,1,22,,0
4119,SEASHORELINES3,1000G, , ,23,A,0,1,23,,0
4119,SEASHORELINES3,1000G, , ,24,A,0,1,24,,0
4119,SEASHORELINES3,1000G, , ,25,A,0,1,25,,0
4119,SEASHORELINES3,1000G, , ,26,A,0,1,26,,0
4119,SEASHORELINES3,1000G, , ,27,A,0,1,27,,0
4119,SEASHORELINES3,1000G, , ,28,A,0,1,28,,0
4119,SEASHORELINES3,1000G, , ,29,A,0,1,29,,0
4119,SEASHORELINES3,1000G, , ,30,A,0,1,30,,0
4119,SEASHORELINES3,1000G, , ,31,A,0,1,31,,0
4119,SEASHORELINES3,1000G, , ,32,A,0,1,32,,0
4119,SEASHORELINES3,1000G, , ,33,A,0,1,33,,0
4119,SEASHORELINES3,1000G, , ,34,A,0,1,34,,0
4119,SEASHORELINES3,1000G, , ,35,A,0,1,35,,0
4119,SEASHORELINES3,1000G, , ,36,A,0,1,36,,0
4119,SEASHORELINES3,1000G, , ,37,A,0,1,37,,0
4119,SEASHORELINES3,1000G, , ,38,A,0,1,38,,0
4119,SEASHORELINES3,1000G, , ,39,A,0,1,39,,0
4119,SEASHORELINES3,1000G, , ,40,A,0,1,40,,0
4119,SEASHORELINES3,1000G, , ,41,A,0,1,41,,0
4119,SEASHORELINES3,1000G, , ,42,A,0,1,42,,0
4119,SEASHORELINES3,1000G, , ,43,A,0,1,43,,0
4119,SEASHORELINES3,1000G, , ,44,A,0,1,44,,0
4119,SEASHORELINES3,1000G, , ,45,A,0,1,45,,0
4119,SEASHORELINES3,1000G, , ,46,A,0,1,46,,0
4119,SEASHORELINES3,1000G, , ,47,A,0,1,47,,0
4119,SEASHORELINES3,1000G, , ,48,A,0,1,48,,0
4119,SEASHORELINES3,1000G, , ,49,A,0,1,49,,0
4119,SEASHORELINES3,1000G, , ,50,A,0,1,50,,0
4119,SEASHORELINES3,1000G, , ,51,A,0,1,51,,0
4119,SEASHORELINES3,1000G, , ,52,A,0,1,52,,0
4119,SEASHORELINES3,1000G, , ,53,A,0,1,53,,0
4119,SEASHORELINES3,1000G, , ,54,A,0,1,54,,0
4119,SEASHORELINES3,1000G, , ,55,A,0,1,55,,0
4119,SEASHORELINES3,1000G, , ,56,A,0,1,56,,0
4119,SEASHORELINES3,1000G, , ,57,A,0,1,57,,0
4119,SEASHORELINES3,1000G, , ,58,A,0,1,58,,0
4119,SEASHORELINES3,1000G, , ,59,A,0,1,59,,0
4119,SEASHORELINES3,1000G, , ,60,A,0,1,60,,0
4119,SEASHORELINES3,1000G, , ,61,A,0,1,61,,0
4119,SEASHORELINES3,1000G, , ,62,A,0,1,62,,0
4119,SEASHORELINES3,1000G, , ,63,A,0,1,63,,0
4119,SEASHORELINES3,1000G, , ,64,A,0,1,64,,0
4119,SEASHORELINES3,1000G, , ,65,A,0,1,65,,0
4119,SEASHORELINES3,1000G, , ,66,A,0,1,66,,0
4119,SEASHORELINES3,1000G, , ,67,A,0,1,67,,0
4119,SEASHORELINES3,1000G, , ,68,A,0,1,68,,0
4119,SEASHORELINES3,1000G, , ,69,A,0,1,69,,0
4119,SEASHORELINES3,1000G, , ,70,A,1,1,70,,0
4119,SEASHORELINES3,1000C, , ,71,A,1,1,1,,0
4119,SEASHORELINES3,1000C, , ,72,A,0,1,2,,0
