VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
4565,WOODSIDEHIGH1,STFLT,A,24,75,A,1,1,1,,0
4565,WOODSIDEHIGH1,STFLT,A,23,76,A,0,1,2,,0
4565,WOODSIDEHIGH1,STFLT,A,22,77,A,0,1,3,,0
4565,WOODSIDEHIGH1,STFLT,A,21,78,A,0,1,4,,0
4565,WOODSIDEHIGH1,STFLT,A,20,79,A,0,1,5,,0
4565,WOODSIDEHIGH1,STFLT,A,19,80,A,0,1,6,,0
4565,WOODSIDEHIGH1,STFLT,A,18,81,A,0,1,7,,0
4565,WOODSIDEHIGH1,STFLT,A,17,82,A,1,1,8,,0
4565,WOODSIDEHIGH1,STFLT,B,25,83,A,1,2,1,,0
4565,WOODSIDEHIGH1,STFLT,B,24,84,A,0,2,2,,0
4565,WOODSIDEHIGH1,STFLT,B,23,85,A,0,2,3,,0
4565,WOODSIDEHIGH1,STFLT,B,22,86,A,0,2,4,,0
4565,WOODSIDEHIGH1,STFLT,B,21,87,A,0,2,5,,0
4565,WOODSIDEHIGH1,STFLT,B,20,88,A,0,2,6,,0
4565,WOODSIDEHIGH1,STFLT,B,19,89,A,0,2,7,,0
4565,WOODSIDEHIGH1,STFLT,B,18,90,A,1,2,8,,0
4565,WOODSIDEHIGH1,STFLT,C,26,91,A,1,3,1,,0
4565,WOODSIDEHIGH1,STFLT,C,25,92,A,0,3,2,,0
4565,WOODSIDEHIGH1,STFLT,C,24,93,A,0,3,3,,0
4565,WOODSIDEHIGH1,STFLT,C,23,94,A,0,3,4,,0
4565,WOODSIDEHIGH1,STFLT,C,22,95,A,0,3,5,,0
4565,WOODSIDEHIGH1,STFLT,C,21,96,A,0,3,6,,0
4565,WOODSIDEHIGH1,STFLT,C,20,97,A,0,3,7,,0
4565,WOODSIDEHIGH1,STFLT,C,19,98,A,1,3,8,,0
4565,WOODSIDEHIGH1,STFLT,D,27,99,A,1,4,1,,0
4565,WOODSIDEHIGH1,STFLT,D,26,100,A,0,4,2,,0
4565,WOODSIDEHIGH1,STFLT,D,25,101,A,0,4,3,,0
4565,WOODSIDEHIGH1,STFLT,D,24,102,A,0,4,4,,0
4565,WOODSIDEHIGH1,STFLT,D,23,103,A,0,4,5,,0
4565,WOODSIDEHIGH1,STFLT,D,22,104,A,0,4,6,,0
4565,WOODSIDEHIGH1,STFLT,D,21,105,A,0,4,7,,0
4565,WOODSIDEHIGH1,STFLT,D,20,106,A,1,4,8,,0
4565,WOODSIDEHIGH1,STFLT,E,30,107,A,1,5,1,,0
4565,WOODSIDEHIGH1,STFLT,E,29,108,A,0,5,2,,0
4565,WOODSIDEHIGH1,STFLT,E,28,109,A,0,5,3,,0
4565,WOODSIDEHIGH1,STFLT,E,27,110,A,0,5,4,,0
4565,WOODSIDEHIGH1,STFLT,E,26,111,A,0,5,5,,0
4565,WOODSIDEHIGH1,STFLT,E,25,112,A,0,5,6,,0
4565,WOODSIDEHIGH1,STFLT,E,24,113,A,0,5,7,,0
4565,WOODSIDEHIGH1,STFLT,E,23,114,A,0,5,8,,0
4565,WOODSIDEHIGH1,STFLT,E,22,115,A,1,5,9,,0
4565,WOODSIDEHIGH1,STFLT,F,31,116,A,1,6,1,,0
4565,WOODSIDEHIGH1,STFLT,F,30,117,A,0,6,2,,0
4565,WOODSIDEHIGH1,STFLT,F,29,118,A,0,6,3,,0
4565,WOODSIDEHIGH1,STFLT,F,28,119,A,0,6,4,,0
4565,WOODSIDEHIGH1,STFLT,F,27,120,A,0,6,5,,0
4565,WOODSIDEHIGH1,STFLT,F,26,121,A,0,6,6,,0
4565,WOODSIDEHIGH1,STFLT,F,25,122,A,0,6,7,,0
4565,WOODSIDEHIGH1,STFLT,F,24,123,A,0,6,8,,0
4565,WOODSIDEHIGH1,STFLT,F,23,124,A,1,6,9,,0
4565,WOODSIDEHIGH1,STFLT,G,27,125,A,1,7,1,,0
4565,WOODSIDEHIGH1,STFLT,G,26,126,A,0,7,2,,0
4565,WOODSIDEHIGH1,STFLT,G,25,127,A,0,7,3,,0
4565,WOODSIDEHIGH1,STFLT,G,24,128,A,0,7,4,,0
4565,WOODSIDEHIGH1,STFLT,G,23,129,A,0,7,5,,0
4565,WOODSIDEHIGH1,STFLT,G,22,130,A,0,7,6,,0
4565,WOODSIDEHIGH1,STFLT,G,21,131,A,0,7,7,,0
4565,WOODSIDEHIGH1,STFLT,G,WC20,132,A,1,7,8,,0
4565,WOODSIDEHIGH1,STLT,H,37,349,A,1,1,1,,0
4565,WOODSIDEHIGH1,STLT,H,36,350,A,0,1,2,,0
4565,WOODSIDEHIGH1,STLT,H,35,351,A,0,1,3,,0
4565,WOODSIDEHIGH1,STLT,H,34,352,A,0,1,4,,0
4565,WOODSIDEHIGH1,STLT,H,33,353,A,0,1,5,,0
4565,WOODSIDEHIGH1,STLT,H,32,354,A,0,1,6,,0
4565,WOODSIDEHIGH1,STLT,H,31,355,A,0,1,7,,0
4565,WOODSIDEHIGH1,STLT,H,30,356,A,0,1,8,,0
4565,WOODSIDEHIGH1,STLT,H,29,357,A,0,1,9,,0
4565,WOODSIDEHIGH1,STLT,H,28,358,A,1,1,10,,0
4565,WOODSIDEHIGH1,STLT,I,38,359,A,1,2,1,,0
4565,WOODSIDEHIGH1,STLT,I,37,360,A,0,2,2,,0
4565,WOODSIDEHIGH1,STLT,I,36,361,A,0,2,3,,0
4565,WOODSIDEHIGH1,STLT,I,35,362,A,0,2,4,,0
4565,WOODSIDEHIGH1,STLT,I,34,363,A,0,2,5,,0
4565,WOODSIDEHIGH1,STLT,I,33,364,A,0,2,6,,0
4565,WOODSIDEHIGH1,STLT,I,32,365,A,0,2,7,,0
4565,WOODSIDEHIGH1,STLT,I,31,366,A,0,2,8,,0
4565,WOODSIDEHIGH1,STLT,I,30,367,A,0,2,9,,0
4565,WOODSIDEHIGH1,STLT,I,29,368,A,1,2,10,,0
4565,WOODSIDEHIGH1,STLT,J,37,369,A,1,3,1,,0
4565,WOODSIDEHIGH1,STLT,J,36,370,A,0,3,2,,0
4565,WOODSIDEHIGH1,STLT,J,35,371,A,0,3,3,,0
4565,WOODSIDEHIGH1,STLT,J,34,372,A,0,3,4,,0
4565,WOODSIDEHIGH1,STLT,J,33,373,A,0,3,5,,0
4565,WOODSIDEHIGH1,STLT,J,32,374,A,0,3,6,,0
4565,WOODSIDEHIGH1,STLT,J,31,375,A,0,3,7,,0
4565,WOODSIDEHIGH1,STLT,J,30,376,A,0,3,8,,0
4565,WOODSIDEHIGH1,STLT,J,29,377,A,1,3,9,,0
4565,WOODSIDEHIGH1,STLT,K,37,378,A,1,4,1,,0
4565,WOODSIDEHIGH1,STLT,K,35,379,A,0,4,2,,0
4565,WOODSIDEHIGH1,STLT,K,34,380,A,0,4,3,,0
4565,WOODSIDEHIGH1,STLT,K,33,381,A,0,4,4,,0
4565,WOODSIDEHIGH1,STLT,K,32,382,A,0,4,5,,0
4565,WOODSIDEHIGH1,STLT,K,31,383,A,0,4,6,,0
4565,WOODSIDEHIGH1,STLT,K,30,384,A,0,4,7,,0
4565,WOODSIDEHIGH1,STLT,K,29,385,A,1,4,8,,0
4565,WOODSIDEHIGH1,STLT,L,37,386,A,1,5,1,,0
4565,WOODSIDEHIGH1,STLT,L,36,387,A,0,5,2,,0
4565,WOODSIDEHIGH1,STLT,L,35,388,A,0,5,3,,0
4565,WOODSIDEHIGH1,STLT,L,34,389,A,0,5,4,,0
4565,WOODSIDEHIGH1,STLT,L,33,390,A,0,5,5,,0
4565,WOODSIDEHIGH1,STLT,L,32,391,A,0,5,6,,0
4565,WOODSIDEHIGH1,STLT,L,31,392,A,0,5,7,,0
4565,WOODSIDEHIGH1,STLT,L,30,393,A,1,5,8,,0
4565,WOODSIDEHIGH1,STLT,M,36,394,A,1,6,1,,0
4565,WOODSIDEHIGH1,STLT,M,35,395,A,0,6,2,,0
4565,WOODSIDEHIGH1,STLT,M,34,396,A,0,6,3,,0
4565,WOODSIDEHIGH1,STLT,M,33,397,A,0,6,4,,0
4565,WOODSIDEHIGH1,STLT,M,32,398,A,0,6,5,,0
4565,WOODSIDEHIGH1,STLT,M,31,399,A,0,6,6,,0
4565,WOODSIDEHIGH1,STLT,M,30,400,A,1,6,7,,0
4565,WOODSIDEHIGH1,STLT,N,36,401,A,1,7,1,,0
4565,WOODSIDEHIGH1,STLT,N,35,402,A,0,7,2,,0
4565,WOODSIDEHIGH1,STLT,N,34,403,A,0,7,3,,0
4565,WOODSIDEHIGH1,STLT,N,33,404,A,0,7,4,,0
4565,WOODSIDEHIGH1,STLT,N,32,405,A,0,7,5,,0
4565,WOODSIDEHIGH1,STLT,N,31,406,A,0,7,6,,0
4565,WOODSIDEHIGH1,STLT,N,30,407,A,1,7,7,,0
4565,WOODSIDEHIGH1,STLT,O,30,408,A,1,8,1,,0
4565,WOODSIDEHIGH1,STLT,O,29,409,A,0,8,2,,0
4565,WOODSIDEHIGH1,STLT,O,28,410,A,0,8,3,,0
4565,WOODSIDEHIGH1,STLT,O,27,411,A,0,8,4,,0
4565,WOODSIDEHIGH1,STLT,O,26,412,A,1,8,5,,0
4565,WOODSIDEHIGH1,STFCT,A,16,1,A,1,1,1,,0
4565,WOODSIDEHIGH1,STFCT,A,15,2,A,0,1,2,,0
4565,WOODSIDEHIGH1,STFCT,A,14,3,A,0,1,3,,0
4565,WOODSIDEHIGH1,STFCT,A,13,4,A,0,1,4,,0
4565,WOODSIDEHIGH1,STFCT,A,12,5,A,0,1,5,,0
4565,WOODSIDEHIGH1,STFCT,A,11,6,A,0,1,6,,0
4565,WOODSIDEHIGH1,STFCT,A,10,7,A,0,1,7,,0
4565,WOODSIDEHIGH1,STFCT,A,9,8,A,1,1,8,,0
4565,WOODSIDEHIGH1,STFCT,B,17,9,A,1,2,1,,0
4565,WOODSIDEHIGH1,STFCT,B,16,10,A,0,2,2,,0
4565,WOODSIDEHIGH1,STFCT,B,15,11,A,0,2,3,,0
4565,WOODSIDEHIGH1,STFCT,B,14,12,A,0,2,4,,0
4565,WOODSIDEHIGH1,STFCT,B,13,13,A,0,2,5,,0
4565,WOODSIDEHIGH1,STFCT,B,12,14,A,0,2,6,,0
4565,WOODSIDEHIGH1,STFCT,B,11,15,A,0,2,7,,0
4565,WOODSIDEHIGH1,STFCT,B,10,16,A,0,2,8,,0
4565,WOODSIDEHIGH1,STFCT,B,9,17,A,1,2,9,,0
4565,WOODSIDEHIGH1,STFCT,C,18,18,A,1,3,1,,0
4565,WOODSIDEHIGH1,STFCT,C,17,19,A,0,3,2,,0
4565,WOODSIDEHIGH1,STFCT,C,16,20,A,0,3,3,,0
4565,WOODSIDEHIGH1,STFCT,C,15,21,A,0,3,4,,0
4565,WOODSIDEHIGH1,STFCT,C,14,22,A,0,3,5,,0
4565,WOODSIDEHIGH1,STFCT,C,13,23,A,0,3,6,,0
4565,WOODSIDEHIGH1,STFCT,C,12,24,A,0,3,7,,0
4565,WOODSIDEHIGH1,STFCT,C,11,25,A,0,3,8,,0
4565,WOODSIDEHIGH1,STFCT,C,10,26,A,0,3,9,,0
4565,WOODSIDEHIGH1,STFCT,C,9,27,A,1,3,10,,0
4565,WOODSIDEHIGH1,STFCT,D,19,28,A,1,4,1,,0
4565,WOODSIDEHIGH1,STFCT,D,18,29,A,0,4,2,,0
4565,WOODSIDEHIGH1,STFCT,D,17,30,A,0,4,3,,0
4565,WOODSIDEHIGH1,STFCT,D,16,31,A,0,4,4,,0
4565,WOODSIDEHIGH1,STFCT,D,15,32,A,0,4,5,,0
4565,WOODSIDEHIGH1,STFCT,D,14,33,A,0,4,6,,0
4565,WOODSIDEHIGH1,STFCT,D,13,34,A,0,4,7,,0
4565,WOODSIDEHIGH1,STFCT,D,12,35,A,0,4,8,,0
4565,WOODSIDEHIGH1,STFCT,D,11,36,A,0,4,9,,0
4565,WOODSIDEHIGH1,STFCT,D,10,37,A,0,4,10,,0
4565,WOODSIDEHIGH1,STFCT,D,9,38,A,1,4,11,,0
4565,WOODSIDEHIGH1,STFCT,E,21,39,A,1,5,1,,0
4565,WOODSIDEHIGH1,STFCT,E,20,40,A,0,5,2,,0
4565,WOODSIDEHIGH1,STFCT,E,19,41,A,0,5,3,,0
4565,WOODSIDEHIGH1,STFCT,E,18,42,A,0,5,4,,0
4565,WOODSIDEHIGH1,STFCT,E,17,43,A,0,5,5,,0
4565,WOODSIDEHIGH1,STFCT,E,16,44,A,0,5,6,,0
4565,WOODSIDEHIGH1,STFCT,E,15,45,A,0,5,7,,0
