VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
2843,CASTROLRACEWAYOVAL2,1,A,49,139,A,1,1,1,,0
2843,CASTROLRACEWAYOVAL2,1,A,48,137,A,0,1,2,,0
2843,CASTROLRACEWAYOVAL2,1,A,47,135,A,0,1,3,,0
2843,CASTROLRACEWAYOVAL2,1,A,46,133,A,0,1,4,,0
2843,CASTROLRACEWAYOVAL2,1,A,45,131,A,0,1,5,,0
2843,CASTROLRACEWAYOVAL2,1,A,44,129,A,0,1,6,,0
2843,CASTROLRACEWAYOVAL2,1,A,43,127,A,0,1,7,,0
2843,CASTROLRACEWAYOVAL2,1,A,42,125,A,0,1,8,,0
2843,CASTROLRACEWAYOVAL2,1,A,41,123,A,0,1,9,,0
2843,CASTROLRACEWAYOVAL2,1,A,40,121,A,0,1,10,,0
2843,CASTROLRACEWAYOVAL2,1,A,39,119,A,0,1,11,,0
2843,CASTROLRACEWAYOVAL2,1,A,38,117,A,0,1,12,,0
2843,CASTROLRACEWAYOVAL2,1,A,37,115,A,0,1,13,,0
2843,CASTROLRACEWAYOVAL2,1,A,36,113,A,1,1,14,,0
2843,CASTROLRACEWAYOVAL2,1,A,35,111,A,1,1,16,,0
2843,CASTROLRACEWAYOVAL2,1,A,34,109,A,0,1,17,,0
2843,CASTROLRACEWAYOVAL2,1,A,33,107,A,0,1,18,,0
2843,CASTROLRACEWAYOVAL2,1,A,32,105,A,0,1,19,,0
2843,CASTROLRACEWAYOVAL2,1,A,31,103,A,0,1,20,,0
2843,CASTROLRACEWAYOVAL2,1,A,30,101,A,0,1,21,,0
2843,CASTROLRACEWAYOVAL2,1,A,29,99,A,0,1,22,,0
2843,CASTROLRACEWAYOVAL2,1,A,28,97,A,0,1,23,,0
2843,CASTROLRACEWAYOVAL2,1,A,27,95,A,0,1,24,,0
2843,CASTROLRACEWAYOVAL2,1,A,26,93,A,0,1,25,,0
2843,CASTROLRACEWAYOVAL2,1,A,25,91,A,0,1,26,,0
2843,CASTROLRACEWAYOVAL2,1,A,24,89,A,0,1,27,,0
2843,CASTROLRACEWAYOVAL2,1,A,23,87,A,0,1,28,,0
2843,CASTROLRACEWAYOVAL2,1,A,22,85,A,0,1,29,,0
2843,CASTROLRACEWAYOVAL2,1,A,21,83,A,0,1,30,,0
2843,CASTROLRACEWAYOVAL2,1,A,20,81,A,0,1,31,,0
2843,CASTROLRACEWAYOVAL2,1,A,19,79,A,0,1,32,,0
2843,CASTROLRACEWAYOVAL2,1,A,18,77,A,0,1,33,,0
2843,CASTROLRACEWAYOVAL2,1,A,17,75,A,0,1,34,,0
2843,CASTROLRACEWAYOVAL2,1,A,16,73,A,0,1,35,,0
2843,CASTROLRACEWAYOVAL2,1,A,15,71,A,1,1,36,,0
2843,CASTROLRACEWAYOVAL2,1,A,14,69,A,1,1,38,,0
2843,CASTROLRACEWAYOVAL2,1,A,13,67,A,0,1,39,,0
2843,CASTROLRACEWAYOVAL2,1,A,12,65,A,0,1,40,,0
2843,CASTROLRACEWAYOVAL2,1,A,11,63,A,0,1,41,,0
2843,CASTROLRACEWAYOVAL2,1,A,10,61,A,0,1,42,,0
2843,CASTROLRACEWAYOVAL2,1,A,9,59,A,0,1,43,,0
2843,CASTROLRACEWAYOVAL2,1,A,8,57,A,0,1,44,,0
2843,CASTROLRACEWAYOVAL2,1,A,7,55,A,0,1,45,,0
2843,CASTROLRACEWAYOVAL2,1,A,6,53,A,0,1,46,,0
2843,CASTROLRACEWAYOVAL2,1,A,5,51,A,0,1,47,,0
2843,CASTROLRACEWAYOVAL2,1,A,4,49,A,0,1,48,,0
2843,CASTROLRACEWAYOVAL2,1,A,3,47,A,0,1,49,,0
2843,CASTROLRACEWAYOVAL2,1,A,2,45,A,0,1,50,,0
2843,CASTROLRACEWAYOVAL2,1,A,1,43,A,1,1,51,,0
2843,CASTROLRACEWAYOVAL2,1,B,49,283,A,1,2,1,,0
2843,CASTROLRACEWAYOVAL2,1,B,48,281,A,0,2,2,,0
2843,CASTROLRACEWAYOVAL2,1,B,47,279,A,0,2,3,,0
2843,CASTROLRACEWAYOVAL2,1,B,46,277,A,0,2,4,,0
2843,CASTROLRACEWAYOVAL2,1,B,45,275,A,0,2,5,,0
2843,CASTROLRACEWAYOVAL2,1,B,44,273,A,0,2,6,,0
2843,CASTROLRACEWAYOVAL2,1,B,43,271,A,0,2,7,,0
2843,CASTROLRACEWAYOVAL2,1,B,42,269,A,0,2,8,,0
2843,CASTROLRACEWAYOVAL2,1,B,41,267,A,0,2,9,,0
2843,CASTROLRACEWAYOVAL2,1,B,40,265,A,0,2,10,,0
2843,CASTROLRACEWAYOVAL2,1,B,39,263,A,0,2,11,,0
2843,CASTROLRACEWAYOVAL2,1,B,38,261,A,0,2,12,,0
2843,CASTROLRACEWAYOVAL2,1,B,37,259,A,0,2,13,,0
2843,CASTROLRACEWAYOVAL2,1,B,36,257,A,1,2,14,,0
2843,CASTROLRACEWAYOVAL2,1,B,35,255,A,1,2,16,,0
2843,CASTROLRACEWAYOVAL2,1,B,34,253,A,0,2,17,,0
2843,CASTROLRACEWAYOVAL2,1,B,33,251,A,0,2,18,,0
2843,CASTROLRACEWAYOVAL2,1,B,32,249,A,0,2,19,,0
2843,CASTROLRACEWAYOVAL2,1,B,31,247,A,0,2,20,,0
2843,CASTROLRACEWAYOVAL2,1,B,30,245,A,0,2,21,,0
2843,CASTROLRACEWAYOVAL2,1,B,29,243,A,0,2,22,,0
2843,CASTROLRACEWAYOVAL2,1,B,28,241,A,0,2,23,,0
2843,CASTROLRACEWAYOVAL2,1,B,27,239,A,0,2,24,,0
2843,CASTROLRACEWAYOVAL2,1,B,26,237,A,0,2,25,,0
2843,CASTROLRACEWAYOVAL2,1,B,25,235,A,0,2,26,,0
2843,CASTROLRACEWAYOVAL2,1,B,24,233,A,0,2,27,,0
2843,CASTROLRACEWAYOVAL2,1,B,23,231,A,0,2,28,,0
2843,CASTROLRACEWAYOVAL2,1,B,22,229,A,0,2,29,,0
2843,CASTROLRACEWAYOVAL2,1,B,21,227,A,0,2,30,,0
2843,CASTROLRACEWAYOVAL2,1,B,20,225,A,0,2,31,,0
2843,CASTROLRACEWAYOVAL2,1,B,19,223,A,0,2,32,,0
2843,CASTROLRACEWAYOVAL2,1,B,18,221,A,0,2,33,,0
2843,CASTROLRACEWAYOVAL2,1,B,17,219,A,0,2,34,,0
2843,CASTROLRACEWAYOVAL2,1,B,16,217,A,0,2,35,,0
2843,CASTROLRACEWAYOVAL2,1,B,15,215,A,1,2,36,,0
2843,CASTROLRACEWAYOVAL2,1,B,14,213,A,1,2,38,,0
2843,CASTROLRACEWAYOVAL2,1,B,13,211,A,0,2,39,,0
2843,CASTROLRACEWAYOVAL2,1,B,12,209,A,0,2,40,,0
2843,CASTROLRACEWAYOVAL2,1,B,11,207,A,0,2,41,,0
2843,CASTROLRACEWAYOVAL2,1,B,10,205,A,0,2,42,,0
2843,CASTROLRACEWAYOVAL2,1,B,9,203,A,0,2,43,,0
2843,CASTROLRACEWAYOVAL2,1,B,8,201,A,0,2,44,,0
2843,CASTROLRACEWAYOVAL2,1,B,7,199,A,0,2,45,,0
2843,CASTROLRACEWAYOVAL2,1,B,6,197,A,0,2,46,,0
2843,CASTROLRACEWAYOVAL2,1,B,5,195,A,0,2,47,,0
2843,CASTROLRACEWAYOVAL2,1,B,4,193,A,0,2,48,,0
2843,CASTROLRACEWAYOVAL2,1,B,3,191,A,0,2,49,,0
2843,CASTROLRACEWAYOVAL2,1,B,2,189,A,0,2,50,,0
