OrderNumber,NewItemNumber,SectionCode,Row,Seat,OldItemNumber,ExchangedFlag,ParentLineNumber
975066,10768723,SEC1,C,49,,,5
975066,10768722,SEC1,C,50,,,1
975035,10768481,SEC1,U,25,,,29
975049,10770618,SEC1,U,43,,,9
975043,10768555,SEC1,V,1,,,21
975054,10768546,SEC1,V,10,,,5
975054,10768545,SEC1,V,11,,,1
975189,10768542,SEC1,V,14,,,1
975035,10768541,SEC1,V,15,,,25
975035,10768540,SEC1,V,16,,,21
975035,10768539,SEC1,V,17,,,17
975035,10768538,SEC1,V,18,,,13
975035,10768537,SEC1,V,19,,,9
975043,10768554,SEC1,V,2,,,17
975035,10768536,SEC1,V,20,,,5
975035,10768535,SEC1,V,21,,,1
975045,10768529,SEC1,V,27,,,5
975045,10768528,SEC1,V,28,,,1
975043,10768553,SEC1,V,3,,,13
975166,10768523,SEC1,V,33,,,9
975166,10768522,SEC1,V,34,,,5
975166,10768521,SEC1,V,35,,,1
975047,10768518,SEC1,V,38,,,5
975047,10768517,SEC1,V,39,,,1
975043,10768552,SEC1,V,4,,,9
975042,10768516,SEC1,V,40,,,1
975048,10768515,SEC1,V,41,,,5
975048,10768514,SEC1,V,42,,,1
975049,10768513,SEC1,V,43,,,5
975049,10768512,SEC1,V,44,,,1
975050,10768511,SEC1,V,45,,,5
975050,10768510,SEC1,V,46,,,1
975052,10768507,SEC1,V,49,,,5
975043,10768551,SEC1,V,5,,,5
975052,10768506,SEC1,V,50,,,1
975043,10768550,SEC1,V,6,,,1
975053,10768549,SEC1,V,7,,,5
975053,10768548,SEC1,V,8,,,1
975054,10768547,SEC1,V,9,,,9
975181,10768840,SEC2,C,46,,,13
975181,10768839,SEC2,C,47,,,9
975181,10768838,SEC2,C,48,,,5
975181,10768837,SEC2,C,49,,,1
975191,10768898,SEC2,D,46,,,1
975171,10768897,SEC2,D,47,,,9
975171,10768896,SEC2,D,48,,,5
975171,10768895,SEC2,D,49,,,1
975060,10769175,SEC2,G,19,,,33
975060,10769174,SEC2,G,20,,,29
975060,10769173,SEC2,G,21,,,25
975060,10769172,SEC2,G,22,,,21
975060,10769171,SEC2,G,23,,,17
975060,10769170,SEC2,G,24,,,13
