VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates,DirectionImage
8435,COXCONVENTIONCENTER2,TBL1,TABLE 1,1,A,DARKBLUE,LEFT,,RECT,"316,107,333,136",
8435,COXCONVENTIONCENTER2,TBL2,TABLE 2,2,A,DARKBLUE,LEFT,,RECT,"298,107,314,137",
8435,COXCONVENTIONCENTER2,TBL3,TABLE 3,3,A,DARKBLUE,LEFT,,RECT,"281,108,298,136",
8435,COXCONVENTIONCENTER2,TBL4,TABLE 4,4,A,DARKBLUE,LEFT,,RECT,"262,108,282,136",
8435,COXCONVENTIONCENTER2,TBL5,TABLE 5,5,A,DARKBLUE,LEFT,,RECT,"246,108,263,137",
8435,COXCONVENTIONCENTER2,TBL6,TABLE 6,6,A,DARKBLUE,LEFT,,RECT,"228,108,245,137",
8435,COXCONVENTIONCENTER2,TBL7,TABLE 7,7,A,DARKBLUE,LEFT,,RECT,"209,109,227,136",
8435,COXCONVENTIONCENTER2,TBL8,TABLE 8,8,A,DARKBLUE,LEFT,,RECT,"170,133,198,153",
8435,COXCONVENTIONCENTER2,TBL9,TABLE 9,9,A,DARKBLUE,LEFT,,RECT,"170,154,200,172",
8435,COXCONVENTIONCENTER2,TBL10,TABLE 10,10,A,DARKBLUE,LEFT,,RECT,"170,173,198,190",
8435,COXCONVENTIONCENTER2,TBL11,TABLE 11,11,A,DARKBLUE,LEFT,,RECT,"169,189,199,209",
8435,COXCONVENTIONCENTER2,TBL12,TABLE 12,12,A,DARKBLUE,LEFT,,RECT,"170,209,198,226",
8435,COXCONVENTIONCENTER2,TBL13,TABLE 13,13,A,DARKBLUE,LEFT,,RECT,"169,225,199,244",
8435,COXCONVENTIONCENTER2,TBL14,TABLE 14,14,A,DARKBLUE,LEFT,,RECT,"168,243,199,263",
8435,COXCONVENTIONCENTER2,TBL15,TABLE 15,15,A,DARKBLUE,LEFT,,RECT,"209,264,227,294",
8435,COXCONVENTIONCENTER2,TBL16,TABLE 16,16,A,DARKBLUE,LEFT,,RECT,"227,263,245,294",
8435,COXCONVENTIONCENTER2,TBL17,TABLE 17,17,A,DARKBLUE,LEFT,,RECT,"245,264,262,293",
8435,COXCONVENTIONCENTER2,TBL18,TABLE 18,18,A,DARKBLUE,LEFT,,RECT,"263,264,281,295",
8435,COXCONVENTIONCENTER2,TBL19,TABLE 19,19,A,DARKBLUE,LEFT,,RECT,"281,263,298,295",
8435,COXCONVENTIONCENTER2,TBL20,TABLE 20,20,A,DARKBLUE,LEFT,,RECT,"298,264,317,296",
8435,COXCONVENTIONCENTER2,TBL21,TABLE 21,21,A,DARKBLUE,LEFT,,RECT,"317,266,335,295",
8435,COXCONVENTIONCENTER2,TBL22,TABLE 22,22,A,DARKBLUE,LEFT,,RECT,"346,236,375,254",
8435,COXCONVENTIONCENTER2,TBL23,TABLE 23,23,A,DARKBLUE,LEFT,,RECT,"346,216,374,236",
8435,COXCONVENTIONCENTER2,TBL24,TABLE 24,24,A,DARKBLUE,LEFT,,RECT,"346,200,375,218",
8435,COXCONVENTIONCENTER2,TBL25,TABLE 25,25,A,DARKBLUE,LEFT,,RECT,"346,181,376,199",
8435,COXCONVENTIONCENTER2,TBL26,TABLE 26,26,A,DARKBLUE,LEFT,,RECT,"345,164,375,180",
8435,COXCONVENTIONCENTER2,TBL27,TABLE 27,27,A,DARKBLUE,LEFT,,RECT,"346,144,374,165",
8435,COXCONVENTIONCENTER2,TBL28,TABLE 28,28,A,DARKBLUE,LEFT,,CIRCLE,"359,117,15",
8435,COXCONVENTIONCENTER2,TBL29,TABLE 29,29,A,DARKBLUE,LEFT,,CIRCLE,"185,120,12",
8435,COXCONVENTIONCENTER2,TBL30,TABLE 30,30,A,DARKBLUE,LEFT,,CIRCLE,"152,141,14",
8435,COXCONVENTIONCENTER2,TBL31,TABLE 31,31,A,DARKBLUE,LEFT,,CIRCLE,"153,170,13",
8435,COXCONVENTIONCENTER2,TBL32,TABLE 32,32,A,DARKBLUE,LEFT,,CIRCLE,"153,199,12",
8435,COXCONVENTIONCENTER2,TBL33,TABLE 33,33,A,DARKBLUE,LEFT,,CIRCLE,"153,228,13",
8435,COXCONVENTIONCENTER2,TBL34,TABLE 34,34,A,DARKBLUE,LEFT,,CIRCLE,"154,257,12",
8435,COXCONVENTIONCENTER2,TBL35,TABLE 35,35,A,DARKBLUE,LEFT,,CIRCLE,"188,279,13",
8435,COXCONVENTIONCENTER2,TBL36,TABLE 36,36,A,DARKBLUE,LEFT,,CIRCLE,"352,280,12",
8435,COXCONVENTIONCENTER2,TBL37,TABLE 37,37,A,DARKBLUE,LEFT,,CIRCLE,"393,257,13",
8435,COXCONVENTIONCENTER2,TBL38,TABLE 38,38,A,DARKBLUE,LEFT,,CIRCLE,"392,227,12",
8435,COXCONVENTIONCENTER2,TBL39,TABLE 39,39,A,DARKBLUE,LEFT,,CIRCLE,"391,198,13",
8435,COXCONVENTIONCENTER2,TBL40,TABLE 40,40,A,DARKBLUE,LEFT,,CIRCLE,"391,169,12",
8435,COXCONVENTIONCENTER2,TBL41,TABLE 41,41,A,DARKBLUE,LEFT,,CIRCLE,"391,141,13",
8435,COXCONVENTIONCENTER2,1,1,42,A,DARKGOLD,LEFT,,RECT,"233,75,310,103",
8435,COXCONVENTIONCENTER2,3,3,43,A,DARKGOLD,LEFT,,RECT,"233,298,310,325",
