VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1571,GUTHRIEMASONICCENTER1,MFN,Main Floor North,2,A,GOLD,CENTER,,POLY,
1571,GUTHRIEMASONICCENTER1,MFC,Main Floor Center,1,A,GOLD,CENTER,,POLY,
1571,GUTHRIEMASONICCENTER1,MFS,Main Floor South,3,A,GOLD,CENTER,,POLY,
1571,GUTHRIEMASONICCENTER1,BLN,Balcony North,5,A,GOLD,CENTER,,POLY,
1571,GUTHRIEMASONICCENTER1,BLC,Balcony Center,4,A,GOLD,CENTER,,POLY,
1571,GUTHRIEMASONICCENTER1,BLS,Balcony South,6,A,GOLD,CENTER,,POLY,
1571,GUTHRIEMASONICCENTER1,MZN,Mezzanine North,8,A,GOLD,CENTER,,POLY,
1571,GUTHRIEMASONICCENTER1,MZC,Mezzanine Center,7,A,GOLD,CENTER,,POLY,
1571,GUTHRIEMASONICCENTER1,MZS,Mezzanine South,9,A,GOLD,CENTER,,POLY,
1571,GUTHRIEMASONICCENTER1,MZL,Mezzanine Left,10,A,GOLD,LEFT,,POLY,
1571,GUTHRIEMASONICCENTER1,MZR,Mezzanine Right,11,A,GOLD,LEFT,,POLY,
1571,GUTHRIEMASONICCENTER1,SBL,Second Balcony Left,12,A,GOLD,LEFT,,POLY,
1571,GUTHRIEMASONICCENTER1,SBLC,Second Balcony Left Center,13,A,GOLD,LEFT,,POLY,
1571,GUTHRIEMASONICCENTER1,SBRC,Second Balcony Right Center,14,A,GOLD,LEFT,,POLY,
1571,GUTHRIEMASONICCENTER1,SBR,Second Balcony Right,15,A,GOLD,LEFT,,POLY,
1571,GUTHRIEMASONICCENTER1,SBR,Second Balcony Rear,16,A,GOLD,LEFT,,POLY
