VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1610,REYNOLDSPAC1,FS1T1,FLOOR SECTION 1 TIER 1,1,A,GOLD,CENTER,,POLY,"190,154,203,117,277,117,292,156"
1610,REYNOLDSPAC1,FS1T2,FLOOR SECTION 1 TIER 2,4,A,BLUE,CENTER,,POLY,"190,153,168,234,312,234,290,154"
1610,REYNOLDSPAC1,FS1T3,FLOOR SECTION 1 TIER 3,9,A,GREEN,LEFT,,POLY,"169,233,152,311,205,311,206,294,269,294,269,312,342,311,342,300,326,300,313,234"
1610,REYNOLDSPAC1,FS2T1,FLOOR SECTION 2 TIER 1,2,A,GOLD,LEFT,,POLY,"104,97,94,133,141,147,151,110,148,110"
1610,REYNOLDSPAC1,FS2T2,FLOOR SECTION 2 TIER 2,5,A,BLUE,LEFT,,POLY,"106,97,76,88,71,100,52,95,45,120,26,114,7,177,22,183,17,194,117,225,141,147,92,133,92,133"
1610,REYNOLDSPAC1,FS2T3,FLOOR SECTION 2 TIER 3,10,A,GREEN,LEFT,,POLY,"51,235,48,247,36,244,33,257,73,269,68,280,98,288,108,251,108,251"
1610,REYNOLDSPAC1,FS3T1,FLOOR SECTION 3 TIER 1,3,A,GOLD,LEFT,,POLY,"332,110,344,148,391,133,381,97,381,97"
1610,REYNOLDSPAC1,FS3T2,FLOOR SECTION 3 TIER 2,6,A,BLUE,LEFT,,POLY,"364,223,466,195,461,182,478,178,457,113,439,120,430,94,414,101,409,88,380,96,393,133,344,150,344,150"
1610,REYNOLDSPAC1,FS3T3,FLOOR SECTION 3 TIER 3,11,A,GREEN,LEFT,,POLY,"374,251,384,289,416,281,411,269,451,258,446,245,436,247,431,236,432,238"
1610,REYNOLDSPAC1,BS4T1,BALCONY SECTION 4 TIER 1,7,A,BLUE,LEFT,,POLY,"223,392,223,443,193,450,156,447,131,438,97,415,108,402,90,394,85,379,89,374,82,357,74,349,55,340,56,326,38,322,39,310,60,308,82,317,108,350,126,368,153,381,187,390,193,392"
1610,REYNOLDSPAC1,BS4T2,BALCONY SECTION 4 TIER 2,12,A,GREEN,LEFT,,POLY,"222,541,194,550,172,550,149,543,134,536,140,510,113,503,90,489,84,483,92,471,73,463,56,449,42,431,54,422,66,435,104,459,150,479,202,488,222,489,222,490"
1610,REYNOLDSPAC1,BS5T1,BALCONY SECTION 5 TIER1,8,A,BLUE,LEFT,,POLY,"248,443,282,449,327,444,355,431,374,415,365,401,379,394,388,378,381,370,389,357,403,346,416,341,414,329,421,326,430,325,432,312,404,309,382,323,371,338,357,356,340,371,314,382,276,390,249,394"
1610,REYNOLDSPAC1,BS5T2,BALCONY SECTION 5 TIER2,13,A,GREEN,LEFT,,POLY,"253,543,288,550,316,545,341,535,335,511,361,503,383,490,390,484,384,472,403,463,421,449,432,434,422,426,399,443,357,466,305,483,278,488,253,489"
1610,REYNOLDSPAC1,ADAS2,ADA SECTION 2,14,H,ADAGREEN,LEFT,ADA,POLY,"62,187,77,192,72,208,57,205"
1610,REYNOLDSPAC1,ADAS3,ADA SECTION 3,15,H,ADAGREEN,LEFT,ADA,POLY,"407,191,412,209,425,204,421,189"
