VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort
1609,WINFREYHOUSTON1,100P,C,7,271,A,1,1,2
1609,WINFREYHOUSTON1,100P,C,6,272,A,0,1,3
1609,WINFREYHOUSTON1,100P,C,5,273,A,0,1,4
1609,WINFREYHOUSTON1,100P,C,4,274,A,0,1,5
1609,WINFREYHOUSTON1,100P,C,3,275,A,0,1,6
1609,WINFREYHOUSTON1,100P,C,2,276,A,0,1,7
1609,WINFREYHOUSTON1,100P,C,1,277,A,1,1,8
1609,WINFREYHOUSTON1,100P,D,7,285,A,1,2,2
1609,WINFREYHOUSTON1,100P,D,6,286,A,0,2,3
1609,WINFREYHOUSTON1,100P,D,5,287,A,0,2,4
1609,WINFREYHOUSTON1,100P,D,4,288,A,0,2,5
1609,WINFREYHOUSTON1,100P,D,3,289,A,0,2,6
1609,WINFREYHOUSTON1,100P,D,2,290,A,0,2,7
1609,WINFREYHOUSTON1,100P,D,1,291,A,1,2,8
1609,WINFREYHOUSTON1,100P,E,7,299,A,1,3,2
1609,WINFREYHOUSTON1,100P,E,6,300,A,0,3,3
1609,WINFREYHOUSTON1,100P,E,5,301,A,0,3,4
1609,WINFREYHOUSTON1,100P,E,4,302,A,0,3,5
1609,WINFREYHOUSTON1,100P,E,3,303,A,0,3,6
1609,WINFREYHOUSTON1,100P,E,2,304,A,0,3,7
1609,WINFREYHOUSTON1,100P,E,1,305,A,1,3,8
1609,WINFREYHOUSTON1,100P,F,7,313,A,1,4,2
1609,WINFREYHOUSTON1,100P,F,6,314,A,0,4,3
1609,WINFREYHOUSTON1,100P,F,5,315,A,0,4,4
1609,WINFREYHOUSTON1,100P,F,4,316,A,0,4,5
1609,WINFREYHOUSTON1,100P,F,3,317,A,0,4,6
1609,WINFREYHOUSTON1,100P,F,2,318,A,0,4,7
1609,WINFREYHOUSTON1,100P,F,1,319,A,1,4,8
1609,WINFREYHOUSTON1,100P,G,7,327,A,1,5,2
1609,WINFREYHOUSTON1,100P,G,6,328,A,0,5,3
1609,WINFREYHOUSTON1,100P,G,5,329,A,0,5,4
1609,WINFREYHOUSTON1,100P,G,4,330,A,0,5,5
1609,WINFREYHOUSTON1,100P,G,3,331,A,0,5,6
1609,WINFREYHOUSTON1,100P,G,2,332,A,0,5,7
1609,WINFREYHOUSTON1,100P,G,1,333,A,1,5,8
1609,WINFREYHOUSTON1,100P,H,7,341,A,1,6,2
1609,WINFREYHOUSTON1,100P,H,6,342,A,0,6,3
1609,WINFREYHOUSTON1,100P,H,5,343,A,0,6,4
1609,WINFREYHOUSTON1,100P,H,4,344,A,0,6,5
1609,WINFREYHOUSTON1,100P,H,3,345,A,0,6,6
1609,WINFREYHOUSTON1,100P,H,2,346,A,0,6,7
1609,WINFREYHOUSTON1,100P,H,1,347,A,1,6,8
1609,WINFREYHOUSTON1,100P,I,7,355,A,1,7,2
1609,WINFREYHOUSTON1,100P,I,6,356,A,0,7,3
1609,WINFREYHOUSTON1,100P,I,5,357,A,0,7,4
1609,WINFREYHOUSTON1,100P,I,4,358,A,0,7,5
1609,WINFREYHOUSTON1,100P,I,3,359,A,0,7,6
1609,WINFREYHOUSTON1,100P,I,2,360,A,0,7,7
1609,WINFREYHOUSTON1,100P,I,1,361,A,1,7,8
1609,WINFREYHOUSTON1,100P,J,7,369,A,1,8,2
1609,WINFREYHOUSTON1,100P,J,6,370,A,0,8,3
1609,WINFREYHOUSTON1,100P,J,5,371,A,0,8,4
1609,WINFREYHOUSTON1,100P,J,4,372,A,0,8,5
1609,WINFREYHOUSTON1,100P,J,3,373,A,0,8,6
1609,WINFREYHOUSTON1,100P,J,2,374,A,0,8,7
1609,WINFREYHOUSTON1,100P,J,1,375,A,1,8,8
1609,WINFREYHOUSTON1,100R,K,7,477,A,1,1,2
1609,WINFREYHOUSTON1,100R,K,6,478,A,0,1,3
1609,WINFREYHOUSTON1,100R,K,5,479,A,0,1,4
1609,WINFREYHOUSTON1,100R,K,4,480,A,0,1,5
1609,WINFREYHOUSTON1,100R,K,3,481,A,0,1,6
1609,WINFREYHOUSTON1,100R,K,2,482,A,0,1,7
1609,WINFREYHOUSTON1,100R,K,1,483,A,1,1,8
1609,WINFREYHOUSTON1,100R,L,7,491,A,1,2,2
1609,WINFREYHOUSTON1,100R,L,6,492,A,0,2,3
1609,WINFREYHOUSTON1,100R,L,5,493,A,0,2,4
1609,WINFREYHOUSTON1,100R,L,4,494,A,0,2,5
1609,WINFREYHOUSTON1,100R,L,3,495,A,0,2,6
1609,WINFREYHOUSTON1,100R,L,2,496,A,0,2,7
1609,WINFREYHOUSTON1,100R,L,1,497,A,1,2,8
1609,WINFREYHOUSTON1,100R,M,7,505,A,1,3,2
1609,WINFREYHOUSTON1,100R,M,6,506,A,0,3,3
1609,WINFREYHOUSTON1,100R,M,5,507,A,0,3,4
1609,WINFREYHOUSTON1,100R,M,4,508,A,0,3,5
1609,WINFREYHOUSTON1,100R,M,3,509,A,0,3,6
1609,WINFREYHOUSTON1,100R,M,2,510,A,0,3,7
1609,WINFREYHOUSTON1,100R,M,1,511,A,1,3,8
1609,WINFREYHOUSTON1,100R,N,7,519,A,1,4,2
1609,WINFREYHOUSTON1,100R,N,6,520,A,0,4,3
1609,WINFREYHOUSTON1,100R,N,5,521,A,0,4,4
1609,WINFREYHOUSTON1,100R,N,4,522,A,0,4,5
1609,WINFREYHOUSTON1,100R,N,3,523,A,0,4,6
1609,WINFREYHOUSTON1,100R,N,2,524,A,0,4,7
1609,WINFREYHOUSTON1,100R,N,1,525,A,1,4,8
1609,WINFREYHOUSTON1,100R,O,7,533,A,1,5,2
1609,WINFREYHOUSTON1,100R,O,6,534,A,0,5,3
1609,WINFREYHOUSTON1,100R,O,5,535,A,0,5,4
1609,WINFREYHOUSTON1,100R,O,4,536,A,0,5,5
1609,WINFREYHOUSTON1,100R,O,3,537,A,0,5,6
1609,WINFREYHOUSTON1,100R,O,2,538,A,0,5,7
1609,WINFREYHOUSTON1,100R,O,1,539,A,1,5,8
1609,WINFREYHOUSTON1,100R,P,8,547,A,1,6,1
1609,WINFREYHOUSTON1,100R,P,7,548,A,0,6,2
1609,WINFREYHOUSTON1,100R,P,6,549,A,0,6,3
1609,WINFREYHOUSTON1,100R,P,5,550,A,0,6,4
1609,WINFREYHOUSTON1,100R,P,4,551,A,0,6,5
1609,WINFREYHOUSTON1,100R,P,3,552,A,0,6,6
1609,WINFREYHOUSTON1,100R,P,2,553,A,0,6,7
1609,WINFREYHOUSTON1,100R,P,1,554,A,1,6,8
1609,WINFREYHOUSTON1,100R,Q,8,562,A,1,7,1
1609,WINFREYHOUSTON1,100R,Q,7,563,A,0,7,2
1609,WINFREYHOUSTON1,100R,Q,6,564,A,0,7,3
1609,WINFREYHOUSTON1,100R,Q,5,565,A,0,7,4
1609,WINFREYHOUSTON1,100R,Q,4,566,A,0,7,5
1609,WINFREYHOUSTON1,100R,Q,3,567,A,0,7,6
1609,WINFREYHOUSTON1,100R,Q,2,568,A,0,7,7
1609,WINFREYHOUSTON1,100R,Q,1,569,A,1,7,8
1609,WINFREYHOUSTON1,100R,R,8,577,A,1,8,1
1609,WINFREYHOUSTON1,100R,R,7,578,A,0,8,2
1609,WINFREYHOUSTON1,100R,R,6,579,A,0,8,3
1609,WINFREYHOUSTON1,100R,R,5,580,A,0,8,4
