VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image
972,DANAAUDITORIUM1,ADACL,ZZ,115,1015,H,1,1,1,
972,DANAAUDITORIUM1,ADACL,ZZ,113,1013,H,0,1,2,
972,DANAAUDITORIUM1,ADACL,ZZ,111,1011,H,0,1,3,
972,DANAAUDITORIUM1,ADACL,ZZ,109,1009,H,0,1,4,
972,DANAAUDITORIUM1,ADACL,ZZ,107,1007,H,0,1,5,
972,DANAAUDITORIUM1,ADACL,ZZ,105,1005,H,0,1,6,
972,DANAAUDITORIUM1,ADACL,ZZ,103,1003,H,0,1,7,
972,DANAAUDITORIUM1,ADACL,ZZ,101,1001,H,1,1,8,
972,DANAAUDITORIUM1,ADACR,ZZ,116,1002,H,1,1,1,
972,DANAAUDITORIUM1,ADACR,ZZ,114,1004,H,0,1,2,
972,DANAAUDITORIUM1,ADACR,ZZ,112,1006,H,0,1,3,
972,DANAAUDITORIUM1,ADACR,ZZ,110,1008,H,0,1,4,
972,DANAAUDITORIUM1,ADACR,ZZ,108,1010,H,0,1,5,
972,DANAAUDITORIUM1,ADACR,ZZ,106,1012,H,0,1,6,
972,DANAAUDITORIUM1,ADACR,ZZ,104,1014,H,0,1,7,
972,DANAAUDITORIUM1,ADACR,ZZ,102,1016,H,1,1,8
972,DANAAUDITORIUM1,LTCTR,AA,123,23,A,1,1,3
972,DANAAUDITORIUM1,LTCTR,AA,121,21,A,0,1,4
972,DANAAUDITORIUM1,LTCTR,AA,119,19,A,0,1,5
972,DANAAUDITORIUM1,LTCTR,AA,117,17,A,0,1,6
972,DANAAUDITORIUM1,LTCTR,AA,115,15,A,0,1,7
972,DANAAUDITORIUM1,LTCTR,AA,113,13,A,0,1,8
972,DANAAUDITORIUM1,LTCTR,AA,111,11,A,0,1,9
972,DANAAUDITORIUM1,LTCTR,AA,109,9,A,0,1,10
972,DANAAUDITORIUM1,LTCTR,AA,107,7,A,0,1,11
972,DANAAUDITORIUM1,LTCTR,AA,105,5,A,0,1,12
972,DANAAUDITORIUM1,LTCTR,AA,103,3,A,0,1,13
972,DANAAUDITORIUM1,LTCTR,AA,101,1,A,1,1,14
972,DANAAUDITORIUM1,LTCTR,A ,123,47,A,1,2,3
972,DANAAUDITORIUM1,LTCTR,A ,121,45,A,0,2,4
972,DANAAUDITORIUM1,LTCTR,A ,119,43,A,0,2,5
972,DANAAUDITORIUM1,LTCTR,A ,117,41,A,0,2,6
972,DANAAUDITORIUM1,LTCTR,A ,115,39,A,0,2,7
972,DANAAUDITORIUM1,LTCTR,A ,113,37,A,0,2,8
972,DANAAUDITORIUM1,LTCTR,A ,111,35,A,0,2,9
972,DANAAUDITORIUM1,LTCTR,A ,109,33,A,0,2,10
972,DANAAUDITORIUM1,LTCTR,A ,107,31,A,0,2,11
972,DANAAUDITORIUM1,LTCTR,A ,105,29,A,0,2,12
972,DANAAUDITORIUM1,LTCTR,A ,103,27,A,0,2,13
972,DANAAUDITORIUM1,LTCTR,A ,101,25,A,1,2,14
972,DANAAUDITORIUM1,LTCTR,B,123,71,A,1,3,3
972,DANAAUDITORIUM1,LTCTR,B,121,69,A,0,3,4
972,DANAAUDITORIUM1,LTCTR,B,119,67,A,0,3,5
972,DANAAUDITORIUM1,LTCTR,B,117,65,A,0,3,6
972,DANAAUDITORIUM1,LTCTR,B,115,63,A,0,3,7
972,DANAAUDITORIUM1,LTCTR,B,113,61,A,0,3,8
972,DANAAUDITORIUM1,LTCTR,B,111,59,A,0,3,9
972,DANAAUDITORIUM1,LTCTR,B,109,57,A,0,3,10
972,DANAAUDITORIUM1,LTCTR,B,107,55,A,0,3,11
972,DANAAUDITORIUM1,LTCTR,B,105,53,A,0,3,12
972,DANAAUDITORIUM1,LTCTR,B,103,51,A,0,3,13
972,DANAAUDITORIUM1,LTCTR,B,101,49,A,1,3,14
972,DANAAUDITORIUM1,LTCTR,C,125,97,A,1,4,2
