VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
972,DANAAUDITORIUM1,LTCTR,Left Center,1,A,Blue,Left
972,DANAAUDITORIUM1,RTCTR,Right Center,2,A,Blue,Left
972,DANAAUDITORIUM1,LTSDF,Left Side Front,5,A,Green,Left
972,DANAAUDITORIUM1,LTSDM,Left Side Middle,3,A,Gold,Left
972,DANAAUDITORIUM1,LTSDR,Left Side Rear,7,A,Green,Left
972,DANAAUDITORIUM1,RTSDF,Right Side Front,6,A,Green,Left
972,DANAAUDITORIUM1,RTSDM,Right Side Middle,4,A,Gold,Left
972,DANAAUDITORIUM1,RTSDR,Right Side Rear,8,A,Green,Left
972,DANAAUDITORIUM1,ADACL,ADA Left Center,9,H,Blue,Left
972,DANAAUDITORIUM1,ADACR,ADA Right Center,10,H,Blue,Left
