VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,HoldType
1574,HARRISTHEATER1,BLCCC,A,101,1026,A,1,1,1,0
1574,HARRISTHEATER1,BLCCC,A,102,1024,A,0,1,2,0
1574,HARRISTHEATER1,BLCCC,A,103,1022,A,0,1,3,0
1574,HARRISTHEATER1,BLCCC,A,104,1020,A,0,1,4,0
1574,HARRISTHEATER1,BLCCC,A,105,1018,A,0,1,5,0
1574,HARRISTHEATER1,BLCCC,A,106,1016,A,0,1,6,0
1574,HARRISTHEATER1,BLCCC,A,107,1014,A,0,1,7,0
1574,HARRISTHEATER1,BLCCC,A,108,1012,A,0,1,8,0
1574,HARRISTHEATER1,BLCCC,A,109,1013,A,0,1,9,0
1574,HARRISTHEATER1,BLCCC,A,110,1015,A,0,1,10,0
1574,HARRISTHEATER1,BLCCC,A,111,1017,A,0,1,11,0
1574,HARRISTHEATER1,BLCCC,A,112,1019,A,0,1,12,0
1574,HARRISTHEATER1,BLCCC,A,113,1021,A,0,1,13,0
1574,HARRISTHEATER1,BLCCC,A,114,1023,A,0,1,14,0
1574,HARRISTHEATER1,BLCCC,A,115,1025,A,0,1,15,0
1574,HARRISTHEATER1,BLCCC,A,116,1027,A,1,1,16,0
1574,HARRISTHEATER1,BLCCC,B,101,1042,A,1,2,1,0
1574,HARRISTHEATER1,BLCCC,B,102,1040,A,0,2,2,0
1574,HARRISTHEATER1,BLCCC,B,103,1038,A,0,2,3,0
1574,HARRISTHEATER1,BLCCC,B,104,1036,A,0,2,4,0
1574,HARRISTHEATER1,BLCCC,B,105,1034,A,0,2,5,0
1574,HARRISTHEATER1,BLCCC,B,106,1032,A,0,2,6,0
1574,HARRISTHEATER1,BLCCC,B,107,1030,A,0,2,7,0
1574,HARRISTHEATER1,BLCCC,B,108,1028,A,0,2,8,0
1574,HARRISTHEATER1,BLCCC,B,109,1029,A,0,2,9,0
1574,HARRISTHEATER1,BLCCC,B,110,1031,A,0,2,10,0
1574,HARRISTHEATER1,BLCCC,B,111,1033,A,0,2,11,0
1574,HARRISTHEATER1,BLCCC,B,112,1035,A,0,2,12,0
1574,HARRISTHEATER1,BLCCC,B,113,1037,A,0,2,13,0
1574,HARRISTHEATER1,BLCCC,B,114,1039,A,0,2,14,0
1574,HARRISTHEATER1,BLCCC,B,115,1041,A,0,2,15,0
1574,HARRISTHEATER1,BLCCC,B,116,1043,A,1,2,16,0
1574,HARRISTHEATER1,BLCCC,C,101,1058,A,1,3,1,0
1574,HARRISTHEATER1,BLCCC,C,102,1056,A,0,3,2,0
1574,HARRISTHEATER1,BLCCC,C,103,1054,A,0,3,3,0
1574,HARRISTHEATER1,BLCCC,C,104,1052,A,0,3,4,0
1574,HARRISTHEATER1,BLCCC,C,105,1050,A,0,3,5,0
1574,HARRISTHEATER1,BLCCC,C,106,1048,A,0,3,6,0
1574,HARRISTHEATER1,BLCCC,C,107,1046,A,0,3,7,0
1574,HARRISTHEATER1,BLCCC,C,108,1044,A,0,3,8,0
1574,HARRISTHEATER1,BLCCC,C,109,1045,A,0,3,9,0
1574,HARRISTHEATER1,BLCCC,C,110,1047,A,0,3,10,0
1574,HARRISTHEATER1,BLCCC,C,111,1049,A,0,3,11,0
1574,HARRISTHEATER1,BLCCC,C,112,1051,A,0,3,12,0
1574,HARRISTHEATER1,BLCCC,C,113,1053,A,0,3,13,0
1574,HARRISTHEATER1,BLCCC,C,114,1055,A,0,3,14,0
1574,HARRISTHEATER1,BLCCC,C,115,1057,A,0,3,15,0
1574,HARRISTHEATER1,BLCCC,C,116,1059,A,1,3,16,0
1574,HARRISTHEATER1,BLCCC,D,101,1072,A,1,5,3,0
1574,HARRISTHEATER1,BLCCC,D,102,1070,A,0,5,4,0
1574,HARRISTHEATER1,BLCCC,D,103,1068,A,0,5,5,0
1574,HARRISTHEATER1,BLCCC,D,104,1066,A,0,5,6,0
1574,HARRISTHEATER1,BLCCC,D,105,1064,A,0,5,7,0
1574,HARRISTHEATER1,BLCCC,D,106,1062,A,0,5,8,0
1574,HARRISTHEATER1,BLCCC,D,107,1060,A,0,5,9,0
1574,HARRISTHEATER1,BLCCC,D,108,1061,A,0,5,10,0
1574,HARRISTHEATER1,BLCCC,D,109,1063,A,0,5,11,0
1574,HARRISTHEATER1,BLCCC,D,110,1065,A,0,5,12,0
1574,HARRISTHEATER1,BLCCC,D,111,1067,A,0,5,13,0
1574,HARRISTHEATER1,BLCCC,D,112,1069,A,0,5,14,0
1574,HARRISTHEATER1,BLCCC,D,113,1071,A,1,5,15,0
1574,HARRISTHEATER1,BLCCC,E,101,1087,A,1,6,1,0
1574,HARRISTHEATER1,BLCCC,E,102,1085,A,0,6,2,0
1574,HARRISTHEATER1,BLCCC,E,103,1083,A,0,6,3,0
1574,HARRISTHEATER1,BLCCC,E,104,1081,A,0,6,4,0
1574,HARRISTHEATER1,BLCCC,E,105,1079,A,0,6,5,0
1574,HARRISTHEATER1,BLCCC,E,106,1077,A,0,6,6,0
