VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
1574,HARRISTHEATER1,ORCAP,Orchestra A+ Center,1,A,Purple,Center
1574,HARRISTHEATER1,ORCAF,Orchestra A Center Front,1,A,Yellow,Center
1574,HARRISTHEATER1,ORCCR,Orchestra A Center Rear,1,A,Yellow,Center
1574,HARRISTHEATER1,ORCAL,Orchestra A Left,1,A,Yellow,Center
1574,HARRISTHEATER1,ORCAR,Orchestra A Right,1,A,Yellow,Center
1574,HARRISTHEATER1,ORCBR,Orchestra B Center Rear,1,A,Green,Center
1574,HARRISTHEATER1,OCBLF,Orchestra B Left Front,1,A,Green,Center
1574,HARRISTHEATER1,OCBRF,Orchestra B Right Front,1,A,Green,Center
1574,HARRISTHEATER1,OCBLR,Orchestra B Left Rear,1,A,Green,Center
1574,HARRISTHEATER1,OCBRR,Orchestra B Right Rear,1,A,Green,Center
1574,HARRISTHEATER1,ORCCL,Orchestra C Left,1,A,LightBlue,Center
1574,HARRISTHEATER1,ORCCR,Orchestra C Right,1,A,LightBlue,Center
1574,HARRISTHEATER1,BLCCL,Balcony C Left,1,A,LightBlue,Center
1574,HARRISTHEATER1,BLCCR,Balcony C Right,1,A,LightBlue,Center
1574,HARRISTHEATER1,BLCCC,Balcony C Center,1,A,LightBlue,Center
1574,HARRISTHEATER1,BLCDL,Balcony D Left,1,A,Gold,Center
1574,HARRISTHEATER1,BLCDR,Balcony D Right,1,A,Gold,Center
1574,HARRISTHEATER1,BLCDC,Balcony D Center,1,A,Gold,Center
