VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates,DirectionImage
1574,HARRISTHEATER4,ORCAP,Orchestra A+ Center,1,A,Purple,Center,,POLY,,
1574,HARRISTHEATER4,ORAPL,Orchestra A+ Left,1,A,Purple,Center,,RECT,,
1574,HARRISTHEATER4,ORAPR,Orchestra A+ Right,1,A,Purple,Center,,RECT,,
1574,HARRISTHEATER4,ORCAF,Orchestra A Center Front,1,A,Gold,Center,,RECT,,
1574,HARRISTHEATER4,ORACR,Orchestra A Center Rear,1,A,Gold,Center,,RECT,,
1574,HARRISTHEATER4,ORCAL,Orchestra A Left,1,A,Gold,Center,,POLY,,
1574,HARRISTHEATER4,ORCAR,Orchestra A Right,1,A,Gold,Left,,POLY,,
1574,HARRISTHEATER4,ORCBR,Orchestra B Center Rear,1,A,Green,Left,,POLY,,
1574,HARRISTHEATER4,OCBLF,Orchestra B Left Front,1,A,Green,Left,,POLY,,
1574,HARRISTHEATER4,OCBRF,Orchestra B Right Front,1,A,Green,Left,,POLY,,
1574,HARRISTHEATER4,OCBLR,Orchestra B Left Rear,1,A,Green,Center,,RECT,,
1574,HARRISTHEATER4,OCBRR,Orchestra B Right Rear,1,A,Green,Center,,RECT,,
1574,HARRISTHEATER4,ORCCL,Orchestra C Left,1,A,LightBlue,Left,,POLY,,
1574,HARRISTHEATER4,ORCCR,Orchestra C Right,1,A,LightBlue,Left,,POLY,,
1574,HARRISTHEATER4,BLCCL,Balcony C Left,1,A,LightBlue,Center,,POLY,,
1574,HARRISTHEATER4,BLCCR,Balcony C Right,1,A,LightBlue,Left,,POLY,
1574,HARRISTHEATER4,BLCCC,Balcony C Center,1,A,LightBlue,Left,,POLY,
1574,HARRISTHEATER4,BLCDL,Balcony D Left,1,A,Red,Left,,POLY,
1574,HARRISTHEATER4,BLCDR,Balcony D Right,1,A,Red,Left,,POLY,
1574,HARRISTHEATER4,BLCDC,Balcony D Center,1,A,Red,Left,,POLY,
