VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
1866,VITTUM2,ADA,A,AA,299,H,1,1,4,,0
1866,VITTUM2,ADA,A,BB,297,H,1,1,3,,0
1866,VITTUM2,ADA,A,CC,296,H,1,1,2,,0
1866,VITTUM2,ADA,A,DD,298,H,1,1,1,,0
1866,VITTUM2,MAIN,A,1,14,A,1,1,15,,0
1866,VITTUM2,MAIN,A,2,12,A,0,1,14,,0
1866,VITTUM2,MAIN,A,3,10,A,0,1,13,,0
1866,VITTUM2,MAIN,A,4,8,A,0,1,12,,0
1866,VITTUM2,MAIN,A,5,6,A,0,1,11,,0
1866,VITTUM2,MAIN,A,6,4,A,0,1,10,,0
1866,VITTUM2,MAIN,A,7,2,A,0,1,9,,0
1866,VITTUM2,MAIN,A,8,1,A,0,1,8,,0
1866,VITTUM2,MAIN,A,9,3,A,0,1,7,,0
1866,VITTUM2,MAIN,A,10,5,A,0,1,6,,0
1866,VITTUM2,MAIN,A,11,7,A,0,1,5,,0
1866,VITTUM2,MAIN,A,12,9,A,0,1,4,,0
1866,VITTUM2,MAIN,A,13,11,A,0,1,3,,0
1866,VITTUM2,MAIN,A,14,13,A,0,1,2,,0
1866,VITTUM2,MAIN,A,15,15,A,1,1,1,,0
1866,VITTUM2,MAIN,B,1,37,A,1,2,22,,0
1866,VITTUM2,MAIN,B,2,35,A,0,2,21,,0
1866,VITTUM2,MAIN,B,3,33,A,0,2,20,,0
1866,VITTUM2,MAIN,B,4,31,A,0,2,19,,0
1866,VITTUM2,MAIN,B,5,29,A,0,2,18,,0
1866,VITTUM2,MAIN,B,6,27,A,0,2,17,,0
1866,VITTUM2,MAIN,B,7,25,A,0,2,16,,0
1866,VITTUM2,MAIN,B,8,23,A,0,2,15,,0
1866,VITTUM2,MAIN,B,9,21,A,0,2,14,,0
1866,VITTUM2,MAIN,B,10,19,A,0,2,13,,0
1866,VITTUM2,MAIN,B,11,17,A,0,2,12,,0
1866,VITTUM2,MAIN,B,12,16,A,0,2,11,,0
1866,VITTUM2,MAIN,B,13,18,A,0,2,10,,0
1866,VITTUM2,MAIN,B,14,20,A,0,2,9,,0
1866,VITTUM2,MAIN,B,15,22,A,0,2,8,,0
1866,VITTUM2,MAIN,B,16,24,A,0,2,7,,0
1866,VITTUM2,MAIN,B,17,26,A,0,2,6,,0
1866,VITTUM2,MAIN,B,18,28,A,0,2,5,,0
1866,VITTUM2,MAIN,B,19,30,A,0,2,4,,0
1866,VITTUM2,MAIN,B,20,32,A,0,2,3,,0
1866,VITTUM2,MAIN,B,21,34,A,0,2,2,,0
1866,VITTUM2,MAIN,B,22,36,A,1,2,1,,0
1866,VITTUM2,MAIN,C,1,57,A,1,3,21,,0
1866,VITTUM2,MAIN,C,2,55,A,0,3,20,,0
1866,VITTUM2,MAIN,C,3,53,A,0,3,19,,0
1866,VITTUM2,MAIN,C,4,51,A,0,3,18,,0
1866,VITTUM2,MAIN,C,5,49,A,0,3,17,,0
1866,VITTUM2,MAIN,C,6,47,A,0,3,16,,0
1866,VITTUM2,MAIN,C,7,45,A,0,3,15,,0
1866,VITTUM2,MAIN,C,8,43,A,0,3,14,,0
1866,VITTUM2,MAIN,C,9,41,A,0,3,13,,0
1866,VITTUM2,MAIN,C,10,39,A,0,3,12,,0
1866,VITTUM2,MAIN,C,11,38,A,0,3,11,,0
1866,VITTUM2,MAIN,C,12,40,A,0,3,10,,0
1866,VITTUM2,MAIN,C,13,42,A,0,3,9,,0
