SECTIONCODE,SHAPE,COORDINATES
101ADA,RECT,"385,249,394,262"
101GA,POLY,"372,248,384,248,384,263,395,263,395,248,403,248,403,320,406,320,406,330,370,330,370,320,372,320"
101RV,RECT,"372,218,404,235"
102ADA,RECT,"346,249,356,262"
102GA,POLY,"336,248,345,248,345,263,357,263,357,248,367,248,367,320,370,320,370,330,334,330,334,320,336,320"
102RV,RECT,"336,218,368,235"
103ADA,RECT,"319,249,328,262"
103GA,POLY,"300,271,318,271,318,263,329,263,329,248,331,248,331,320,334,320,334,330,297,330,297,320,300,320"
103RV,RECT,"299,218,331,235"
104ADA,RECT,"273,249,283,262"
104GA,POLY,"263,248,272,248,272,263,284,263,284,248,294,248,294,320,297,320,297,330,261,330,261,320,263,320"
104RV,RECT,"263,218,295,235"
105GA,POLY,"226,248,236,248,239,248,242,248,247,248,258,248,258,320,261,320,261,330,225,330,225,320,226,320"
105RV,RECT,"226,218,258,235"
106ADA,RECT,"202,249,211,262"
106GA,POLY,"190,248,201,248,201,263,212,263,212,248,222,248,222,320,225,320,225,330,188,330,188,320,190,320"
106RV,RECT,"190,218,222,235"
107ADA,RECT,"157,249,166,262"
107GA,POLY,"154,248,156,248,156,263,167,263,167,271,186,271,186,320,188,320,188,330,152,330,152,320,154,320"
107RV,RECT,"154,218,186,235"
108ADA,RECT,"129,249,139,262"
108GA,POLY,"118,248,128,248,128,263,140,263,140,248,150,248,150,320,152,320,152,330,116,330,116,320,118,320"
108RV,RECT,"118,218,150,235"
109ADA,RECT,"92,249,102,262"
109GA,POLY,"81,248,91,248,91,263,103,263,103,248,113,248,113,320,116,320,116,330,75,330,75,320,81,320"
109RV,RECT,"79,218,111,235"
110RV,RECT,"47,168,64,199"
111GA,RECT,"17,132,47,163"
111GA,RECT,"17,168,47,199"
111RV,RECT,"47,132,64,163"
112GA,RECT,"17,95,48,126"
126GA,RECT,"434,95,465,126"
127GA,RECT,"435,132,465,163"
127RV,RECT,"418,132,435,163"
128GA,RECT,"435,169,465,200"
128RV,RECT,"418,169,435,200"
201FR,POLY,"305,79,342,96,310,130,293,91"
202FR,POLY,"245,91,285,91,300,129,245,129"
203FR,POLY,"197,91,237,91,237,129,182,129"
204FR,POLY,"176,79,189,91,172,129,139,96"
205FR,POLY,"120,105,138,123,112,150,99,137,92,144,104,156,97,164,76,141,76,128,92,144,99,137,82,120"
206FR,POLY,"144,129,162,147,147,185,131,170,124,176,133,185,118,186,103,170,110,162,124,176,131,170,117,156"
207FR,POLY,"174,148,209,148,209,187,159,187"
208FR,POLY,"273,148,308,148,323,187,273,187,273,187,273,187"
209FR,POLY,"319,147,338,129,365,156,349,170,358,178,371,162,379,170,363,187,349,184,357,177,349,170,335,185"
210FR,POLY,"343,123,362,105,400,120,385,135,393,141,406,128,406,142,385,164,377,156,393,141,385,135,370,151"
