VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,SHAPE,COORDINATES
1349,CHOCTAWCASINO1,101AD,101 - ADA General Admission,46,H,ADALightGreen,Left,ADA,RECT,"385,249,394,262"
1349,CHOCTAWCASINO1,101GA,101 - General Admission,32,A,Green,Left,general,POLY,"372,248,384,248,384,263,395,263,395,248,403,248,403,320,406,320,406,330,370,330,370,320,372,320"
1349,CHOCTAWCASINO1,101RV,101 - Reserved,19,A,Blue,Left,,RECT,"372,218,404,235"
1349,CHOCTAWCASINO1,102AD,102 - ADA General Admission,45,H,ADALightGreen,Left,ADA,RECT,"346,249,356,262"
1349,CHOCTAWCASINO1,102GA,102 - General Admission,30,A,Green,Left,general,POLY,"336,248,345,248,345,263,357,263,357,248,367,248,367,320,370,320,370,330,334,330,334,320,336,320"
1349,CHOCTAWCASINO1,102RV,102 - Reserved,17,A,Blue,Left,,RECT,"336,218,368,235"
1349,CHOCTAWCASINO1,103AD,103 - ADA General Admission,42,H,ADALightGreen,Left,ADA,RECT,"319,249,328,262"
1349,CHOCTAWCASINO1,103GA,103 - General Admission,28,A,Green,Left,general,POLY,"300,271,318,271,318,263,329,263,329,248,331,248,331,320,334,320,334,330,297,330,297,320,300,320"
1349,CHOCTAWCASINO1,103RV,103 - Reserved,15,A,Blue,Left,,RECT,"299,218,331,235"
1349,CHOCTAWCASINO1,104AD,104 - ADA General Admission,40,H,ADALightGreen,Left,ADA,RECT,"273,249,283,262"
1349,CHOCTAWCASINO1,104GA,104 - General Admission,26,A,Green,Left,general,POLY,"263,248,272,248,272,263,284,263,284,248,294,248,294,320,297,320,297,330,261,330,261,320,263,320"
1349,CHOCTAWCASINO1,104RV,104 - Reserved,13,A,Blue,Left,,RECT,"263,218,295,235"
1349,CHOCTAWCASINO1,105GA,105 - General Admission,24,A,Green,Left,general,POLY,"226,248,236,248,239,248,242,248,247,248,258,248,258,320,261,320,261,330,225,330,225,320,226,320"
1349,CHOCTAWCASINO1,105RV,105 - Reserved,11,A,Blue,Left,,RECT,"226,218,258,235"
1349,CHOCTAWCASINO1,106AD,106 - ADA General Admission,39,H,ADALightGreen,Left,ADA,RECT,"202,249,211,262"
1349,CHOCTAWCASINO1,106GA,106 - General Admission,25,A,Green,Left,general,POLY,"190,248,201,248,201,263,212,263,212,248,222,248,222,320,225,320,225,330,188,330,188,320,190,320"
1349,CHOCTAWCASINO1,106RV,106 - Reserved,12,A,Blue,Left,,RECT,"190,218,222,235"
1349,CHOCTAWCASINO1,107AD,107 - ADA General Admission,41,H,ADALightGreen,Left,ADA,RECT,"157,249,166,262"
1349,CHOCTAWCASINO1,107GA,107 - General Admission,27,A,Green,Left,general,POLY,"154,248,156,248,156,263,167,263,167,271,186,271,186,320,188,320,188,330,152,330,152,320,154,320"
1349,CHOCTAWCASINO1,107RV,107 - Reserved,14,A,Blue,Left,,RECT,"154,218,186,235"
1349,CHOCTAWCASINO1,108AD,108 - ADA General Admission,43,H,ADALightGreen,Left,ADA,RECT,"129,249,139,262"
1349,CHOCTAWCASINO1,108GA,108 - General Admission,29,A,Green,Left,general,POLY,"118,248,128,248,128,263,140,263,140,248,150,248,150,320,152,320,152,330,116,330,116,320,118,320"
1349,CHOCTAWCASINO1,108RV,108 - Reserved,16,A,Blue,Left,,RECT,"118,218,150,235"
1349,CHOCTAWCASINO1,109AD,109 - ADA General Admission,44,H,ADALightGreen,Left,ADA,RECT,"92,249,102,262"
1349,CHOCTAWCASINO1,109GA,109 - General Admission,31,A,Green,Left,general,POLY,"81,248,91,248,91,263,103,263,103,248,113,248,113,320,116,320,116,330,75,330,75,320,81,320"
1349,CHOCTAWCASINO1,109RV,109 - Reserved,18,A,Blue,Left,,RECT,"79,218,111,235"
1349,CHOCTAWCASINO1,110GA,110 - General Admission,33,A,Green,Left,general,RECT,"47,168,64,199"
1349,CHOCTAWCASINO1,110RV,110 - Reserved,20,A,Blue,Left,,RECT,"17,132,47,163"
1349,CHOCTAWCASINO1,111GA,111 - General Admission,35,A,Green,Left,general,RECT,"17,168,47,199"
1349,CHOCTAWCASINO1,111RV,111 - Reserved,22,A,Blue,Left,,RECT,"47,132,64,163"
1349,CHOCTAWCASINO1,112GA,112 - General Admission,37,A,Green,Left,general,RECT,"17,95,48,126"
1349,CHOCTAWCASINO1,126GA,126 - General Admission,38,A,Green,Left,general,RECT,"434,95,465,126"
1349,CHOCTAWCASINO1,127GA,127 - General Admission,36,A,Green,Left,general,RECT,"435,132,465,163"
1349,CHOCTAWCASINO1,127RV,127 - Reserved,23,A,Blue,Left,,RECT,"418,132,435,163"
1349,CHOCTAWCASINO1,128GA,128 - General Admission,34,A,Green,Left,general,RECT,"435,169,465,200"
