VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1349,CHOCTAWCOLISEUM3,GA103,General Admission 103,36,A,Green,Center,general,POLY,"330,387,318,385,318,000,000,000,000,000,000,000,000,000"
1349,CHOCTAWCOLISEUM3,GA104,General Admission 104,38,A,Green,Center,general,RECT,"265,387,294,455"
1349,CHOCTAWCOLISEUM3,GA105,General Admission 105,40,A,Green,Center,general,RECT,"228,374,257,454"
1349,CHOCTAWCOLISEUM3,GA106,General Admission 106,42,A,Green,Center,general,RECT,"191,387,221,455"
1349,CHOCTAWCOLISEUM3,GA107,General Admission 107,44,A,Green,Center,general,POLY,"154,386,166,387,167,000,000,000,000,000,000,000,000,000"
1349,CHOCTAWCOLISEUM3,GA108,General Admission 108,46,A,Green,Center,general,RECT,"120,387,147,455"
1349,CHOCTAWCOLISEUM3,GA109,General Admission 109,48,A,Green,Center,general,RECT,"80,386,110,455"
1349,CHOCTAWCOLISEUM3,GA110,General Admission 110,53,A,Green,Center,general,RECT,"18,296,46,322"
1349,CHOCTAWCOLISEUM3,GA111,General Admission 111,51,A,Green,Center,general,RECT,"17,258,48,288"
1349,CHOCTAWCOLISEUM3,GA112,General Admission 112,49,A,Green,Center,general,RECT,"18,222,47,249"
1349,CHOCTAWCOLISEUM3,GA113,General Admission 113,50,A,Green,Center,general,RECT,"17,183,45,212"
1349,CHOCTAWCOLISEUM3,GA114,General Admission 114,52,A,Green,Center,general,RECT,"18,149,45,176"
1349,CHOCTAWCOLISEUM3,GA115,General Admission 115,47,A,Green,Center,general,RECT,"78,15,107,85"
1349,CHOCTAWCOLISEUM3,GA116,General Admission 116,45,A,Green,Center,general,RECT,"114,17,144,85"
1349,CHOCTAWCOLISEUM3,GA117,General Admission 117,43,A,Green,Center,general,POLY,"180,74,163,74,164,85,151,85,152,18,183,18,182,18"
1349,CHOCTAWCOLISEUM3,GA118,General Admission 118,41,A,Green,Center,general,RECT,"187,18,217,85"
1349,CHOCTAWCOLISEUM3,GA119,General Admission 119,39,A,Green,Center,general,POLY,"225,97,233,97,234,86,243,86,243,96,253,96,253,17,225,17,225,17"
1349,CHOCTAWCOLISEUM3,GA120,General Admission 120,37,A,Green,Center,general,RECT,"258,15,290,83"
1349,CHOCTAWCOLISEUM3,GA121,General Admission 121,35,A,Green,Center,general,POLY,"297,73,316,73,316,85,326,85,328,15,295,14,295,14"
1349,CHOCTAWCOLISEUM3,SC103,Section 103,18,A,Blue,Center,,RECT,"302,346,329,359"
1349,CHOCTAWCOLISEUM3,SC104,Section 104,20,A,Blue,Center,,RECT,"264,345,292,359"
1349,CHOCTAWCOLISEUM3,SC105,Section 105,22,A,Blue,Center,,RECT,"227,345,256,360"
1349,CHOCTAWCOLISEUM3,SC106,Section 106,24,A,Blue,Center,,RECT,"191,345,220,360"
1349,CHOCTAWCOLISEUM3,SC107,Section 107,26,A,Blue,Center,,RECT,"156,345,182,359"
1349,CHOCTAWCOLISEUM3,SC108,Section 108,28,A,Blue,Center,,RECT,"118,344,148,360"
1349,CHOCTAWCOLISEUM3,SC109,Section 109,30,A,Blue,Center,,RECT,"81,345,110,360"
1349,CHOCTAWCOLISEUM3,SC110,Section 110,34,A,Blue,Center,,RECT,"48,295,63,323"
1349,CHOCTAWCOLISEUM3,SC111,Section 111,32,A,Blue,Center,,RECT,"49,261,62,285"
1349,CHOCTAWCOLISEUM3,SC113,Section 113,31,A,Blue,Center,,RECT,"47,186,62,212"
1349,CHOCTAWCOLISEUM3,SC114,Section 114,33,A,Blue,Center,,RECT,"47,149,63,177"
1349,CHOCTAWCOLISEUM3,SC115,Section 115,29,A,Blue,Center,,RECT,"79,112,108,126"
1349,CHOCTAWCOLISEUM3,SC116,Section 116,27,A,Blue,Center,,RECT,"118,114,145,125"
1349,CHOCTAWCOLISEUM3,SC117,Section 117,25,A,Blue,Center,,RECT,"152,112,180,126"
1349,CHOCTAWCOLISEUM3,SC118,Section 118,23,A,Blue,Center,,RECT,"188,111,218,127"
1349,CHOCTAWCOLISEUM3,SC119,Section 119,21,A,Blue,Center,,RECT,"223,111,254,126"
1349,CHOCTAWCOLISEUM3,SC120,Section 120,19,A,Blue,Center,,RECT,"261,112,292,126"
1349,CHOCTAWCOLISEUM3,SC121,Section 121,17,A,Blue,Center,,RECT,"298,113,327,127"
1349,CHOCTAWCOLISEUM3,SC201,Section 201,2,A,Green,Center,,RECT,"283,256,326,285"
1349,CHOCTAWCOLISEUM3,SC202,Section 202,4,A,Green,Center,,RECT,"282,295,326,325"
1349,CHOCTAWCOLISEUM3,SC203,Section 203,6,A,Green,Left,,POLY,"230,284,230,265,248,000,000,000,000,000,000,000,000,000"
1349,CHOCTAWCOLISEUM3,SC204,Section 204,8,A,Green,Center,,RECT,"230,295,275,324"
1349,CHOCTAWCOLISEUM3,SC205,Section 205,10,A,Blue,Left,,POLY,"178,284,178,254,206,000,000,000,000,000,000,000"
1349,CHOCTAWCOLISEUM3,SC206,Section 206,12,A,Blue,Center,,RECT,"178,295,224,324"
1349,CHOCTAWCOLISEUM3,SC207,Section 207,14,A,Blue,Center,,RECT,"127,255,173,283"
1349,CHOCTAWCOLISEUM3,SC208,Section 208,16,A,Blue,Center,,RECT,"126,294,172,325"
1349,CHOCTAWCOLISEUM3,SC211,Section 211,1,A,Green,Center,,RECT,"282,185,327,214"
