VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image
1349,CHOCTAWCOLISEUM5,AD103,GA,GA,5868,H,1,1,1,
1349,CHOCTAWCOLISEUM5,AD103,GA,GA,5869,H,0,1,2,
1349,CHOCTAWCOLISEUM5,AD103,GA,GA,5870,H,0,1,3,
1349,CHOCTAWCOLISEUM5,AD103,GA,GA,5871,H,1,1,4,
1349,CHOCTAWCOLISEUM5,AD104,GA,GA,5885,H,1,1,1,
1349,CHOCTAWCOLISEUM5,AD104,GA,GA,5886,H,0,1,2,
1349,CHOCTAWCOLISEUM5,AD104,GA,GA,5887,H,0,1,3,
1349,CHOCTAWCOLISEUM5,AD104,GA,GA,5888,H,0,1,4,
1349,CHOCTAWCOLISEUM5,AD104,GA,GA,5889,H,0,1,5,
1349,CHOCTAWCOLISEUM5,AD104,GA,GA,5890,H,0,1,6,
1349,CHOCTAWCOLISEUM5,AD104,GA,GA,5891,H,0,1,7,
1349,CHOCTAWCOLISEUM5,AD104,GA,GA,5892,H,0,1,8,
1349,CHOCTAWCOLISEUM5,AD104,GA,GA,5893,H,0,1,9,
1349,CHOCTAWCOLISEUM5,AD104,GA,GA,5894,H,0,1,10,
1349,CHOCTAWCOLISEUM5,AD104,GA,GA,5895,H,0,1,11,
1349,CHOCTAWCOLISEUM5,AD104,GA,GA,5896,H,0,1,12,
1349,CHOCTAWCOLISEUM5,AD104,GA,GA,5897,H,1,1,13,
1349,CHOCTAWCOLISEUM5,AD106,GA,GA,5911,H,1,1,1,
1349,CHOCTAWCOLISEUM5,AD106,GA,GA,5912,H,0,1,2,
1349,CHOCTAWCOLISEUM5,AD106,GA,GA,5913,H,0,1,3,
1349,CHOCTAWCOLISEUM5,AD106,GA,GA,5914,H,0,1,4,
1349,CHOCTAWCOLISEUM5,AD106,GA,GA,5915,H,0,1,5,
1349,CHOCTAWCOLISEUM5,AD106,GA,GA,5916,H,0,1,6,
1349,CHOCTAWCOLISEUM5,AD106,GA,GA,5917,H,0,1,7,
1349,CHOCTAWCOLISEUM5,AD106,GA,GA,5918,H,0,1,8,
1349,CHOCTAWCOLISEUM5,AD106,GA,GA,5919,H,0,1,9,
1349,CHOCTAWCOLISEUM5,AD106,GA,GA,5920,H,0,1,10,
1349,CHOCTAWCOLISEUM5,AD106,GA,GA,5921,H,0,1,11,
1349,CHOCTAWCOLISEUM5,AD106,GA,GA,5922,H,0,1,12,
1349,CHOCTAWCOLISEUM5,AD106,GA,GA,5923,H,1,1,13,
1349,CHOCTAWCOLISEUM5,AD107,GA,GA,5928,H,1,1,1,
1349,CHOCTAWCOLISEUM5,AD107,GA,GA,5929,H,0,1,2,
1349,CHOCTAWCOLISEUM5,AD107,GA,GA,5930,H,0,1,3,
1349,CHOCTAWCOLISEUM5,AD107,GA,GA,5931,H,1,1,4,
1349,CHOCTAWCOLISEUM5,AD108,GA,GA,5945,H,1,1,1,
1349,CHOCTAWCOLISEUM5,AD108,GA,GA,5946,H,0,1,2,
1349,CHOCTAWCOLISEUM5,AD108,GA,GA,5947,H,0,1,3,
1349,CHOCTAWCOLISEUM5,AD108,GA,GA,5948,H,0,1,4,
1349,CHOCTAWCOLISEUM5,AD108,GA,GA,5949,H,0,1,5,
1349,CHOCTAWCOLISEUM5,AD108,GA,GA,5950,H,0,1,6,
1349,CHOCTAWCOLISEUM5,AD108,GA,GA,5951,H,0,1,7,
1349,CHOCTAWCOLISEUM5,AD108,GA,GA,5952,H,0,1,8,
1349,CHOCTAWCOLISEUM5,AD108,GA,GA,5953,H,0,1,9,
1349,CHOCTAWCOLISEUM5,AD108,GA,GA,5954,H,0,1,10,
1349,CHOCTAWCOLISEUM5,AD108,GA,GA,5955,H,0,1,11,
1349,CHOCTAWCOLISEUM5,AD108,GA,GA,5956,H,0,1,12,
1349,CHOCTAWCOLISEUM5,AD108,GA,GA,5957,H,1,1,13,
1349,CHOCTAWCOLISEUM5,AD109,GA,GA,5971,H,1,1,1,
1349,CHOCTAWCOLISEUM5,AD109,GA,GA,5972,H,0,1,2,
1349,CHOCTAWCOLISEUM5,AD109,GA,GA,5973,H,0,1,3,
1349,CHOCTAWCOLISEUM5,AD109,GA,GA,5974,H,0,1,4,
1349,CHOCTAWCOLISEUM5,AD109,GA,GA,5975,H,0,1,5,
1349,CHOCTAWCOLISEUM5,AD109,GA,GA,5976,H,0,1,6,
1349,CHOCTAWCOLISEUM5,AD109,GA,GA,5977,H,0,1,7,
1349,CHOCTAWCOLISEUM5,AD109,GA,GA,5978,H,0,1,8,
1349,CHOCTAWCOLISEUM5,AD109,GA,GA,5979,H,0,1,9,
1349,CHOCTAWCOLISEUM5,AD109,GA,GA,5980,H,0,1,10,
1349,CHOCTAWCOLISEUM5,AD109,GA,GA,5981,H,0,1,11,
1349,CHOCTAWCOLISEUM5,AD109,GA,GA,5982,H,0,1,12,
1349,CHOCTAWCOLISEUM5,AD109,GA,GA,5983,H,1,1,13,
1349,CHOCTAWCOLISEUM5,AD115,GA,GA,5958,H,1,1,1,
1349,CHOCTAWCOLISEUM5,AD115,GA,GA,5959,H,0,1,2,
1349,CHOCTAWCOLISEUM5,AD115,GA,GA,5960,H,0,1,3,
1349,CHOCTAWCOLISEUM5,AD115,GA,GA,5961,H,0,1,4,
1349,CHOCTAWCOLISEUM5,AD115,GA,GA,5962,H,0,1,5,
1349,CHOCTAWCOLISEUM5,AD115,GA,GA,5963,H,0,1,6,
1349,CHOCTAWCOLISEUM5,AD115,GA,GA,5964,H,0,1,7,
1349,CHOCTAWCOLISEUM5,AD115,GA,GA,5965,H,0,1,8,
1349,CHOCTAWCOLISEUM5,AD115,GA,GA,5966,H,0,1,9,
1349,CHOCTAWCOLISEUM5,AD115,GA,GA,5967,H,0,1,10,
1349,CHOCTAWCOLISEUM5,AD115,GA,GA,5968,H,0,1,11,
1349,CHOCTAWCOLISEUM5,AD115,GA,GA,5969,H,0,1,12,
1349,CHOCTAWCOLISEUM5,AD115,GA,GA,5970,H,1,1,13,
1349,CHOCTAWCOLISEUM5,AD116,GA,GA,5932,H,1,1,1,
1349,CHOCTAWCOLISEUM5,AD116,GA,GA,5933,H,0,1,2,
1349,CHOCTAWCOLISEUM5,AD116,GA,GA,5934,H,0,1,3,
1349,CHOCTAWCOLISEUM5,AD116,GA,GA,5935,H,0,1,4,
1349,CHOCTAWCOLISEUM5,AD116,GA,GA,5936,H,0,1,5,
1349,CHOCTAWCOLISEUM5,AD116,GA,GA,5937,H,0,1,6,
1349,CHOCTAWCOLISEUM5,AD116,GA,GA,5938,H,0,1,7,
1349,CHOCTAWCOLISEUM5,AD116,GA,GA,5939,H,0,1,8,
1349,CHOCTAWCOLISEUM5,AD116,GA,GA,5940,H,0,1,9,
1349,CHOCTAWCOLISEUM5,AD116,GA,GA,5941,H,0,1,10,
1349,CHOCTAWCOLISEUM5,AD116,GA,GA,5942,H,0,1,11,
1349,CHOCTAWCOLISEUM5,AD116,GA,GA,5943,H,0,1,12,
1349,CHOCTAWCOLISEUM5,AD116,GA,GA,5944,H,1,1,13,
1349,CHOCTAWCOLISEUM5,AD117,GA,GA,5924,H,1,1,1,
1349,CHOCTAWCOLISEUM5,AD117,GA,GA,5925,H,0,1,2,
1349,CHOCTAWCOLISEUM5,AD117,GA,GA,5926,H,0,1,3,
1349,CHOCTAWCOLISEUM5,AD117,GA,GA,5927,H,1,1,4,
1349,CHOCTAWCOLISEUM5,AD118,GA,GA,5898,H,1,1,1,
1349,CHOCTAWCOLISEUM5,AD118,GA,GA,5899,H,0,1,2,
1349,CHOCTAWCOLISEUM5,AD118,GA,GA,5900,H,0,1,3,
1349,CHOCTAWCOLISEUM5,AD118,GA,GA,5901,H,0,1,4,
1349,CHOCTAWCOLISEUM5,AD118,GA,GA,5902,H,0,1,5,
1349,CHOCTAWCOLISEUM5,AD118,GA,GA,5903,H,0,1,6,
1349,CHOCTAWCOLISEUM5,AD118,GA,GA,5904,H,0,1,7,
1349,CHOCTAWCOLISEUM5,AD118,GA,GA,5905,H,0,1,8,
1349,CHOCTAWCOLISEUM5,AD118,GA,GA,5906,H,0,1,9,
1349,CHOCTAWCOLISEUM5,AD118,GA,GA,5907,H,0,1,10,
1349,CHOCTAWCOLISEUM5,AD118,GA,GA,5908,H,0,1,11,
1349,CHOCTAWCOLISEUM5,AD118,GA,GA,5909,H,0,1,12,
1349,CHOCTAWCOLISEUM5,AD118,GA,GA,5910,H,1,1,13,
1349,CHOCTAWCOLISEUM5,AD120,GA,GA,5872,H,1,1,1,
1349,CHOCTAWCOLISEUM5,AD120,GA,GA,5873,H,0,1,2,
1349,CHOCTAWCOLISEUM5,AD120,GA,GA,5874,H,0,1,3,
1349,CHOCTAWCOLISEUM5,AD120,GA,GA,5875,H,0,1,4,
1349,CHOCTAWCOLISEUM5,AD120,GA,GA,5876,H,0,1,5,
1349,CHOCTAWCOLISEUM5,AD120,GA,GA,5877,H,0,1,6,
1349,CHOCTAWCOLISEUM5,AD120,GA,GA,5878,H,0,1,7,
1349,CHOCTAWCOLISEUM5,AD120,GA,GA,5879,H,0,1,8,
