VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,A,16,315,A,1,1,1,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,A,15,313,A,0,1,2,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,A,14,311,A,0,1,3,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,A,13,309,A,0,1,4,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,A,12,307,A,1,1,5,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,A,11,305,A,1,1,8,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,A,10,303,A,0,1,9,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,A,9,301,A,0,1,10,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,A,8,299,A,0,1,11,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,A,7,297,A,0,1,12,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,A,6,295,A,0,1,13,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,A,5,293,A,0,1,14,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,A,4,291,A,0,1,15,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,A,3,289,A,0,1,16,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,A,2,287,A,0,1,17,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,A,1,285,A,1,1,18,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,B,15,347,A,1,2,1,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,B,14,345,A,0,2,2,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,B,13,343,A,0,2,3,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,B,12,341,A,0,2,4,,0
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,B,11,339,A,1,2,5,,0
