VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates,DirectionImage
1468,CATHEDRALCHURCHOFSTPAUL3,LTC1,LEFT CENTER TIER 1,1,A,BLUE,LEFT,,RECT,"101,123,131,237",
1468,CATHEDRALCHURCHOFSTPAUL3,LTC2,LEFT CENTER TIER 2,5,A,GOLD,LEFT,,RECT,"99,241,132,341",
1468,CATHEDRALCHURCHOFSTPAUL3,LTC3,LEFT CENTER TIER 3,11,A,GREEN,LEFT,,POLY,"101,92,130,119",
1468,CATHEDRALCHURCHOFSTPAUL3,LT1,LEFT TIER 1,3,A,BLUE,LEFT,,RECT,"67,123,98,237",
1468,CATHEDRALCHURCHOFSTPAUL3,LT2,LEFT TIER 2,7,A,GOLD,LEFT,,RECT,"67,243,97,341",
1468,CATHEDRALCHURCHOFSTPAUL3,LT3,LEFT TIER 3,13,A,GREEN,LEFT,,POLY,"67,92,98,118",
1468,CATHEDRALCHURCHOFSTPAUL3,SLT3,SIDE LEFT TIER 3,15,A,GREEN,LEFT,,RECT,"5,93,35,370",
1468,CATHEDRALCHURCHOFSTPAUL3,RTC1,RIGHT CENTER TIER 1,2,A,BLUE,LEFT,,RECT,"165,122,193,238",
1468,CATHEDRALCHURCHOFSTPAUL3,RTC2,RIGHT CENTER TIER 2,6,A,GOLD,LEFT,,RECT,"164,242,193,341",
1468,CATHEDRALCHURCHOFSTPAUL3,RTC3,RIGHT CENTER TIER 3,12,A,GREEN,LEFT,,POLY,"165,93,193,118",
1468,CATHEDRALCHURCHOFSTPAUL3,RT1,RIGHT TIER 1,4,A,BLUE,LEFT,,RECT,"198,123,226,238",
1468,CATHEDRALCHURCHOFSTPAUL3,RT2,RIGHT TIER 2,8,A,GOLD,LEFT,,RECT,"197,242,227,341",
1468,CATHEDRALCHURCHOFSTPAUL3,RT3,RIGHT TIER 3,14,A,GREEN,LEFT,,POLY,"198,93,227,118",
1468,CATHEDRALCHURCHOFSTPAUL3,SRT3,SIDE RIGHT TIER 3,16,A,GREEN,LEFT,,RECT,"263,92,292,371",
1468,CATHEDRALCHURCHOFSTPAUL3,BALL2,BALCONY LEFT TIER 2,9,A,GOLD,LEFT,,RECT,"23,400,123,424",
1468,CATHEDRALCHURCHOFSTPAUL3,BALL3,BALCONY LEFT TIER 3,17,A,GREEN,LEFT,,POLY,"22,424,78,437"
1468,CATHEDRALCHURCHOFSTPAUL3,BALR2,BALCONY RIGHT TIER 2,10,A,GOLD,LEFT,,RECT,"170,401,282,424"
1468,CATHEDRALCHURCHOFSTPAUL3,BALR3,BALCONY RIGHT TIER 3,18,A,GREEN,LEFT,,POLY,"169,424,235,437"
