VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
1036,JORDANHALL1,ORCCT,Orchestra Center,1,A,BLUE,Center
1036,JORDANHALL1,ORCLT,Orchestra Left,2,A,BLUE,Left
1036,JORDANHALL1,ORCRT,Orchestra Right,3,A,BLUE,Left
1036,JORDANHALL1,FCIRL,Front Circle Left ,4,A,GOLD,Left
1036,JORDANHALL1,MCIRL,Middle Circle Left ,5,H,GOLD,Left
1036,JORDANHALL1,RCIRL,Rear Circle Left ,6,H,GOLD,Left
1036,JORDANHALL1,FCIRR,Front Circle Right ,7,A,GOLD,Left
1036,JORDANHALL1,MCIRR,Middle Circle Right ,8,A,BLUE,Left
1036,JORDANHALL1,RCIRR,Rear Circle Right ,9,A,BLUE,Left
1036,JORDANHALL1,BFLF,Balcony Front Left  Front,10,A,GOLD,Left
1036,JORDANHALL1,BMLF,Balcony Middle Left  Front,11,A,BLUE,Left
1036,JORDANHALL1,BMRF,Balcony Middle Right  Front,12,H,GOLD,Left
1036,JORDANHALL1,BFRF,Balcony Front Right  Front,13,A,GOLD,Left
1036,JORDANHALL1,BFLM,Balcony Front Left  Middle,14,A,GREEN,Left
1036,JORDANHALL1,BMLM,Balcony Middle Left  Middle,15,H,GOLD,Left
1036,JORDANHALL1,BMRM,Balcony Middle Right  Middle,16,A,GOLD,Left
1036,JORDANHALL1,BFRM,Balcony Front Right  Middle,17,A,GREEN,Left
1036,JORDANHALL1,BFLR,Balcony Front Left Rear,18,H,GREEN,Left
1036,JORDANHALL1,BMLR,Balcony Middle Left Rear,19,H,GREEN,Left
1036,JORDANHALL1,BMRR,Balcony Middle Right Rear,20,H,GOLD,Left
1036,JORDANHALL1,BFRR,Balcony Front Right  Rear,21,A,GREEN,Left
1036,JORDANHALL1,ADACL,ADA Circle Left,22,H,GOLD,Left
1036,JORDANHALL1,ADACR,ADA Circle Right,23,H,GOLD,Left
1036,JORDANHALL1,ADABL,ADA Balcony Left,24,H,GOLD,Left
1036,JORDANHALL1,ADABR,ADA Balcony Right,25,H,GOLD,Left
