VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort
1036,JORDANHALL3,BACL1,A,31,311,A,1,1,5
1036,JORDANHALL3,BACL1,A,33,309,A,0,1,6
1036,JORDANHALL3,BACL1,A,35,307,A,0,1,7
1036,JORDANHALL3,BACL1,A,37,305,A,0,1,8
1036,JORDANHALL3,BACL1,A,39,303,A,0,1,9
1036,JORDANHALL3,BACL1,A,41,301,A,0,1,10
1036,JORDANHALL3,BACL1,A,43,299,A,0,1,11
1036,JORDANHALL3,BACL1,A,45,297,A,1,1,12
1036,JORDANHALL3,BACL1,A,47,295,A,1,1,15
1036,JORDANHALL3,BACL1,A,49,293,A,0,1,16
1036,JORDANHALL3,BACL1,A,51,291,A,0,1,17
1036,JORDANHALL3,BACL1,A,53,289,A,0,1,18
1036,JORDANHALL3,BACL1,A,55,287,A,0,1,19
1036,JORDANHALL3,BACL1,A,57,285,A,0,1,20
1036,JORDANHALL3,BACL1,A,59,283,A,0,1,21
1036,JORDANHALL3,BACL1,A,61,281,A,1,1,22
1036,JORDANHALL3,BACL1,B,31,347,A,1,2,3
1036,JORDANHALL3,BACL1,B,33,345,A,0,2,4
1036,JORDANHALL3,BACL1,B,35,343,A,0,2,5
1036,JORDANHALL3,BACL1,B,37,341,A,0,2,6
1036,JORDANHALL3,BACL1,B,39,339,A,0,2,7
1036,JORDANHALL3,BACL1,B,41,337,A,0,2,8
1036,JORDANHALL3,BACL1,B,43,335,A,0,2,9
1036,JORDANHALL3,BACL1,B,45,333,A,0,2,10
1036,JORDANHALL3,BACL1,B,47,331,A,1,2,11
1036,JORDANHALL3,BACL1,B,49,329,A,1,2,14
1036,JORDANHALL3,BACL1,B,51,327,A,0,2,15
1036,JORDANHALL3,BACL1,B,53,325,A,0,2,16
1036,JORDANHALL3,BACL1,B,55,323,A,0,2,17
1036,JORDANHALL3,BACL1,B,57,321,A,0,2,18
1036,JORDANHALL3,BACL1,B,59,319,A,0,2,19
1036,JORDANHALL3,BACL1,B,61,317,A,0,2,20
1036,JORDANHALL3,BACL1,B,63,315,A,0,2,21
1036,JORDANHALL3,BACL1,B,65,313,A,1,2,22
1036,JORDANHALL3,BACL1,C,31,387,A,1,3,1
1036,JORDANHALL3,BACL1,C,33,385,A,0,3,2
1036,JORDANHALL3,BACL1,C,35,383,A,0,3,3
1036,JORDANHALL3,BACL1,C,37,381,A,0,3,4
1036,JORDANHALL3,BACL1,C,39,379,A,0,3,5
1036,JORDANHALL3,BACL1,C,41,377,A,0,3,6
1036,JORDANHALL3,BACL1,C,43,375,A,0,3,7
1036,JORDANHALL3,BACL1,C,45,373,A,0,3,8
1036,JORDANHALL3,BACL1,C,47,371,A,0,3,9
1036,JORDANHALL3,BACL1,C,49,369,A,1,3,10
1036,JORDANHALL3,BACL1,C,51,367,A,1,3,13
1036,JORDANHALL3,BACL1,C,53,365,A,0,3,14
1036,JORDANHALL3,BACL1,C,55,363,A,0,3,15
1036,JORDANHALL3,BACL1,C,57,361,A,0,3,16
1036,JORDANHALL3,BACL1,C,59,359,A,0,3,17
1036,JORDANHALL3,BACL1,C,61,357,A,0,3,18
1036,JORDANHALL3,BACL1,C,63,355,A,0,3,19
1036,JORDANHALL3,BACL1,C,65,353,A,0,3,20
1036,JORDANHALL3,BACL1,C,67,351,A,0,3,21
1036,JORDANHALL3,BACL1,C,69,349,A,1,3,22
1036,JORDANHALL3,BACL2,D,31,605,A,1,1,3
1036,JORDANHALL3,BACL2,D,33,603,A,0,1,4
1036,JORDANHALL3,BACL2,D,35,601,A,0,1,5
1036,JORDANHALL3,BACL2,D,37,599,A,0,1,6
1036,JORDANHALL3,BACL2,D,39,597,A,0,1,7
1036,JORDANHALL3,BACL2,D,41,595,A,0,1,8
1036,JORDANHALL3,BACL2,D,43,593,A,0,1,9
1036,JORDANHALL3,BACL2,D,45,591,A,0,1,10
1036,JORDANHALL3,BACL2,D,47,589,A,0,1,11
1036,JORDANHALL3,BACL2,D,49,587,A,0,1,12
1036,JORDANHALL3,BACL2,D,51,585,A,1,1,13
1036,JORDANHALL3,BACL2,D,53,583,A,1,1,16
1036,JORDANHALL3,BACL2,D,55,581,A,0,1,17
1036,JORDANHALL3,BACL2,D,57,579,A,0,1,18
1036,JORDANHALL3,BACL2,D,59,577,A,0,1,19
1036,JORDANHALL3,BACL2,D,61,575,A,0,1,20
1036,JORDANHALL3,BACL2,D,63,573,A,0,1,21
1036,JORDANHALL3,BACL2,D,65,571,A,0,1,22
1036,JORDANHALL3,BACL2,D,67,569,A,0,1,23
1036,JORDANHALL3,BACL2,D,69,567,A,0,1,24
1036,JORDANHALL3,BACL2,D,71,565,A,0,1,25
1036,JORDANHALL3,BACL2,D,73,563,A,1,1,26
1036,JORDANHALL3,BACL2,E,31,657,A,1,2,1
1036,JORDANHALL3,BACL2,E,33,655,A,0,2,2
1036,JORDANHALL3,BACL2,E,35,653,A,0,2,3
1036,JORDANHALL3,BACL2,E,37,651,A,0,2,4
1036,JORDANHALL3,BACL2,E,39,649,A,0,2,5
1036,JORDANHALL3,BACL2,E,41,647,A,0,2,6
1036,JORDANHALL3,BACL2,E,43,645,A,0,2,7
1036,JORDANHALL3,BACL2,E,45,643,A,0,2,8
1036,JORDANHALL3,BACL2,E,47,641,A,0,2,9
1036,JORDANHALL3,BACL2,E,49,639,A,0,2,10
1036,JORDANHALL3,BACL2,E,51,637,A,0,2,11
1036,JORDANHALL3,BACL2,E,53,635,A,0,2,12
1036,JORDANHALL3,BACL2,E,55,633,A,0,2,13
1036,JORDANHALL3,BACL2,E,57,631,A,0,2,14
1036,JORDANHALL3,BACL2,E,59,629,A,0,2,15
1036,JORDANHALL3,BACL2,E,61,627,A,0,2,16
1036,JORDANHALL3,BACL2,E,63,625,A,0,2,17
1036,JORDANHALL3,BACL2,E,65,623,A,0,2,18
1036,JORDANHALL3,BACL2,E,67,621,A,0,2,19
1036,JORDANHALL3,BACL2,E,69,619,A,0,2,20
1036,JORDANHALL3,BACL2,E,71,617,A,0,2,21
1036,JORDANHALL3,BACL2,E,73,615,A,0,2,22
1036,JORDANHALL3,BACL2,E,75,613,A,0,2,23
1036,JORDANHALL3,BACL2,E,77,611,A,0,2,24
1036,JORDANHALL3,BACL2,E,79,609,A,0,2,25
1036,JORDANHALL3,BACL2,E,81,607,A,1,2,26
1036,JORDANHALL3,BACL3,F,69,690,A,1,1,1
1036,JORDANHALL3,BACL3,F,67,692,A,0,1,2
1036,JORDANHALL3,BACL3,F,65,694,A,0,1,3
1036,JORDANHALL3,BACL3,F,63,696,A,0,1,4
1036,JORDANHALL3,BACL3,F,61,698,A,0,1,5
1036,JORDANHALL3,BACL3,F,59,700,A,0,1,6
1036,JORDANHALL3,BACL3,F,57,702,A,0,1,7
1036,JORDANHALL3,BACL3,F,55,704,A,0,1,8
1036,JORDANHALL3,BACL3,F,53,706,A,0,1,9
1036,JORDANHALL3,BACL3,F,51,708,A,1,1,10
1036,JORDANHALL3,BACL3,F,49,710,A,1,1,14
1036,JORDANHALL3,BACL3,F,47,712,A,0,1,15
1036,JORDANHALL3,BACL3,F,45,714,A,0,1,16
1036,JORDANHALL3,BACL3,F,43,716,A,0,1,17
1036,JORDANHALL3,BACL3,F,41,718,A,0,1,18
1036,JORDANHALL3,BACL3,F,39,720,A,0,1,19
1036,JORDANHALL3,BACL3,F,37,722,A,0,1,20
1036,JORDANHALL3,BACL3,F,35,724,A,0,1,21
1036,JORDANHALL3,BACL3,F,33,726,A,0,1,22
1036,JORDANHALL3,BACL3,F,31,728,A,1,1,23
1036,JORDANHALL3,BACL3,G,63,730,A,1,2,2
1036,JORDANHALL3,BACL3,G,61,732,A,0,2,3
1036,JORDANHALL3,BACL3,G,59,734,A,0,2,4
1036,JORDANHALL3,BACL3,G,57,736,A,0,2,5
1036,JORDANHALL3,BACL3,G,55,738,A,0,2,6
1036,JORDANHALL3,BACL3,G,53,740,A,0,2,7
1036,JORDANHALL3,BACL3,G,51,742,A,0,2,8
1036,JORDANHALL3,BACL3,G,49,744,A,0,2,9
1036,JORDANHALL3,BACL3,G,47,746,A,0,2,10
1036,JORDANHALL3,BACL3,G,45,748,A,1,2,11
1036,JORDANHALL3,BACL3,G,43,750,A,1,2,15
1036,JORDANHALL3,BACL3,G,41,752,A,0,2,16
