VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates,DirectionImage
1036,JORDANHALL3,ORCC,ORCHESTRA CENTER,1,A,BLUE,CENTER,,POLY,"178,261,199,101,293,101,313,261,177,261,214,270,276,270,276,283,216,282,215,270,180,260,180,260",
1036,JORDANHALL3,ORCL,ORCHESTRA LEFT,2,A,BLUE,LEFT,,POLY,"180,102,113,81,115,166,118,185,127,209,146,235,159,247,159,247",
1036,JORDANHALL3,ORCR,ORCHESTRA RIGHT,3,A,BLUE,LEFT,,POLY,"308,101,372,73,371,170,367,193,354,220,343,240,331,245,332,245",
1036,JORDANHALL3,CIRCL,CIRCLE CENTER LEFT,4,A,BLUE,CENTER,,POLY,"235,289,232,336,200,331,173,321,149,310,174,269,190,279,209,286,227,289,227,289",
1036,JORDANHALL3,CIRCR,CIRCLE CENTER RIGHT,5,A,BLUE,CENTER,,POLY,"257,288,272,289,290,284,306,277,318,270,342,308,326,319,310,326,290,332,276,335,261,335,261,335",
1036,JORDANHALL3,CIRL1,CIRCLE LEFT TIER 1,6,A,BLUE,CENTER,,POLY,"155,255,133,231,121,215,115,204,70,223,82,247,106,275,123,290,123,290",
1036,JORDANHALL3,CIRL2,CIRCLE LEFT TIER 2,10,A,GOLD,LEFT,,POLY,"29,186,43,184,46,194,103,178,100,38,23,44,30,186,44,185,45,234,69,224,87,253,117,286,122,291,103,313,81,293,56,262,44,232,44,187,43,187",
1036,JORDANHALL3,CIRR1,CIRCLE RIGHT TIER 1,7,A,BLUE,LEFT,,POLY,"368,290,380,277,400,257,412,236,418,222,373,203,366,217,360,228,349,238,334,253,334,253",
1036,JORDANHALL3,CIRR2,CIRCLE RIGHT TIER 2,11,A,GOLD,LEFT,,POLY,"437,194,380,178,384,37,460,45,457,187,440,184,438,195,444,232,435,258,413,289,388,312,366,292,387,273,403,251,412,234,418,220,444,233,437,193,437,193",
1036,JORDANHALL3,BACL1,BALCONY CENTER LEFT TIER 1,8,A,BLUE,CENTER,,POLY,"122,512,130,526,141,547,158,564,172,573,202,585,229,590,229,624,200,621,160,604,149,599,133,587,107,561,88,526,87,526",
1036,JORDANHALL3,BACL2,BALCONY CENTER LEFT TIER 2,12,A,GOLD,CENTER,,POLY,"86,527,101,557,133,595,124,604,139,616,149,604,173,618,205,627,226,631,226,654,200,651,155,634,114,607,87,577,63,533,63,533",
1036,JORDANHALL3,BACL3,BALCONY CENTER LEFT TIER 3,16,A,GREEN,LEFT,,POLY,"156,637,180,648,205,655,227,656,221,680,175,671,143,660,156,638,100,598,82,614,58,582,49,569,43,554,61,537,73,564,85,581,98,592",
1036,JORDANHALL3,BACR1,BALCONY CENTER RIGHT TIER 1,9,A,BLUE,CENTER,,POLY,"243,589,271,583,304,572,315,560,337,537,351,509,383,523,364,559,336,588,320,599,293,614,268,620,243,623,243,623",
1036,JORDANHALL3,BACR2,BALCONY CENTER RIGHT TIER 2,13,A,GOLD,CENTER,,POLY,"245,650,267,649,310,636,347,614,379,584,403,549,408,531,385,525,370,559,339,590,346,600,331,613,321,602,296,618,266,627,244,630",
1036,JORDANHALL3,BACR3,BALCONY CENTER RIGHT TIER 3,17,A,GREEN,LEFT,,POLY,"317,638,327,660,309,667,273,678,251,678,247,656,271,656,299,649,317,638,370,595,389,574,411,534,427,551,419,570,388,611,370,594,370,594",
1036,JORDANHALL3,BALL2,BALCONY LEFT TIER 2,14,A,GOLD,LEFT,,POLY,"103,383,113,382,117,494,106,496,106,496"
1036,JORDANHALL3,BALL3,BALCONY LEFT TIER 3,18,A,GREEN,LEFT,,POLY,"36,396,104,382,105,498,50,512,51,512"
1036,JORDANHALL3,BALL4,BALCONY LEFT TIER 4,20,A,ORANGE,LEFT,,POLY,"32,398,16,397,17,461,30,516,51,513,51,513"
1036,JORDANHALL3,BALR2,BALCONY RIGHT TIER 2,15,A,GOLD,LEFT,,POLY,"357,382,368,383,364,497,353,496,353,496"
1036,JORDANHALL3,BALR3,BALCONY RIGHT TIER 3,19,A,GREEN,LEFT,,POLY,"422,396,368,382,364,499,415,513,415,513"
1036,JORDANHALL3,BALR4,BALCONY RIGHT TIER 4,21,A,ORANGE,LEFT,,POLY,"427,399,455,398,454,463,436,517,419,513,420,513"
