VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1459,OLDSOUTHCHURCH2,P009,PEW 9,2,H,GOLD,LEFT,,RECT,"293,126,333,140"
1459,OLDSOUTHCHURCH2,P010,PEW 10,1,H,GOLD,LEFT,,RECT,"226,129,265,143"
1459,OLDSOUTHCHURCH2,P011,PEW 11,6,H,GOLD,LEFT,,RECT,"294,149,334,161"
1459,OLDSOUTHCHURCH2,P012,PEW 12,5,H,GOLD,LEFT,,RECT,"227,150,264,160"
1459,OLDSOUTHCHURCH2,P013,PEW 13,9,A,GOLD,LEFT,,RECT,"292,166,332,181"
1459,OLDSOUTHCHURCH2,P014,PEW 14,10,A,GOLD,LEFT,,RECT,"224,168,265,182"
1459,OLDSOUTHCHURCH2,P015,PEW 15,14,H,BLUE,LEFT,,RECT,"292,189,333,202"
1459,OLDSOUTHCHURCH2,P016,PEW 16,13,H,BLUE,LEFT,,RECT,"227,189,265,204"
1459,OLDSOUTHCHURCH2,P017,PEW 17,18,H,BLUE,LEFT,,RECT,"293,210,333,223"
1459,OLDSOUTHCHURCH2,P018,PEW 18,17,H,BLUE,LEFT,,RECT,"226,209,265,223"
1459,OLDSOUTHCHURCH2,P019,PEW 19,22,A,BLUE,LEFT,,RECT,"293,229,333,243"
1459,OLDSOUTHCHURCH2,P020,PEW 20,21,A,BLUE,LEFT,,RECT,"226,231,264,242"
1459,OLDSOUTHCHURCH2,P021,PEW 21,26,A,BLUE,LEFT,,RECT,"294,249,334,263"
1459,OLDSOUTHCHURCH2,P022,PEW 22,25,A,BLUE,LEFT,,RECT,"225,250,264,265"
1459,OLDSOUTHCHURCH2,P023,PEW 23,30,A,BLUE,LEFT,,RECT,"292,271,333,283"
1459,OLDSOUTHCHURCH2,P024,PEW 24,29,A,BLUE,LEFT,,RECT,"224,271,265,284"
1459,OLDSOUTHCHURCH2,P025,PEW 25,34,A,BLUE,LEFT,,RECT,"295,291,333,304"
1459,OLDSOUTHCHURCH2,P026,PEW 26,33,A,BLUE,LEFT,,RECT,"225,291,265,305"
1459,OLDSOUTHCHURCH2,P027,PEW 27,38,A,BLUE,LEFT,,RECT,"295,311,332,323"
1459,OLDSOUTHCHURCH2,P028,PEW 28,37,A,BLUE,LEFT,,RECT,"224,309,263,325"
1459,OLDSOUTHCHURCH2,P029,PEW 29,42,A,BLUE,LEFT,,RECT,"293,332,333,345"
1459,OLDSOUTHCHURCH2,P030,PEW 30,41,A,BLUE,LEFT,,RECT,"225,332,264,346"
1459,OLDSOUTHCHURCH2,P031,PEW 31,46,A,BLUE,LEFT,,RECT,"293,351,335,365"
1459,OLDSOUTHCHURCH2,P032,PEW 32,45,A,BLUE,LEFT,,RECT,"224,354,264,365"
1459,OLDSOUTHCHURCH2,P033,PEW 33,50,A,BLUE,LEFT,,RECT,"293,374,333,385"
1459,OLDSOUTHCHURCH2,P034,PEW 34,49,A,BLUE,LEFT,,RECT,"226,374,263,386"
1459,OLDSOUTHCHURCH2,P035,PEW 35,54,A,BLUE,LEFT,,RECT,"294,393,332,405"
1459,OLDSOUTHCHURCH2,P036,PEW 36,53,A,BLUE,LEFT,,RECT,"224,395,264,407"
1459,OLDSOUTHCHURCH2,P037,PEW 37,58,H,BLUE,LEFT,,RECT,"293,414,334,427"
1459,OLDSOUTHCHURCH2,P038,PEW 38,57,H,BLUE,LEFT,,RECT,"225,415,264,425"
1459,OLDSOUTHCHURCH2,P039,PEW 39,62,H,BLUE,LEFT,,RECT,"293,432,333,448"
1459,OLDSOUTHCHURCH2,P040,PEW 40,61,H,BLUE,LEFT,,RECT,"225,435,263,447"
1459,OLDSOUTHCHURCH2,P041,PEW 41,66,H,GREEN,LEFT,,RECT,"293,453,334,467"
1459,OLDSOUTHCHURCH2,P042,PEW 42,65,H,GREEN,LEFT,,RECT,"225,455,264,467"
1459,OLDSOUTHCHURCH2,P043,PEW 43,70,A,GREEN,LEFT,,RECT,"293,472,334,486"
1459,OLDSOUTHCHURCH2,P044,PEW 44,69,A,GREEN,LEFT,,RECT,"224,473,263,486"
1459,OLDSOUTHCHURCH2,P047,PEW 47,72,A,GREEN,LEFT,,RECT,"293,494,334,506"
1459,OLDSOUTHCHURCH2,P048,PEW 48,71,A,GREEN,LEFT,,RECT,"223,494,264,508"
1459,OLDSOUTHCHURCH2,P049,PEW 49,75,A,GREEN,LEFT,,RECT,"180,494,220,507"
1459,OLDSOUTHCHURCH2,P051,PEW 51,71,A,GREEN,LEFT,,RECT,"181,475,219,488"
1459,OLDSOUTHCHURCH2,P052,PEW 52,67,A,GREEN,LEFT,,RECT,"178,454,220,468"
1459,OLDSOUTHCHURCH2,P053,PEW 53,63,H,BLUE,LEFT,,RECT,"180,434,219,447"
1459,OLDSOUTHCHURCH2,P054,PEW 54,59,H,BLUE,LEFT,,RECT,"180,412,220,426"
1459,OLDSOUTHCHURCH2,P055,PEW 55,55,A,BLUE,LEFT,,RECT,"180,392,220,407"
1459,OLDSOUTHCHURCH2,P056,PEW 56,51,A,BLUE,LEFT,,RECT,"180,374,220,386"
1459,OLDSOUTHCHURCH2,P057,PEW 57,47,A,BLUE,LEFT,,RECT,"180,353,219,364"
1459,OLDSOUTHCHURCH2,P058,PEW 58,43,A,BLUE,LEFT,,RECT,"179,332,220,346"
1459,OLDSOUTHCHURCH2,P059,PEW 59,39,A,BLUE,LEFT,,RECT,"180,312,219,322"
1459,OLDSOUTHCHURCH2,P060,PEW 60,35,A,BLUE,LEFT,,RECT,"180,292,221,305"
1459,OLDSOUTHCHURCH2,P061,PEW 61,31,H,BLUE,LEFT,,RECT,"180,270,218,283"
1459,OLDSOUTHCHURCH2,P062,PEW 62,27,H,BLUE,LEFT,,RECT,"180,251,220,263"
1459,OLDSOUTHCHURCH2,P063,PEW 63,23,A,BLUE,LEFT,,RECT,"182,231,221,243"
1459,OLDSOUTHCHURCH2,P064,PEW 64,19,A,BLUE,LEFT,,RECT,"179,209,219,221"
1459,OLDSOUTHCHURCH2,P065,PEW 65,15,H,BLUE,LEFT,,RECT,"181,188,220,203"
1459,OLDSOUTHCHURCH2,P066,PEW 66,11,A,GOLD,LEFT,,RECT,"181,169,219,181"
1459,OLDSOUTHCHURCH2,P067,PEW 67,7,A,GOLD,LEFT,,RECT,"180,149,220,162"
1459,OLDSOUTHCHURCH2,P068,PEW 68,3,H,GOLD,LEFT,,RECT,"180,128,220,142"
1459,OLDSOUTHCHURCH2,P089,PEW 89,74,A,GREEN,LEFT,,RECT,"337,493,377,507"
1459,OLDSOUTHCHURCH2,P91,PEW 91,72,A,GREEN,LEFT,,RECT,"337,473,378,487"
1459,OLDSOUTHCHURCH2,P92,PEW 92,68,A,GREEN,LEFT,,RECT,"337,454,377,465"
1459,OLDSOUTHCHURCH2,P93,PEW 93,64,H,BLUE,LEFT,,RECT,"338,434,377,446"
1459,OLDSOUTHCHURCH2,P94,PEW 94,60,H,BLUE,LEFT,,RECT,"336,413,377,426"
1459,OLDSOUTHCHURCH2,P95,PEW 95,56,A,BLUE,LEFT,,RECT,"337,394,378,405"
1459,OLDSOUTHCHURCH2,P96,PEW 96,52,A,BLUE,LEFT,,RECT,"336,371,376,385"
1459,OLDSOUTHCHURCH2,P97,PEW 97,48,A,BLUE,LEFT,,RECT,"338,350,379,364"
1459,OLDSOUTHCHURCH2,P98,PEW 98,44,A,BLUE,LEFT,,RECT,"337,331,377,343"
1459,OLDSOUTHCHURCH2,P99,PEW 99,40,A,BLUE,LEFT,,RECT,"336,311,377,323"
1459,OLDSOUTHCHURCH2,P100,PEW 100,36,A,BLUE,LEFT,,RECT,"336,292,377,303"
1459,OLDSOUTHCHURCH2,P101,PEW 101,32,H,BLUE,LEFT,,RECT,"339,270,377,284"
1459,OLDSOUTHCHURCH2,P102,PEW 102,28,H,BLUE,LEFT,,RECT,"339,250,380,264"
1459,OLDSOUTHCHURCH2,P103,PEW 103,24,A,BLUE,LEFT,,RECT,"339,228,377,243"
1459,OLDSOUTHCHURCH2,P104,PEW 104,20,A,BLUE,LEFT,,RECT,"339,211,377,221"
1459,OLDSOUTHCHURCH2,P105,PEW 105,16,H,BLUE,LEFT,,RECT,"339,189,378,203"
1459,OLDSOUTHCHURCH2,P106,PEW 106,12,A,GOLD,LEFT,,RECT,"338,168,379,180"
1459,OLDSOUTHCHURCH2,P107,PEW 107,8,A,GOLD,LEFT,,RECT,"338,148,379,163"
1459,OLDSOUTHCHURCH2,P108,PEW 108,4,H,GOLD,LEFT,,RECT,"338,129,380,141"
1459,OLDSOUTHCHURCH2,P129,PEW 129,99,A,GREEN,LEFT,,RECT,"450,699,463,746"
1459,OLDSOUTHCHURCH2,P130,PEW 130,91,A,GREEN,LEFT,,RECT,"430,696,444,747"
1459,OLDSOUTHCHURCH2,P131,PEW 131,83,A,GREEN,LEFT,,RECT,"409,697,422,747"
1459,OLDSOUTHCHURCH2,P132,PEW 132,79,H,GREEN,LEFT,,RECT,"409,643,423,683"
1459,OLDSOUTHCHURCH2,P133,PEW 133,87,A,GREEN,LEFT,,RECT,"429,642,442,681"
1459,OLDSOUTHCHURCH2,P134,PEW 134,95,A,GREEN,LEFT,,RECT,"449,642,463,682"
1459,OLDSOUTHCHURCH2,P135,PEW 135,93,A,GREEN,LEFT,,RECT,"449,599,462,636"
1459,OLDSOUTHCHURCH2,P136,PEW 136,85,A,GREEN,LEFT,,RECT,"428,599,442,636"
1459,OLDSOUTHCHURCH2,P137,PEW 137,77,H,GREEN,LEFT,,RECT,"408,598,422,636"
1459,OLDSOUTHCHURCH2,P138,PEW 138,81,A,GREEN,LEFT,,RECT,"409,556,420,591"
1459,OLDSOUTHCHURCH2,P139,PEW 139,89,A,GREEN,LEFT,,RECT,"429,555,443,590"
1459,OLDSOUTHCHURCH2,P140,PEW 140,97,A,GREEN,LEFT,,RECT,"450,556,463,589"
1459,OLDSOUTHCHURCH2,P141,PEW 141,101,A,GREEN,LEFT,,RECT,"470,556,485,589"
1459,OLDSOUTHCHURCH2,P142,PEW 142,98,A,GREEN,LEFT,,RECT,"99,696,110,744"
1459,OLDSOUTHCHURCH2,P143,PEW 143,90,A,GREEN,LEFT,,RECT,"118,697,133,747"
1459,OLDSOUTHCHURCH2,P144,PEW 144,82,A,GREEN,LEFT,,RECT,"139,697,151,747"
1459,OLDSOUTHCHURCH2,P145,PEW 145,78,H,GREEN,LEFT,,RECT,"137,644,150,684"
1459,OLDSOUTHCHURCH2,P146,PEW 146,86,A,GREEN,LEFT,,RECT,"118,646,131,683"
1459,OLDSOUTHCHURCH2,P147,PEW 147,94,A,GREEN,LEFT,,RECT,"97,646,109,684"
1459,OLDSOUTHCHURCH2,P148,PEW 148,92,A,GREEN,LEFT,,RECT,"97,601,111,639"
1459,OLDSOUTHCHURCH2,P149,PEW 149,84,A,GREEN,LEFT,,RECT,"117,602,132,640"
1459,OLDSOUTHCHURCH2,P150,PEW 150,76,H,GREEN,LEFT,,RECT,"138,603,151,640"
1459,OLDSOUTHCHURCH2,P151,PEW 151,80,A,GREEN,LEFT,,RECT,"139,555,150,591"
1459,OLDSOUTHCHURCH2,P152,PEW 152,88,A,GREEN,LEFT,,RECT,"118,557,130,591"
1459,OLDSOUTHCHURCH2,P153,PEW 153,96,A,GREEN,LEFT,,RECT,"98,558,110,590"
1459,OLDSOUTHCHURCH2,P154,PEW 154,100,A,GREEN,LEFT,,RECT,"76,554,90,593"
