VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1459,OLDSOUTHCHURCH3,FCL1,FLOOR CENTER LEFT TIER 1,1,A,GOLD,LEFT,,RECT,"179,181,214,299"
1459,OLDSOUTHCHURCH3,FCL2,FLOOR CENTER LEFT TIER 2,5,A,BLUE,LEFT,,RECT,"214,174,178,174,177,162,214,162,214,174,218,174,218,306,177,305,178,442,213,442,212,305,218,307,218,173,218,173"
1459,OLDSOUTHCHURCH3,FCL3,FLOOR CENTER LEFT TIER 3,15,A,GREEN,LEFT,,RECT,"178,447,214,495"
1459,OLDSOUTHCHURCH3,FL1,FLOOR LEFT TIER 1,3,A,GOLD,LEFT,,RECT,"140,181,175,300"
1459,OLDSOUTHCHURCH3,FL2,FLOOR LEFT TIER 2,7,A,BLUE,LEFT,,RECT,"140,174,176,174,175,162,140,162,140,174,131,174,131,304,142,305,174,304,175,443,139,443,139,303,131,303,131,175,131,175"
1459,OLDSOUTHCHURCH3,FL3,FLOOR LEFT TIER 3,17,A,GREEN,LEFT,,RECT,"137,447,175,495"
1459,OLDSOUTHCHURCH3,FCR1,FLOOR CENTER RIGHT TIER 1,2,A,GOLD,LEFT,,RECT,"238,180,274,299"
1459,OLDSOUTHCHURCH3,FCR2,FLOOR CENTER RIGHT TIER 2,6,A,BLUE,LEFT,,RECT,"240,172,240,162,274,162,274,173,240,172,234,171,233,303,273,305,274,441,239,440,239,303,233,303,234,170,234,170"
1459,OLDSOUTHCHURCH3,FCR3,FLOOR CENTER RIGHT TIER 3,16,A,GREEN,LEFT,,RECT,"238,446,274,495"
1459,OLDSOUTHCHURCH3,FR1,FLOOR RIGHT TIER 1,4,A,GOLD,LEFT,,RECT,"278,181,313,299"
1459,OLDSOUTHCHURCH3,FR2,FLOOR RIGHT TIER 2,8,A,BLUE,LEFT,,RECT,"312,173,278,173,278,162,312,161,312,174,318,174,318,306,311,305,279,305,277,440,310,441,311,305,319,305,318,173,318,173"
1459,OLDSOUTHCHURCH3,FR3,FLOOR RIGHT TIER 3,18,A,GREEN,LEFT,,RECT,"277,447,313,494"
1459,OLDSOUTHCHURCH3,LBCL2,LEFT BALCONY CENTER LEFT TIER 2,9,A,GOLD,LEFT,,RECT,"102,546,113,580"
1459,OLDSOUTHCHURCH3,LBCL3,LEFT BALCONY CENTER LEFT TIER 3,21,A,GREEN,LEFT,,RECT,"65,545,95,580"
1459,OLDSOUTHCHURCH3,LBL3,LEFT BALCONY LEFT TIER 3,19,A,GREEN,LEFT,,RECT,"47,506,79,537"
1459,OLDSOUTHCHURCH3,LBL4,LEFT BALCONY LEFT TIER 4,27,A,RED,LEFT,,RECT,"83,505,114,538"
1459,OLDSOUTHCHURCH3,LBCR2,LEFT BALCONY CENTER RIGHT TIER 2,11,A,GOLD,LEFT,,RECT,"103,585,113,619"
1459,OLDSOUTHCHURCH3,LBCR3,LEFT BALCONY CENTER RIGHT TIER 3,23,A,GREEN,LEFT,,RECT,"65,585,95,620"
1459,OLDSOUTHCHURCH3,LBR2,LEFT BALCONY RIGHT TIER 2,13,A,GOLD,LEFT,,RECT,"103,630,114,674"
1459,OLDSOUTHCHURCH3,LBR3,LEFT BALCONY RIGHT TIER 3,25,A,GREEN,LEFT,,RECT,"66,629,96,674"
1459,OLDSOUTHCHURCH3,RBCL2,RIGHT BALCONY CENTER LEFT TIER 2,12,A,GOLD,LEFT,,RECT,"338,583,349,618"
1459,OLDSOUTHCHURCH3,RBCL3,RIGHT BALCONY CENTER LEFT TIER 3,24,A,GREEN,LEFT,,RECT,"354,582,385,619"
1459,OLDSOUTHCHURCH3,RBL2,RIGHT BALCONY LEFT TIER 2,14,A,GREEN,LEFT,,RECT,"338,630,351,674"
1459,OLDSOUTHCHURCH3,RBL3,RIGHT BALCONY LEFT TIER 3,26,A,RED,LEFT,,RECT,"355,629,387,673"
1459,OLDSOUTHCHURCH3,RBCR2,RIGHT BALCONY CENTER RIGHT TIER 2,10,A,GOLD,LEFT,,RECT,"337,543,350,577"
1459,OLDSOUTHCHURCH3,RBCR3,RIGHT BALCONY CENTER RIGHT TIER 3,22,A,GREEN,LEFT,,RECT,"354,543,385,578"
1459,OLDSOUTHCHURCH3,RBR3,RIGHT BALCONY RIGHT TIER 3,20,A,GOLD,LEFT,,RECT,"373,505,404,538"
1459,OLDSOUTHCHURCH3,RBR4,RIGHT BALCONY RIGHT TIER 4,28,A,GREEN,LEFT,,RECT,"337,507,369,538"
