VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
1459,OLDSOUTHCHURCH5,CENL1,PEW12,1,1,A,1,1,1,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW12,2,3,A,0,1,2,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW12,3,5,A,0,1,3,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW12,4,7,A,0,1,4,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW12,5,9,A,0,1,5,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW12,6,11,A,1,1,6,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW14,1,13,A,1,2,1,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW14,2,15,A,0,2,2,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW14,3,17,A,0,2,3,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW14,4,19,A,0,2,4,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW14,5,21,A,0,2,5,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW14,6,23,A,1,2,6,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW16,1,25,A,1,3,1,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW16,2,27,A,0,3,2,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW16,3,29,A,0,3,3,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW16,4,31,A,0,3,4,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW16,5,33,A,0,3,5,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW16,6,35,A,1,3,6,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW18,1,37,A,1,4,1,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW18,2,39,A,0,4,2,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW18,3,41,A,0,4,3,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW18,4,43,A,0,4,4,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW18,5,45,A,0,4,5,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW18,6,47,A,1,4,6,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW20,1,49,A,1,5,1,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW20,2,51,A,0,5,2,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW20,3,53,A,0,5,3,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW20,4,55,A,0,5,4,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW20,5,57,A,0,5,5,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW20,6,59,A,1,5,6,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW22,1,61,A,1,6,1,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW22,2,63,A,0,6,2,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW22,3,65,A,0,6,3,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW22,4,67,A,0,6,4,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW22,5,69,A,0,6,5,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW22,6,71,A,1,6,6,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW24,1,73,A,1,7,1,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW24,2,75,A,0,7,2,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW24,3,77,A,0,7,3,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW24,4,79,A,0,7,4,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW24,5,81,A,0,7,5,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW24,6,83,A,1,7,6,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW26,1,85,A,1,8,1,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW26,2,87,A,0,8,2,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW26,3,89,A,0,8,3,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW26,4,91,A,0,8,4,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW26,5,93,A,0,8,5,,0
1459,OLDSOUTHCHURCH5,CENL1,PEW26,6,95,A,1,8,6,,0
1459,OLDSOUTHCHURCH5,CENL2,PEW10,1,191,A,1,1,1,,0
1459,OLDSOUTHCHURCH5,CENL2,PEW10,2,193,A,0,1,2,,0
1459,OLDSOUTHCHURCH5,CENL2,PEW10,3,195,A,0,1,3,,0
1459,OLDSOUTHCHURCH5,CENL2,PEW10,4,197,A,0,1,4,,0
1459,OLDSOUTHCHURCH5,CENL2,PEW10,5,199,A,0,1,5,,0
