VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,COORDINATES
1468,CATHEDRALCHURCHOFSTPAUL1,BLLT,BALCONY LEFT,107,A,RED,LEFT,,POLY,"85,588,86,650,160,651,159,622,222,621,223,588,171,588"
1468,CATHEDRALCHURCHOFSTPAUL1,BLRT,BALCONY RIGHT,108,A,RED,LEFT,,POLY,"286,585,286,648,372,647,374,621,438,619,437,585,436,585"
1468,CATHEDRALCHURCHOFSTPAUL1,P001,PEW 1,105,A,RED,LEFT,,RECT,"31,535,71,547"
1468,CATHEDRALCHURCHOFSTPAUL1,P002,PEW 2,89,H,GREEN,LEFT,,RECT,"135,495,175,509"
1468,CATHEDRALCHURCHOFSTPAUL1,P003,PEW 3,103,A,RED,LEFT,,RECT,"30,515,72,528"
1468,CATHEDRALCHURCHOFSTPAUL1,P004,PEW 4,83,A,GREEN,LEFT,,RECT,"136,476,176,486"
1468,CATHEDRALCHURCHOFSTPAUL1,P005,PEW 5,101,A,GREEN,LEFT,,RECT,"33,495,71,508"
1468,CATHEDRALCHURCHOFSTPAUL1,P006,PEW 6,77,A,GREEN,LEFT,,RECT,"135,453,176,467"
1468,CATHEDRALCHURCHOFSTPAUL1,P007,PEW 7,99,A,GREEN,LEFT,,RECT,"31,473,72,487"
1468,CATHEDRALCHURCHOFSTPAUL1,P008,PEW 8,71,A,GREEN,LEFT,,RECT,"135,434,176,446"
1468,CATHEDRALCHURCHOFSTPAUL1,P009,PEW 9,97,A,GREEN,LEFT,,RECT,"32,454,72,467"
1468,CATHEDRALCHURCHOFSTPAUL1,P010,PEW 10,65,A,GREEN,LEFT,,RECT,"136,413,175,426"
1468,CATHEDRALCHURCHOFSTPAUL1,P011,PEW 11,95,A,GREEN,LEFT,,RECT,"33,434,69,445"
1468,CATHEDRALCHURCHOFSTPAUL1,P012,PEW 12,59,A,GREEN,LEFT,,RECT,"136,392,176,405"
1468,CATHEDRALCHURCHOFSTPAUL1,P013,PEW 13,93,A,GREEN,LEFT,,RECT,"30,413,71,429"
1468,CATHEDRALCHURCHOFSTPAUL1,P014,PEW 14,53,A,GREEN,LEFT,,RECT,"136,373,175,385"
1468,CATHEDRALCHURCHOFSTPAUL1,P015,PEW 15,91,A,GREEN,LEFT,,RECT,"32,393,70,406"
1468,CATHEDRALCHURCHOFSTPAUL1,P016,PEW 16,47,A,GREEN,LEFT,,RECT,"138,352,176,363"
1468,CATHEDRALCHURCHOFSTPAUL1,P017,PEW 17,85,A,GREEN,LEFT,,RECT,"30,372,69,385"
1468,CATHEDRALCHURCHOFSTPAUL1,P018,PEW 18,43,H,BLUE,LEFT,,RECT,"138,332,175,344"
1468,CATHEDRALCHURCHOFSTPAUL1,P019,PEW 19,79,A,GREEN,LEFT,,RECT,"32,351,71,365"
1468,CATHEDRALCHURCHOFSTPAUL1,P020,PEW 20,37,H,BLUE,LEFT,,RECT,"135,310,176,324"
1468,CATHEDRALCHURCHOFSTPAUL1,P021,PEW 21,73,A,GREEN,LEFT,,RECT,"32,332,71,344"
1468,CATHEDRALCHURCHOFSTPAUL1,P022,PEW 22,31,A,BLUE,LEFT,,RECT,"138,291,176,303"
1468,CATHEDRALCHURCHOFSTPAUL1,P023,PEW 23,67,A,GREEN,LEFT,,RECT,"31,310,72,325"
1468,CATHEDRALCHURCHOFSTPAUL1,P024,PEW 24,25,A,BLUE,LEFT,,RECT,"136,270,175,283"
1468,CATHEDRALCHURCHOFSTPAUL1,P025,PEW 25,61,A,GREEN,LEFT,,RECT,"31,290,71,303"
1468,CATHEDRALCHURCHOFSTPAUL1,P026,PEW 26,19,A,BLUE,LEFT,,RECT,"138,249,176,263"
1468,CATHEDRALCHURCHOFSTPAUL1,P027,PEW 27,55,A,GREEN,LEFT,,RECT,"31,271,71,282"
1468,CATHEDRALCHURCHOFSTPAUL1,P028,PEW 28,15,A,GOLD,LEFT,,RECT,"135,230,175,241"
