VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1468,CATHEDRALCHURCHOFSTPAUL2,LTC1,LEFT CENTER TIER 1,1,A,BLUE,LEFT,,RECT,"100,123,130,208"
1468,CATHEDRALCHURCHOFSTPAUL2,LTC2,LEFT CENTER TIER 2,7,A,GOLD,LEFT,,RECT,"101,211,130,326"
1468,CATHEDRALCHURCHOFSTPAUL2,LTC3,LEFT CENTER TIER 3,13,A,GREEN,LEFT,,POLY,"130,118,101,119,100,93,130,93,130,119,136,119,137,329,126,331,101,330,101,341,125,341,125,330,136,329,136,119,136,119"
1468,CATHEDRALCHURCHOFSTPAUL2,LT1,LEFT TIER 1,3,A,BLUE,LEFT,,RECT,"66,122,97,207"
1468,CATHEDRALCHURCHOFSTPAUL2,LT2,LEFT TIER 2,9,A,GOLD,LEFT,,RECT,"68,213,99,326"
1468,CATHEDRALCHURCHOFSTPAUL2,LT3,LEFT TIER 3,15,A,GREEN,LEFT,,POLY,"66,118,97,118,97,90,66,90,66,118,59,119,62,330,70,330,101,330,98,342,67,342,68,330,62,329,59,121,59,121"
1468,CATHEDRALCHURCHOFSTPAUL2,SLT3,SIDE LEFT TIER 3,17,A,GREEN,LEFT,,RECT,"4,92,36,341"
1468,CATHEDRALCHURCHOFSTPAUL2,SLT4,SIDE LEFT TIER 4,19,A,RED,LEFT,,RECT,"6,345,37,370"
1468,CATHEDRALCHURCHOFSTPAUL2,RTC1,RIGHT CENTER TIER 1,2,A,BLUE,LEFT,,RECT,"165,123,192,207"
1468,CATHEDRALCHURCHOFSTPAUL2,RTC2,RIGHT CENTER TIER 2,8,A,GOLD,LEFT,,RECT,"164,211,193,328"
1468,CATHEDRALCHURCHOFSTPAUL2,RTC3,RIGHT CENTER TIER 3,14,A,GREEN,LEFT,,POLY,"164,118,194,118,193,92,164,91,164,119,161,119,160,331,172,331,194,331,193,341,169,341,168,329,159,329,161,122,161,122"
1468,CATHEDRALCHURCHOFSTPAUL2,RT1,RIGHT TIER 1,4,A,BLUE,LEFT,,RECT,"198,124,227,207"
1468,CATHEDRALCHURCHOFSTPAUL2,RT2,RIGHT TIER 2,10,A,GOLD,LEFT,,RECT,"198,213,228,328"
1468,CATHEDRALCHURCHOFSTPAUL2,RT3,RIGHT TIER 3,16,A,GREEN,LEFT,,POLY,"225,119,198,118,197,92,227,92,227,119,231,119,233,331,225,330,198,331,198,342,226,342,226,331,232,328,232,118,231,118"
1468,CATHEDRALCHURCHOFSTPAUL2,SRT3,SIDE RIGHT TIER 3,18,A,GREEN,LEFT,,RECT,"262,92,292,341"
1468,CATHEDRALCHURCHOFSTPAUL2,SRT4,SIDE RIGHT TIER 4,20,A,RED,LEFT,,RECT,"261,345,292,371"
1468,CATHEDRALCHURCHOFSTPAUL2,BALL1,BALCONY LEFT TIER 1,5,A,BLUE,LEFT,,RECT,"23,399,123,412"
1468,CATHEDRALCHURCHOFSTPAUL2,BALL2,BALCONY LEFT TIER 2,11,A,GOLD,LEFT,,POLY,"22,437,77,437,77,425,122,424,123,411,22,412,22,412"
1468,CATHEDRALCHURCHOFSTPAUL2,BALR1,BALCONY RIGHT TIER 1,6,A,BLUE,LEFT,,RECT,"169,398,283,412"
1468,CATHEDRALCHURCHOFSTPAUL2,BALR2,BALCONY RIGHT TIER 2,12,A,GOLD,LEFT,,POLY,"169,410,170,439,233,438,233,424,281,424,281,410,281,410"
