VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
997,CHRISTIANLIFEASSEMBLY1,101,Section 101,3,A,,Center
997,CHRISTIANLIFEASSEMBLY1,102,Section 102,1,A,,Center
997,CHRISTIANLIFEASSEMBLY1,103,Section 103,2,A,,Center
997,CHRISTIANLIFEASSEMBLY1,104,Section 104,4,A,,Center
997,CHRISTIANLIFEASSEMBLY1,201,Section 201,5,A,,Center
997,CHRISTIANLIFEASSEMBLY1,202,Section 202,6,A,,Center
997,CHRISTIANLIFEASSEMBLY1,301,Section 301,13,A,,Center
997,CHRISTIANLIFEASSEMBLY1,302,Section 302,11,A,,Center
997,CHRISTIANLIFEASSEMBLY1,303,Section 303,9,A,,Center
997,CHRISTIANLIFEASSEMBLY1,304,Section 304,7,A,,Left
997,CHRISTIANLIFEASSEMBLY1,305,Section 305,8,A,,Left
997,CHRISTIANLIFEASSEMBLY1,306,Section 306,10,A,,Center
997,CHRISTIANLIFEASSEMBLY1,307,Section 307,12,A,,Center
997,CHRISTIANLIFEASSEMBLY1,308,Section 308,14,A,,Center
997,CHRISTIANLIFEASSEMBLY1,A101,ADA Section 101,15,H,,Left
997,CHRISTIANLIFEASSEMBLY1,A102,ADA Section 102,16,H,,Left
997,CHRISTIANLIFEASSEMBLY1,A103,ADA Section 103,17,H,,Left
997,CHRISTIANLIFEASSEMBLY1,A104,ADA Section 104,18,H,,Left
