VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
4669,NOVIMIDDLESCHOOL1,LEFT,A,17,17,A,1,1,6,,0
4669,NOVIMIDDLESCHOOL1,LEFT,A,15,15,A,0,1,7,,0
4669,NOVIMIDDLESCHOOL1,LEFT,A,13,13,A,0,1,8,,0
4669,NOVIMIDDLESCHOOL1,LEFT,A,11,11,A,0,1,9,,0
4669,NOVIMIDDLESCHOOL1,LEFT,A,9,9,A,0,1,10,,0
4669,NOVIMIDDLESCHOOL1,LEFT,A,7,7,A,0,1,11,,0
4669,NOVIMIDDLESCHOOL1,LEFT,A,5,5,A,0,1,12,,0
4669,NOVIMIDDLESCHOOL1,LEFT,A,3,3,A,0,1,13,,0
4669,NOVIMIDDLESCHOOL1,LEFT,A,1,1,A,1,1,14,,0
4669,NOVIMIDDLESCHOOL1,LEFT,B,21,39,A,1,2,4,,0
4669,NOVIMIDDLESCHOOL1,LEFT,B,19,37,A,0,2,5,,0
4669,NOVIMIDDLESCHOOL1,LEFT,B,17,35,A,0,2,6,,0
4669,NOVIMIDDLESCHOOL1,LEFT,B,15,33,A,0,2,7,,0
4669,NOVIMIDDLESCHOOL1,LEFT,B,13,31,A,0,2,8,,0
4669,NOVIMIDDLESCHOOL1,LEFT,B,11,29,A,0,2,9,,0
4669,NOVIMIDDLESCHOOL1,LEFT,B,9,27,A,0,2,10,,0
4669,NOVIMIDDLESCHOOL1,LEFT,B,7,25,A,0,2,11,,0
4669,NOVIMIDDLESCHOOL1,LEFT,B,5,23,A,0,2,12,,0
4669,NOVIMIDDLESCHOOL1,LEFT,B,3,21,A,0,2,13,,0
4669,NOVIMIDDLESCHOOL1,LEFT,B,1,19,A,1,2,14,,0
4669,NOVIMIDDLESCHOOL1,LEFT,C,21,61,A,1,3,4,,0
4669,NOVIMIDDLESCHOOL1,LEFT,C,19,59,A,0,3,5,,0
4669,NOVIMIDDLESCHOOL1,LEFT,C,17,57,A,0,3,6,,0
4669,NOVIMIDDLESCHOOL1,LEFT,C,15,55,A,0,3,7,,0
4669,NOVIMIDDLESCHOOL1,LEFT,C,13,53,A,0,3,8,,0
4669,NOVIMIDDLESCHOOL1,LEFT,C,11,51,A,0,3,9,,0
4669,NOVIMIDDLESCHOOL1,LEFT,C,9,49,A,0,3,10,,0
4669,NOVIMIDDLESCHOOL1,LEFT,C,7,47,A,0,3,11,,0
4669,NOVIMIDDLESCHOOL1,LEFT,C,5,45,A,0,3,12,,0
4669,NOVIMIDDLESCHOOL1,LEFT,C,3,43,A,0,3,13,,0
4669,NOVIMIDDLESCHOOL1,LEFT,C,1,41,A,1,3,14,,0
4669,NOVIMIDDLESCHOOL1,LEFT,D,21,83,A,1,4,4,,0
4669,NOVIMIDDLESCHOOL1,LEFT,D,19,81,A,0,4,5,,0
4669,NOVIMIDDLESCHOOL1,LEFT,D,17,79,A,0,4,6,,0
4669,NOVIMIDDLESCHOOL1,LEFT,D,15,77,A,0,4,7,,0
4669,NOVIMIDDLESCHOOL1,LEFT,D,13,75,A,0,4,8,,0
4669,NOVIMIDDLESCHOOL1,LEFT,D,11,73,A,0,4,9,,0
4669,NOVIMIDDLESCHOOL1,LEFT,D,9,71,A,0,4,10,,0
4669,NOVIMIDDLESCHOOL1,LEFT,D,7,69,A,0,4,11,,0
4669,NOVIMIDDLESCHOOL1,LEFT,D,5,67,A,0,4,12,,0
4669,NOVIMIDDLESCHOOL1,LEFT,D,3,65,A,0,4,13,,0
4669,NOVIMIDDLESCHOOL1,LEFT,D,1,63,A,1,4,14,,0
4669,NOVIMIDDLESCHOOL1,LEFT,E,21,105,A,1,5,4,,0
4669,NOVIMIDDLESCHOOL1,LEFT,E,19,103,A,0,5,5,,0
4669,NOVIMIDDLESCHOOL1,LEFT,E,17,101,A,0,5,6,,0
4669,NOVIMIDDLESCHOOL1,LEFT,E,15,99,A,0,5,7,,0
4669,NOVIMIDDLESCHOOL1,LEFT,E,13,97,A,0,5,8,,0
4669,NOVIMIDDLESCHOOL1,LEFT,E,11,95,A,0,5,9,,0
4669,NOVIMIDDLESCHOOL1,LEFT,E,9,93,A,0,5,10,,0
4669,NOVIMIDDLESCHOOL1,LEFT,E,7,91,A,0,5,11,,0
4669,NOVIMIDDLESCHOOL1,LEFT,E,5,89,A,0,5,12,,0
4669,NOVIMIDDLESCHOOL1,LEFT,E,3,87,A,0,5,13,,0
4669,NOVIMIDDLESCHOOL1,LEFT,E,1,85,A,1,5,14,,0
4669,NOVIMIDDLESCHOOL1,LEFT,F,23,129,A,1,6,3,,0
4669,NOVIMIDDLESCHOOL1,LEFT,F,21,127,A,0,6,4,,0
4669,NOVIMIDDLESCHOOL1,LEFT,F,19,125,A,0,6,5,,0
4669,NOVIMIDDLESCHOOL1,LEFT,F,17,123,A,0,6,6,,0
4669,NOVIMIDDLESCHOOL1,LEFT,F,15,121,A,0,6,7,,0
4669,NOVIMIDDLESCHOOL1,LEFT,F,13,119,A,0,6,8,,0
4669,NOVIMIDDLESCHOOL1,LEFT,F,11,117,A,0,6,9,,0
