VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1937,DAYTONMASONIC1,FLOOR,FLOOR,1,A,GOLD,LEFT,,RECT,"162,72,343,149"
1937,DAYTONMASONIC1,SEC01,SECTION 1,5,A,BLUE,LEFT,,POLY,"150,72,121,72,80,119,81,133,150,133,150,133"
1937,DAYTONMASONIC1,SEC02,SECTION 2,3,A,BLUE,CENTER,,POLY,"63,149,63,167,64,185,67,199,76,219,90,235,112,249,142,258,170,262,168,177,158,172,150,164,150,150,150,149"
1937,DAYTONMASONIC1,SEC03,SECTION 3,2,A,BLUE,LEFT,,RECT,"186,176,319,261"
1937,DAYTONMASONIC1,SEC04,SECTION 4,4,A,BLUE,CENTER,,POLY,"336,177,345,173,353,166,356,157,356,149,441,149,443,172,439,196,431,216,414,235,393,248,362,258,335,262,335,262"
1937,DAYTONMASONIC1,SEC05,SECTION 5,6,A,BLUE,LEFT,,POLY,"354,135,354,70,384,72,426,121,425,136,424,136"
1937,DAYTONMASONIC1,SEC06,SECTION 6,8,A,BLUE,LEFT,,POLY,"114,271,103,267,92,260,82,256,74,247,62,235,54,225,46,211,25,244,51,272,7,314,19,330,40,343,60,353,80,360,96,362,96,362"
1937,DAYTONMASONIC1,SEC07,SECTION 7,7,A,BLUE,LEFT,,POLY,"113,367,126,280,136,283,163,273,337,273,365,282,376,282,387,369,387,369"
1937,DAYTONMASONIC1,SEC08,SECTION 8,9,A,BLUE,LEFT,,POLY,"387,271,400,266,412,258,426,248,437,237,448,225,455,212,475,244,459,261,450,271,490,313,482,328,469,337,448,349,432,356,412,362,403,362,403,362"
1937,DAYTONMASONIC1,SEC09,SECTION 9,11,A,GREEN,LEFT,,POLY,"180,439,85,438,47,428,54,406,37,400,49,365,68,374,82,378,93,380,110,381,180,380,181,380"
1937,DAYTONMASONIC1,SEC10,SECTION 10,10,A,GREEN,LEFT,,POLY,"197,440,196,404,209,405,208,380,295,380,295,404,306,405,305,440,274,440,273,406,228,405,227,439,228,439"
1937,DAYTONMASONIC1,SEC11,SECTION 11,12,A,GREEN,LEFT,,POLY,"324,380,394,380,410,380,425,377,438,373,453,365,465,400,450,405,455,427,418,439,401,439,321,439"
1937,DAYTONMASONIC1,ADA,ADA,13,H,BLUE,LEFT,ADA,RECT,"157,158,347,174"
