VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1779,VICTORIATHEATRE2,ORCA,ORCHESTRA CENTER TIER A,1,A,GOLD,CENTER,,POLY,"155,158,155,134,166,63,224,63,235,135,236,159,236,159"
1779,VICTORIATHEATRE2,ORCB,ORCHESTRA CENTER TIER B,7,A,BLUE,CENTER,,POLY,"155,271,183,271,183,249,208,249,208,271,237,271,236,159,153,159,153,159"
1779,VICTORIATHEATRE2,ORLA,ORCHESTRA LEFT TIER A,2,A,GOLD,LEFT,,POLY,"64,146,131,155,130,136,141,72,86,64,86,64"
1779,VICTORIATHEATRE2,ORLB,ORCHESTRA LEFT TIER B,8,A,BLUE,LEFT,,POLY,"64,146,132,155,130,260,64,253,64,253"
1779,VICTORIATHEATRE2,ORRA,ORCHESTRA RIGHT TIER A,3,A,GOLD,LEFT,,POLY,"330,156,264,164,264,136,252,72,308,64,330,146"
1779,VICTORIATHEATRE2,ORRB,ORCHESTRA RIGHT TIER B,9,A,BLUE,LEFT,,POLY,"264,271,283,268,283,247,306,247,306,264,330,261,330,155,263,164,263,164"
1779,VICTORIATHEATRE2,LGEC,LOGE CENTER,4,A,GOLD,LEFT,,RECT,"154,334,235,363"
1779,VICTORIATHEATRE2,LGEL,LOGE LEFT,10,A,BLUE,LEFT,,POLY,"47,352,50,324,131,334,128,364,127,364"
1779,VICTORIATHEATRE2,LGER,LOGE RIGHT,11,A,BLUE,LEFT,,POLY,"258,334,262,363,344,352,339,324,339,324"
1779,VICTORIATHEATRE2,BLCB,BALCONY CENTER TIER B,12,A,BLUE,LEFT,,RECT,"155,391,235,441"
1779,VICTORIATHEATRE2,BLCC,BALCONY CENTER TIER C,15,A,GREEN,LEFT,,RECT,"155,441,235,494"
1779,VICTORIATHEATRE2,BLLB,BALCONY LEFT TIER B,13,A,BLUE,LEFT,,POLY,"40,431,45,378,77,383,75,411,99,415,99,386,126,389,120,441,120,441"
1779,VICTORIATHEATRE2,BLLC,BALCONY LEFT TIER C,16,A,GREEN,LEFT,,POLY,"34,481,39,430,120,442,115,492,115,492"
1779,VICTORIATHEATRE2,BLRB,BALCONY RIGHT TIER B,14,A,BLUE,LEFT,,POLY,"269,440,263,388,289,386,291,414,317,411,312,383,343,380,349,430,349,430"
1779,VICTORIATHEATRE2,BLRC,BALCONY RIGHT TIER C,17,A,GREEN,LEFT,,POLY,"268,440,275,491,357,481,349,431"
1779,VICTORIATHEATRE2,BOXL,BOX LEFT,5,A,GOLD,LEFT,,POLY,"41,284,66,288,63,317,38,312,38,312"
1779,VICTORIATHEATRE2,BOXR,BOX RIGHT,6,A,GOLD,LEFT,,POLY,"323,286,350,284,352,312,325,314,325,314"
1779,VICTORIATHEATRE2,ADAC,ADA CENTER,18,H,GOLD,LEFT,ADA,RECT,"183,250,207,270"
1779,VICTORIATHEATRE2,ADAR,ADA RIGHT,19,H,BLUE,LEFT,ADA,RECT,"285,247,307,266"
