VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
413,CARLPERKINSCC3,FL,Front Left,1,A,Gold,Left
413,CARLPERKINSCC3,FR,Front Right,1,A,Gold,Left
413,CARLPERKINSCC3,1F,Orchestra 1,2,A,Gold,Center
413,CARLPERKINSCC3,1R,Orchestra 1,2,A,DarkRed,Center
413,CARLPERKINSCC3,2F,Orchestra 2,2,A,Blue,Center
413,CARLPERKINSCC3,2R,Orchestra 2,2,A,DarkRed,Center
413,CARLPERKINSCC3,3F,Orchestra 3,2,A,Blue,Left
413,CARLPERKINSCC3,3R,Orchestra 3,3,A,DarkRed,Left
413,CARLPERKINSCC3,4F,Orchestra 4,3,A,Green,Center
413,CARLPERKINSCC3,4R,Orchestra 4,3,A,DarkRed,Center
413,CARLPERKINSCC3,5F,Orchestra 5,3,A,Green,Center
413,CARLPERKINSCC3,5R,Orchestra 5,3,A,DarkRed,Center
413,CARLPERKINSCC3,AF,Balcony A,2,A,DarkGreen,Left
413,CARLPERKINSCC3,AR,Balcony A,2,A,Blue,Left
413,CARLPERKINSCC3,BF,Balcony B,2,A,Blue,Left
413,CARLPERKINSCC3,BM,Balcony B,2,A,DarkGreen,Left
413,CARLPERKINSCC3,BR,Balcony B,2,A,Blue,Left
413,CARLPERKINSCC3,CF,Balcony C,3,A,Green,Left
413,CARLPERKINSCC3,CM,Balcony C,3,A,DarkGreen,Left
413,CARLPERKINSCC3,CR,Balcony C,3,A,Blue,Left
413,CARLPERKINSCC3,DF,Balcony D,3,A,Green,Left
413,CARLPERKINSCC3,DM,Balcony D,3,A,DarkGreen,Left
413,CARLPERKINSCC3,DR,Balcony D,3,A,Blue,Left
413,CARLPERKINSCC3,EF,Balcony E,3,A,DarkGreen,Left
413,CARLPERKINSCC3,ER,Balcony E,3,A,Blue,Left
