VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
413,CARLPERKINSCC4,FRTL,Front Left,1,A,Gold,Left,,POLY,"115,84,211,100,209,134,113,118,113,118"
413,CARLPERKINSCC4,FRTR,Front Right,2,A,Gold,Left,,POLY,"216,99,218,135,315,117,311,80,311,80"
413,CARLPERKINSCC4,ORCH1,Orchestra 1 ,7,A,Blue,Center,,POLY,"301,138,341,122,383,240,325,261,325,261"
413,CARLPERKINSCC4,ORCH2,Orchestra 2,5,A,Blue,Center,,POLY,"252,148,293,142,315,261,252,266,252,266"
413,CARLPERKINSCC4,ORCH3,Orchestra 3,3,A,Blue,Left,,POLY,"181,148,243,148,244,267,181,268,181,268"
413,CARLPERKINSCC4,ORCH4,Orchestra 4,4,A,Blue,Center,,POLY,"132,141,173,148,173,267,107,260,108,260"
413,CARLPERKINSCC4,ORCH5,Orchestra 5,6,A,Blue,Center,,POLY,"85,122,126,137,102,260,41,240,41,240"
413,CARLPERKINSCC4,BALCA,Balcony A,12,A,Green,Left,,POLY,"325,273,384,260,383,377,325,389,325,389"
413,CARLPERKINSCC4,BALCB,Balcony B ,10,A,Green,Left,,RECT,"254,277,315,392"
413,CARLPERKINSCC4,BALCC,Balcony C ,8,A,Green,Left,,RECT,"182,281,243,395"
413,CARLPERKINSCC4,BALCD,Balcony D ,9,A,Green,Left,,RECT,"110,279,172,394"
413,CARLPERKINSCC4,BALCE,Balcony E ,11,A,Green,Left,,POLY,"44,261,102,274,102,389,43,377,43,377"
