VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
665,OMANARENA1,FSL,Flooe Seats Left,1,A,Gold,Left,,RECT,"177,72,212,178"
665,OMANARENA1,FSR,Flooe Seats Right,2,A,Gold,Left,,RECT,"217,72,253,179"
665,OMANARENA1,BB,BB (Loge),3,A,Gold,Left,,POLY,"260,83,301,63,313,102,260,102"
665,OMANARENA1,CC,CC (Loge),4,A,Gold,Left,,POLY,"261,111,314,111,301,151,261,129"
665,OMANARENA1,DD,DD (Loge),5,A,Gold,Left,,POLY,"260,138,286,154,261,173"
665,OMANARENA1,EE,EE (Loge),6,A,Gold,Left,,POLY,"168,138,168,173,144,153"
665,OMANARENA1,FF,FF (Loge),7,A,Gold,Left,,POLY,"169,111,168,131,128,152,116,111"
665,OMANARENA1,GG,GG (Loge),8,A,Gold,Left,,POLY,"168,83,168,103,117,102,128,63"
665,OMANARENA1,AFRT,A - Front Rows,9,A,Gold,Center,,POLY,"317,99,364,94,364,120,319,115"
665,OMANARENA1,BFRT,B - Front Rows,10,A,Gold,Center,,POLY,"314,79,356,62,362,88,319,91"
665,OMANARENA1,LFRT,L - Front Rows,11,A,Gold,Center,,POLY,"110,92,64,86,73,61,115,79"
665,OMANARENA1,MFRT,M - Front Rows,12,A,Gold,Center,,POLY,"110,99,110,117,65,120,66,95"
665,OMANARENA1,NFRT,N - Front Rows,13,A,Gold,Center,,POLY,"111,122,115,135,75,150,67,128"
665,OMANARENA1,OFRT,O - Front Rows,14,A,Gold,Center,,POLY,"116,140,128,161,93,184,76,158"
665,OMANARENA1,PFRT,P - Front Rows,15,A,Gold,Center,,POLY,"99,189,133,165,148,179,120,209"
665,OMANARENA1,QFRT,Q - Front Rows,16,A,Gold,Center,,POLY,"124,212,151,182,170,193,152,227"
665,OMANARENA1,RFRT,R - Front Rows,17,A,Gold,Center,,POLY,"160,230,175,194,200,200,193,237"
665,OMANARENA1,SFRT,S - Front Rows,18,A,Gold,Center,,POLY,"199,237,205,201,226,202,229,237"
665,OMANARENA1,TFRT,T - Front Rows,19,A,Gold,Center,,POLY,"237,238,231,199,254,195,269,229"
665,OMANARENA1,UFRT,U - Front Rows,20,A,Gold,Center,,POLY,"276,227,258,192,278,180,304,212"
665,OMANARENA1,VFRT,V - Front Rows,21,A,Gold,Center,,POLY,"308,208,282,179,296,164,330,188"
665,OMANARENA1,WFRT,W - Front Rows,22,A,Gold,Center,,POLY,"337,183,301,160,313,142,354,159"
665,OMANARENA1,XFRT,X - Front Rows,23,A,Gold,Center,,POLY,"357,153,315,135,319,121,363,126"
665,OMANARENA1,ABACK,A - Back Rows,24,A,Blue,Center,,POLY,"364,93,408,89,408,125,363,120"
665,OMANARENA1,BBACK,B - Back Rows,25,A,Blue,Center,,POLY,"355,61,393,45,406,82,362,88"
665,OMANARENA1,LBACK,L - Back Rows,26,A,Blue,Center,,POLY,"73,61,63,87,21,82,36,45"
665,OMANARENA1,MBACK,M - Back Rows,27,A,Blue,Center,,POLY,"21,88,66,94,65,120,19,123"
665,OMANARENA1,NBACK,N - Back Rows,28,A,Blue,Center,,POLY,"24,131,67,126,74,150,36,167"
665,OMANARENA1,OBACK,O - Back Rows,29,A,Blue,Center,,POLY,"40,173,75,158,92,182,61,206"
665,OMANARENA1,PBACK,P - Back Rows,30,A,Blue,Center,,POLY,"65,210,97,188,120,208,95,238"
665,OMANARENA1,QBACK,Q - Back Rows,31,A,Blue,Center,,POLY,"100,241,123,211,152,228,138,264"
665,OMANARENA1,RBACK,R - Back Rows,32,A,Blue,Center,,POLY,"144,262,159,229,193,237,187,275"
665,OMANARENA1,SBACK,S - Back Rows,33,A,Blue,Center,,POLY,"194,275,199,236,229,237,235,275"
665,OMANARENA1,TBACK,T - Back Rows,34,A,Blue,Center,,POLY,"241,274,237,238,270,228,285,262"
665,OMANARENA1,UBACK,U - Back Rows,35,A,Blue,Center,,POLY,"291,261,275,226,304,211,328,240"
665,OMANARENA1,VBACK,V - Back Rows,36,A,Blue,Center,,POLY,"333,237,308,207,329,188,361,211"
665,OMANARENA1,WBACK,W - Back Rows,37,A,Blue,Center,,POLY,"366,205,336,182,354,158,387,172"
665,OMANARENA1,XBACK,X - Back Rows,38,A,Blue,Center,,POLY,"391,166,356,153,364,126,404,131"
665,OMANARENA1,DDD,DDD - ADA,39,A,ADABlack,Left,ADA,CIRCLE,"286,166,9"
665,OMANARENA1,EEE,EEE - ADA,40,A,ADABlack,Left,ADA,CIRCLE,"148,167,9"
