VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
665,OMANARENA6D,A,1,8,2439,A,1,1,1,,0
665,OMANARENA6D,A,1,7,2437,A,0,1,2,,0
665,OMANARENA6D,A,1,6,2435,A,0,1,3,,0
665,OMANARENA6D,A,1,5,2433,A,0,1,4,,0
665,OMANARENA6D,A,1,4,2434,A,0,1,5,,0
665,OMANARENA6D,A,1,3,2436,A,0,1,6,,0
665,OMANARENA6D,A,1,2,2438,A,0,1,7,,0
665,OMANARENA6D,A,1,1,2440,A,1,1,8,,0
665,OMANARENA6D,A,2,9,2458,A,1,2,1,,0
665,OMANARENA6D,A,2,8,2456,A,0,2,2,,0
665,OMANARENA6D,A,2,7,2454,A,0,2,3,,0
665,OMANARENA6D,A,2,6,2452,A,0,2,4,,0
665,OMANARENA6D,A,2,5,2450,A,0,2,5,,0
665,OMANARENA6D,A,2,4,2451,A,0,2,6,,0
665,OMANARENA6D,A,2,3,2453,A,0,2,7,,0
665,OMANARENA6D,A,2,2,2455,A,0,2,8,,0
665,OMANARENA6D,A,2,1,2457,A,1,2,9,,0
665,OMANARENA6D,A,3,9,2476,A,1,3,1,,0
665,OMANARENA6D,A,3,8,2474,A,0,3,2,,0
665,OMANARENA6D,A,3,7,2472,A,0,3,3,,0
665,OMANARENA6D,A,3,6,2470,A,0,3,4,,0
665,OMANARENA6D,A,3,5,2468,A,0,3,5,,0
665,OMANARENA6D,A,3,4,2469,A,0,3,6,,0
665,OMANARENA6D,A,3,3,2471,A,0,3,7,,0
665,OMANARENA6D,A,3,2,2473,A,0,3,8,,0
665,OMANARENA6D,A,3,1,2475,A,1,3,9,,0
665,OMANARENA6D,A,4,9,2495,A,1,4,1,,0
665,OMANARENA6D,A,4,8,2493,A,0,4,2,,0
665,OMANARENA6D,A,4,7,2491,A,0,4,3,,0
665,OMANARENA6D,A,4,6,2489,A,0,4,4,,0
665,OMANARENA6D,A,4,5,2487,A,0,4,5,,0
665,OMANARENA6D,A,4,4,2488,A,0,4,6,,0
665,OMANARENA6D,A,4,3,2490,A,0,4,7,,0
665,OMANARENA6D,A,4,2,2492,A,0,4,8,,0
665,OMANARENA6D,A,4,1,2494,A,1,4,9,,0
665,OMANARENA6D,A,5,10,2514,A,1,5,1,,0
665,OMANARENA6D,A,5,9,2512,A,0,5,2,,0
665,OMANARENA6D,A,5,8,2510,A,0,5,3,,0
665,OMANARENA6D,A,5,7,2508,A,0,5,4,,0
665,OMANARENA6D,A,5,6,2506,A,0,5,5,,0
665,OMANARENA6D,A,5,5,2507,A,0,5,6,,0
665,OMANARENA6D,A,5,4,2509,A,0,5,7,,0
665,OMANARENA6D,A,5,3,2511,A,0,5,8,,0
665,OMANARENA6D,A,5,2,2513,A,0,5,9,,0
665,OMANARENA6D,A,5,1,2515,A,1,5,10,,0
665,OMANARENA6D,A,6,10,2534,A,1,6,1,,0
665,OMANARENA6D,A,6,9,2532,A,0,6,2,,0
665,OMANARENA6D,A,6,8,2530,A,0,6,3,,0
665,OMANARENA6D,A,6,7,2528,A,0,6,4,,0
665,OMANARENA6D,A,6,6,2526,A,0,6,5,,0
665,OMANARENA6D,A,6,5,2527,A,0,6,6,,0
665,OMANARENA6D,A,6,4,2529,A,0,6,7,,0
665,OMANARENA6D,A,6,3,2531,A,0,6,8,,0
665,OMANARENA6D,A,6,2,2533,A,0,6,9,,0
665,OMANARENA6D,A,6,1,2535,A,1,6,10,,0
665,OMANARENA6D,A,7,11,2557,A,1,7,1,,0
665,OMANARENA6D,A,7,10,2555,A,0,7,2,,0
665,OMANARENA6D,A,7,9,2553,A,0,7,3,,0
665,OMANARENA6D,A,7,8,2551,A,0,7,4,,0
665,OMANARENA6D,A,7,7,2549,A,0,7,5,,0
665,OMANARENA6D,A,7,6,2547,A,0,7,6,,0
665,OMANARENA6D,A,7,5,2548,A,0,7,7,,0
665,OMANARENA6D,A,7,4,2550,A,0,7,8,,0
665,OMANARENA6D,A,7,3,2552,A,0,7,9,,0
665,OMANARENA6D,A,7,2,2554,A,0,7,10,,0
665,OMANARENA6D,A,7,1,2556,A,1,7,11,,0
665,OMANARENA6D,A,8,11,2579,A,1,8,1,,0
665,OMANARENA6D,A,8,10,2577,A,0,8,2,,0
665,OMANARENA6D,A,8,9,2575,A,0,8,3,,0
665,OMANARENA6D,A,8,8,2573,A,0,8,4,,0
665,OMANARENA6D,A,8,7,2571,A,0,8,5,,0
665,OMANARENA6D,A,8,6,2569,A,0,8,6,,0
665,OMANARENA6D,A,8,5,2570,A,0,8,7,,0
665,OMANARENA6D,A,8,4,2572,A,0,8,8,,0
665,OMANARENA6D,A,8,3,2574,A,0,8,9,,0
665,OMANARENA6D,A,8,2,2576,A,0,8,10,,0
665,OMANARENA6D,A,8,1,2578,A,1,8,11,,0
665,OMANARENA6D,A,9,12,2602,A,1,9,1,,0
665,OMANARENA6D,A,9,11,2600,A,0,9,2,,0
665,OMANARENA6D,A,9,10,2598,A,0,9,3,,0
665,OMANARENA6D,A,9,9,2596,A,0,9,4,,0
665,OMANARENA6D,A,9,8,2594,A,0,9,5,,0
665,OMANARENA6D,A,9,7,2592,A,0,9,6,,0
665,OMANARENA6D,A,9,6,2593,A,0,9,7,,0
665,OMANARENA6D,A,9,5,2595,A,0,9,8,,0
665,OMANARENA6D,A,9,4,2597,A,0,9,9,,0
665,OMANARENA6D,A,9,3,2599,A,0,9,10,,0
665,OMANARENA6D,A,9,2,2601,A,0,9,11,,0
665,OMANARENA6D,A,9,1,2603,A,1,9,12,,0
665,OMANARENA6D,A,10,12,2626,A,1,10,1,,0
665,OMANARENA6D,A,10,11,2624,A,0,10,2,,0
665,OMANARENA6D,A,10,10,2622,A,0,10,3,,0
665,OMANARENA6D,A,10,9,2620,A,0,10,4,,0
665,OMANARENA6D,A,10,8,2618,A,0,10,5,,0
665,OMANARENA6D,A,10,7,2616,A,0,10,6,,0
665,OMANARENA6D,A,10,6,2617,A,0,10,7,,0
665,OMANARENA6D,A,10,5,2619,A,0,10,8,,0
665,OMANARENA6D,A,10,4,2621,A,0,10,9,,0
665,OMANARENA6D,A,10,3,2623,A,0,10,10,,0
665,OMANARENA6D,A,10,2,2625,A,0,10,11,,0
665,OMANARENA6D,A,10,1,2627,A,1,10,12,,0
665,OMANARENA6D,A,11,13,2653,A,1,11,1,,0
665,OMANARENA6D,A,11,12,2651,A,0,11,2,,0
665,OMANARENA6D,A,11,11,2649,A,0,11,3,,0
665,OMANARENA6D,A,11,10,2647,A,0,11,4,,0
665,OMANARENA6D,A,11,9,2645,A,0,11,5,,0
665,OMANARENA6D,A,11,8,2643,A,0,11,6,,0
665,OMANARENA6D,A,11,7,2641,A,0,11,7,,0
665,OMANARENA6D,A,11,6,2642,A,0,11,8,,0
665,OMANARENA6D,A,11,5,2644,A,0,11,9,,0
