VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates,DirectionImage
665,OMANARENA6D,A,A (Balcony),26,A,RED,Center,,POLY,"307,205,307,186,398,178,399,198,397,214,397,214",
665,OMANARENA6D,B,B (Balcony),30,A,RED,Center,,POLY,"380,138,388,161,396,161,396,170,307,183,303,168,303,168",
665,OMANARENA6D,C,C (Balcony),38,A,RED,Center,,POLY,"303,163,289,144,356,98,370,115,380,133,380,133",
665,OMANARENA6D,D,D (Balcony),41,A,RED,Center,,POLY,"271,124,286,139,352,92,339,78,322,66,322,66",
665,OMANARENA6D,E,E (Balcony),33,A,RED,Center,,POLY,"247,110,268,125,319,62,303,51,280,41,280,41",
665,OMANARENA6D,F,F (Balcony),23,A,GREEN,Center,,POLY,"219,103,245,110,275,40,251,30,231,27,231,27",
665,OMANARENA6D,G,G (Balcony),20,A,GREEN,Center,,POLY,"190,81,216,82,224,27,203,23,185,25,185,25",
665,OMANARENA6D,H,H (Balcony),24,A,GREEN,Center,,POLY,"164,108,190,103,176,27,149,34,134,39,134,39",
665,OMANARENA6D,I,I (Balcony),34,A,RED,Center,,POLY,"141,122,160,112,129,41,105,52,90,62,90,62",
665,OMANARENA6D,J,J (Balcony),42,A,RED,Center,,POLY,"121,138,137,125,86,66,70,79,56,92,56,92",
665,OMANARENA6D,K,K (Balcony),35,A,RED,Center,,POLY,"106,161,117,143,54,99,38,117,31,132,31,132",
665,OMANARENA6D,L,L (Balcony),27,A,RED,Center,,POLY,"100,182,104,169,28,137,20,162,15,161,9,172,9,172",
665,OMANARENA6D,M,M (Balcony),25,A,RED,Center,,POLY,"10,215,10,196,10,178,100,188,100,207",
665,OMANARENA6D,N,N (Balcony),28,A,RED,Center,,POLY,"11,221,12,234,19,233,28,256,106,225,100,211,100,211",
665,OMANARENA6D,O,O (Balcony),36,A,RED,Center,,POLY,"50,293,38,277,30,262,105,231,113,240,118,250,118,250",
665,OMANARENA6D,P,P (Balcony),39,A,RED,Center,,POLY,"84,327,137,268,122,254,55,302,69,315",
665,OMANARENA6D,Q,Q (Balcony),31,A,RED,Center,,POLY,"127,351,106,341,90,331,140,269,150,277,161,283,161,283",
665,OMANARENA6D,R,R (Balcony),21,A,GREEN,Center,,POLY,"133,352,155,361,176,365,189,289,165,283,165,283",
665,OMANARENA6D,S,S (Balcony),19,A,GREEN,Center,,POLY,"193,290,216,290,225,365,204,365,185,365,185,365",
665,OMANARENA6D,T,T (Balcony),22,A,GREEN,Center,,POLY,"230,363,221,289,244,284,274,353,253,360",
665,OMANARENA6D,U,U (Balcony),32,A,RED,Center,,POLY,"280,351,302,340,317,330,266,269,257,276,247,280,247,280",
665,OMANARENA6D,V,V (Balcony),40,A,RED,Center,,POLY,"272,268,284,253,351,300,339,315,323,327,323,327",
665,OMANARENA6D,W,W (Balcony),37,A,RED,Center,,POLY,"290,249,302,231,377,262,367,282,355,296,355,296",
665,OMANARENA6D,X,X (Balcony),29,A,RED,Center,,POLY,"379,254,388,233,396,233,396,220,307,211,301,225,301,225",
665,OMANARENA6D,AA,AA (Loge),16,A,GREEN,Left,,POLY,"251,118,287,148,250,168,250,168",
665,OMANARENA6D,BB,BB (Loge),12,A,GREEN,Left,,POLY,"249,192,250,172,290,151,302,193,301,193",
665,OMANARENA6D,CC,CC (Loge),11,A,GREEN,Left,,POLY,"249,199,249,222,291,241,303,199,303,199",
665,OMANARENA6D,DD,DD (Loge),15,A,GREEN,Left,,POLY,"249,263,267,252,276,243,251,228,251,228",
665,OMANARENA6D,EE,EE (Loge),18,A,GREEN,Left,,POLY,"158,262,141,252,131,242,158,227,158,227",
665,OMANARENA6D,FF,FF (Loge),14,A,GREEN,Left,,POLY,"158,201,158,220,118,242,108,220,106,199,106,199",
665,OMANARENA6D,GG,GG (Loge),13,A,GREEN,Left,,POLY,"106,191,109,169,119,151,159,173,159,192,159,192",
665,OMANARENA6D,HH,HH (Loge),17,A,GREEN,Left,,POLY,"121,146,136,132,158,118,158,167,158,167",
665,OMANARENA6D,NRL1,North Ring Left Tier 1,3,A,BLUE,Left,,RECT,"209,152,242,169",
665,OMANARENA6D,NRL2,North Ring Left Tier 2,7,A,GOLD,Left,,RECT,"209,137,242,154",
665,OMANARENA6D,NRR1,North Ring Right Tier 1,4,A,BLUE,Left,,RECT,"166,152,198,171",
665,OMANARENA6D,NRR2,North Ring Right Tier 2,8,A,GOLD,Left,,RECT,"166,137,198,153",
665,OMANARENA6D,SRL1,South Ring Left Tier 1,5,A,BLUE,Left,,RECT,"166,224,198,242",
665,OMANARENA6D,SRL2,South Ring Left Tier 2,9,A,GOLD,Left,,RECT,"167,242,198,258",
665,OMANARENA6D,SRR1,South Ring Right Tier 1,6,A,BLUE,Left,,RECT,"210,224,242,241",
665,OMANARENA6D,SRR2,South Ring Right Tier 2,10,A,GOLD,Left,,RECT,"208,241,241,259",
665,OMANARENA6D,EAST,East Ringside,2,A,BLUE,Left,,RECT,"233,180,243,217",
665,OMANARENA6D,WEST,West Ringside,1,A,BLUE,Left,,RECT,"166,179,178,215",
665,OMANARENA6D,DDD,DDD - ADA,43,A,ADABlack,Left,ADA,CIRCLE,"273,256,7",
665,OMANARENA6D,EEE,EEE - ADA,44,A,ADABlack,Left,ADA,CIRCLE,"135,257,8",
