VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
4762,CLAREMONTRESORT1,FSECG,A,15,1,A,1,1,1,,0
4762,CLAREMONTRESORT1,FSECG,A,14,2,A,0,1,2,,0
4762,CLAREMONTRESORT1,FSECG,A,13,3,A,0,1,3,,0
4762,CLAREMONTRESORT1,FSECG,A,12,4,A,0,1,4,,0
4762,CLAREMONTRESORT1,FSECG,A,11,5,A,0,1,5,,0
4762,CLAREMONTRESORT1,FSECG,A,10,6,A,0,1,6,,0
4762,CLAREMONTRESORT1,FSECG,A,9,7,A,0,1,7,,0
4762,CLAREMONTRESORT1,FSECG,A,8,8,A,1,1,8,,0
4762,CLAREMONTRESORT1,FSECG,A,1,9,A,1,1,9,,0
4762,CLAREMONTRESORT1,FSECG,A,2,10,A,0,1,10,,0
4762,CLAREMONTRESORT1,FSECG,A,3,11,A,0,1,11,,0
4762,CLAREMONTRESORT1,FSECG,A,4,12,A,0,1,12,,0
4762,CLAREMONTRESORT1,FSECG,A,5,13,A,0,1,13,,0
4762,CLAREMONTRESORT1,FSECG,A,6,14,A,0,1,14,,0
4762,CLAREMONTRESORT1,FSECG,A,7,15,A,1,1,15,,0
4762,CLAREMONTRESORT1,FSECG,B,19,16,A,1,2,1,,0
4762,CLAREMONTRESORT1,FSECG,B,18,17,A,0,2,2,,0
4762,CLAREMONTRESORT1,FSECG,B,17,18,A,0,2,3,,0
4762,CLAREMONTRESORT1,FSECG,B,16,19,A,0,2,4,,0
4762,CLAREMONTRESORT1,FSECG,B,15,20,A,0,2,5,,0
4762,CLAREMONTRESORT1,FSECG,B,14,21,A,0,2,6,,0
4762,CLAREMONTRESORT1,FSECG,B,13,22,A,0,2,7,,0
4762,CLAREMONTRESORT1,FSECG,B,12,23,A,0,2,8,,0
4762,CLAREMONTRESORT1,FSECG,B,11,24,A,1,2,9,,0
4762,CLAREMONTRESORT1,FSECG,B,1,25,A,1,2,10,,0
4762,CLAREMONTRESORT1,FSECG,B,2,26,A,0,2,11,,0
4762,CLAREMONTRESORT1,FSECG,B,3,27,A,0,2,12,,0
4762,CLAREMONTRESORT1,FSECG,B,4,28,A,0,2,13,,0
4762,CLAREMONTRESORT1,FSECG,B,5,29,A,0,2,14,,0
4762,CLAREMONTRESORT1,FSECG,B,6,30,A,0,2,15,,0
4762,CLAREMONTRESORT1,FSECG,B,7,31,A,0,2,16,,0
4762,CLAREMONTRESORT1,FSECG,B,8,32,A,0,2,17,,0
4762,CLAREMONTRESORT1,FSECG,B,9,33,A,0,2,18,,0
4762,CLAREMONTRESORT1,FSECG,B,10,34,A,1,2,19,,0
4762,CLAREMONTRESORT1,FSECG,C,18,35,A,1,3,1,,0
4762,CLAREMONTRESORT1,FSECG,C,17,36,A,0,3,2,,0
4762,CLAREMONTRESORT1,FSECG,C,16,37,A,0,3,3,,0
4762,CLAREMONTRESORT1,FSECG,C,15,38,A,0,3,4,,0
4762,CLAREMONTRESORT1,FSECG,C,14,39,A,0,3,5,,0
4762,CLAREMONTRESORT1,FSECG,C,13,40,A,0,3,6,,0
4762,CLAREMONTRESORT1,FSECG,C,12,41,A,0,3,7,,0
4762,CLAREMONTRESORT1,FSECG,C,11,42,A,0,3,8,,0
4762,CLAREMONTRESORT1,FSECG,C,10,43,A,1,3,9,,0
4762,CLAREMONTRESORT1,FSECG,C,1,44,A,1,3,10,,0
4762,CLAREMONTRESORT1,FSECG,C,2,45,A,0,3,11,,0
4762,CLAREMONTRESORT1,FSECG,C,3,46,A,0,3,12,,0
4762,CLAREMONTRESORT1,FSECG,C,4,47,A,0,3,13,,0
4762,CLAREMONTRESORT1,FSECG,C,5,48,A,0,3,14,,0
4762,CLAREMONTRESORT1,FSECG,C,6,49,A,0,3,15,,0
4762,CLAREMONTRESORT1,FSECG,C,7,50,A,0,3,16,,0
4762,CLAREMONTRESORT1,FSECG,C,8,51,A,0,3,17,,0
4762,CLAREMONTRESORT1,FSECG,C,9,52,A,0,3,18,,0
4762,CLAREMONTRESORT1,FSECG,C,10,53,A,1,3,19,,0
4762,CLAREMONTRESORT1,FSECG,D,22,54,A,1,4,1,,0
4762,CLAREMONTRESORT1,FSECG,D,21,55,A,0,4,2,,0
4762,CLAREMONTRESORT1,FSECG,D,20,56,A,0,4,3,,0
4762,CLAREMONTRESORT1,FSECG,D,19,57,A,0,4,4,,0
4762,CLAREMONTRESORT1,FSECG,D,18,58,A,0,4,5,,0
4762,CLAREMONTRESORT1,FSECG,D,17,59,A,0,4,6,,0
4762,CLAREMONTRESORT1,FSECG,D,16,60,A,0,4,7,,0
4762,CLAREMONTRESORT1,FSECG,D,15,61,A,0,4,8,,0
4762,CLAREMONTRESORT1,FSECG,D,14,62,A,0,4,9,,0
4762,CLAREMONTRESORT1,FSECG,D,13,63,A,0,4,10,,0
4762,CLAREMONTRESORT1,FSECG,D,12,64,A,1,4,11,,0
4762,CLAREMONTRESORT1,FSECG,D,1,65,A,1,4,12,,0
4762,CLAREMONTRESORT1,FSECG,D,2,66,A,0,4,13,,0
4762,CLAREMONTRESORT1,FSECG,D,3,67,A,0,4,14,,0
4762,CLAREMONTRESORT1,FSECG,D,4,68,A,0,4,15,,0
4762,CLAREMONTRESORT1,FSECG,D,5,69,A,0,4,16,,0
4762,CLAREMONTRESORT1,FSECG,D,6,70,A,0,4,17,,0
4762,CLAREMONTRESORT1,FSECG,D,7,71,A,0,4,18,,0
4762,CLAREMONTRESORT1,FSECG,D,8,72,A,0,4,19,,0
4762,CLAREMONTRESORT1,FSECG,D,9,73,A,0,4,20,,0
4762,CLAREMONTRESORT1,FSECG,D,10,74,A,0,4,21,,0
4762,CLAREMONTRESORT1,FSECG,D,11,75,A,1,4,22,,0
4762,CLAREMONTRESORT1,FSECG,E,24,76,A,1,5,1,,0
4762,CLAREMONTRESORT1,FSECG,E,23,77,A,0,5,2,,0
4762,CLAREMONTRESORT1,FSECG,E,22,78,A,0,5,3,,0
4762,CLAREMONTRESORT1,FSECG,E,21,79,A,0,5,4,,0
4762,CLAREMONTRESORT1,FSECG,E,20,80,A,0,5,5,,0
4762,CLAREMONTRESORT1,FSECG,E,19,81,A,0,5,6,,0
4762,CLAREMONTRESORT1,FSECG,E,18,82,A,0,5,7,,0
4762,CLAREMONTRESORT1,FSECG,E,17,83,A,0,5,8,,0
4762,CLAREMONTRESORT1,FSECG,E,16,84,A,0,5,9,,0
4762,CLAREMONTRESORT1,FSECG,E,15,85,A,0,5,10,,0
4762,CLAREMONTRESORT1,FSECG,E,14,86,A,0,5,11,,0
4762,CLAREMONTRESORT1,FSECG,E,13,87,A,1,5,12,,0
4762,CLAREMONTRESORT1,FSECG,E,1,88,A,1,5,13,,0
4762,CLAREMONTRESORT1,FSECG,E,2,89,A,0,5,14,,0
4762,CLAREMONTRESORT1,FSECG,E,3,90,A,0,5,15,,0
4762,CLAREMONTRESORT1,FSECG,E,4,91,A,0,5,16,,0
4762,CLAREMONTRESORT1,FSECG,E,5,92,A,0,5,17,,0
4762,CLAREMONTRESORT1,FSECG,E,6,93,A,0,5,18,,0
4762,CLAREMONTRESORT1,FSECG,E,7,94,A,0,5,19,,0
4762,CLAREMONTRESORT1,FSECG,E,8,95,A,0,5,20,,0
4762,CLAREMONTRESORT1,FSECG,E,9,96,A,0,5,21,,0
4762,CLAREMONTRESORT1,FSECG,E,10,97,A,0,5,22,,0
4762,CLAREMONTRESORT1,FSECG,E,11,98,A,0,5,23,,0
4762,CLAREMONTRESORT1,FSECG,E,12,99,A,1,5,24,,0
4762,CLAREMONTRESORT1,FSECG,F,28,100,A,1,6,1,,0
4762,CLAREMONTRESORT1,FSECG,F,27,101,A,0,6,2,,0
4762,CLAREMONTRESORT1,FSECG,F,26,102,A,0,6,3,,0
4762,CLAREMONTRESORT1,FSECG,F,25,103,A,0,6,4,,0
4762,CLAREMONTRESORT1,FSECG,F,24,104,A,0,6,5,,0
4762,CLAREMONTRESORT1,FSECG,F,23,105,A,0,6,6,,0
4762,CLAREMONTRESORT1,FSECG,F,22,106,A,0,6,7,,0
4762,CLAREMONTRESORT1,FSECG,F,21,107,A,0,6,8,,0
4762,CLAREMONTRESORT1,FSECG,F,20,108,A,0,6,9,,0
4762,CLAREMONTRESORT1,FSECG,F,19,109,A,0,6,10,,0
4762,CLAREMONTRESORT1,FSECG,F,18,110,A,0,6,11,,0
4762,CLAREMONTRESORT1,FSECG,F,17,111,A,0,6,12,,0
4762,CLAREMONTRESORT1,FSECG,F,16,112,A,0,6,13,,0
4762,CLAREMONTRESORT1,FSECG,F,15,113,A,1,6,14,,0
4762,CLAREMONTRESORT1,FSECG,F,1,114,A,1,6,15,,0
4762,CLAREMONTRESORT1,FSECG,F,2,115,A,0,6,16,,0
4762,CLAREMONTRESORT1,FSECG,F,3,116,A,0,6,17,,0
4762,CLAREMONTRESORT1,FSECG,F,4,117,A,0,6,18,,0
4762,CLAREMONTRESORT1,FSECG,F,5,118,A,0,6,19,,0
4762,CLAREMONTRESORT1,FSECG,F,6,119,A,0,6,20,,0
4762,CLAREMONTRESORT1,FSECG,F,7,120,A,0,6,21,,0
4762,CLAREMONTRESORT1,FSECG,F,8,121,A,0,6,22,,0
4762,CLAREMONTRESORT1,FSECG,F,9,122,A,0,6,23,,0
4762,CLAREMONTRESORT1,FSECG,F,10,123,A,0,6,24,,0
4762,CLAREMONTRESORT1,FSECG,F,11,124,A,0,6,25,,0
