VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
2178,DOZIERCENTRE1,MAINC,MAIN CENTER,2,A,GOLD,CENTER,,POLY,
2178,DOZIERCENTRE1,MAINL,MAIN LEFT ,3,A,GOLD,LEFT,,POLY,
2178,DOZIERCENTRE1,MAINR,MAIN RIGHT ,4,A,GOLD,LEFT,,POLY,
2178,DOZIERCENTRE1,BALCC,BALCONY CENTER,5,A,GOLD,CENTER,,POLY,
2178,DOZIERCENTRE1,BALCL,BALCONY LEFT,6,A,GOLD,LEFT,,POLY,
2178,DOZIERCENTRE1,BALCR,BALCONY RIGHT,7,A,GOLD,LEFT,,POLY,
2178,DOZIERCENTRE1,ADAM,ADA MAIN ,8,H,GOLD,LEFT,ADA,RECT,
2178,DOZIERCENTRE1,ADABL,ADA BALCONY LEFT,9,H,GOLD,LEFT,ADA,RECT,
2178,DOZIERCENTRE1,ADABR,ADA BALCONY RIGHT,10,H,GOLD,LEFT,ADA,RECT,
2178,DOZIERCENTRE1,PIT,PIT,1,H,GOLD,CENTER,,POLY,
