VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort
800,CATOOSACIVICCENTER1,CTR,A,114,13,A,1,1,1
800,CATOOSACIVICCENTER1,CTR,A,113,11,A,0,1,2
800,CATOOSACIVICCENTER1,CTR,A,112,9,A,0,1,3
800,CATOOSACIVICCENTER1,CTR,A,111,7,A,0,1,4
800,CATOOSACIVICCENTER1,CTR,A,110,5,A,0,1,5
800,CATOOSACIVICCENTER1,CTR,A,109,3,A,0,1,6
800,CATOOSACIVICCENTER1,CTR,A,108,1,A,0,1,7
800,CATOOSACIVICCENTER1,CTR,A,107,2,A,0,1,8
800,CATOOSACIVICCENTER1,CTR,A,106,4,A,0,1,9
800,CATOOSACIVICCENTER1,CTR,A,105,6,A,0,1,10
800,CATOOSACIVICCENTER1,CTR,A,104,8,A,0,1,11
800,CATOOSACIVICCENTER1,CTR,A,103,10,A,0,1,12
800,CATOOSACIVICCENTER1,CTR,A,102,12,A,0,1,13
800,CATOOSACIVICCENTER1,CTR,A,101,14,A,1,1,14
800,CATOOSACIVICCENTER1,CTR,B,115,29,A,1,2,1
800,CATOOSACIVICCENTER1,CTR,B,114,27,A,0,2,2
800,CATOOSACIVICCENTER1,CTR,B,113,25,A,0,2,3
800,CATOOSACIVICCENTER1,CTR,B,112,23,A,0,2,4
800,CATOOSACIVICCENTER1,CTR,B,111,21,A,0,2,5
800,CATOOSACIVICCENTER1,CTR,B,110,19,A,0,2,6
800,CATOOSACIVICCENTER1,CTR,B,109,17,A,0,2,7
800,CATOOSACIVICCENTER1,CTR,B,108,15,A,0,2,8
800,CATOOSACIVICCENTER1,CTR,B,107,16,A,0,2,9
800,CATOOSACIVICCENTER1,CTR,B,106,18,A,0,2,10
800,CATOOSACIVICCENTER1,CTR,B,105,20,A,0,2,11
800,CATOOSACIVICCENTER1,CTR,B,104,22,A,0,2,12
800,CATOOSACIVICCENTER1,CTR,B,103,24,A,0,2,13
800,CATOOSACIVICCENTER1,CTR,B,102,26,A,0,2,14
800,CATOOSACIVICCENTER1,CTR,B,101,28,A,1,2,15
800,CATOOSACIVICCENTER1,CTR,C,116,44,A,1,3,1
800,CATOOSACIVICCENTER1,CTR,C,115,42,A,0,3,2
800,CATOOSACIVICCENTER1,CTR,C,114,40,A,0,3,3
800,CATOOSACIVICCENTER1,CTR,C,113,38,A,0,3,4
800,CATOOSACIVICCENTER1,CTR,C,112,36,A,0,3,5
800,CATOOSACIVICCENTER1,CTR,C,111,34,A,0,3,6
800,CATOOSACIVICCENTER1,CTR,C,110,32,A,0,3,7
800,CATOOSACIVICCENTER1,CTR,C,109,30,A,0,3,8
800,CATOOSACIVICCENTER1,CTR,C,108,31,A,0,3,9
800,CATOOSACIVICCENTER1,CTR,C,107,33,A,0,3,10
800,CATOOSACIVICCENTER1,CTR,C,106,35,A,0,3,11
800,CATOOSACIVICCENTER1,CTR,C,105,37,A,0,3,12
800,CATOOSACIVICCENTER1,CTR,C,104,39,A,0,3,13
800,CATOOSACIVICCENTER1,CTR,C,103,41,A,0,3,14
800,CATOOSACIVICCENTER1,CTR,C,102,43,A,0,3,15
800,CATOOSACIVICCENTER1,CTR,C,101,45,A,1,3,16
800,CATOOSACIVICCENTER1,CTR,D,117,62,A,1,4,1
800,CATOOSACIVICCENTER1,CTR,D,116,60,A,0,4,2
800,CATOOSACIVICCENTER1,CTR,D,115,58,A,0,4,3
800,CATOOSACIVICCENTER1,CTR,D,114,56,A,0,4,4
800,CATOOSACIVICCENTER1,CTR,D,113,54,A,0,4,5
800,CATOOSACIVICCENTER1,CTR,D,112,52,A,0,4,6
800,CATOOSACIVICCENTER1,CTR,D,111,50,A,0,4,7
800,CATOOSACIVICCENTER1,CTR,D,110,48,A,0,4,8
800,CATOOSACIVICCENTER1,CTR,D,109,46,A,0,4,9
800,CATOOSACIVICCENTER1,CTR,D,108,47,A,0,4,10
800,CATOOSACIVICCENTER1,CTR,D,107,49,A,0,4,11
800,CATOOSACIVICCENTER1,CTR,D,106,51,A,0,4,12
800,CATOOSACIVICCENTER1,CTR,D,105,53,A,0,4,13
800,CATOOSACIVICCENTER1,CTR,D,104,55,A,0,4,14
800,CATOOSACIVICCENTER1,CTR,D,103,57,A,0,4,15
800,CATOOSACIVICCENTER1,CTR,D,102,59,A,0,4,16
800,CATOOSACIVICCENTER1,CTR,D,101,61,A,1,4,17
800,CATOOSACIVICCENTER1,CTR,E,118,79,A,1,5,1
800,CATOOSACIVICCENTER1,CTR,E,117,77,A,0,5,2
800,CATOOSACIVICCENTER1,CTR,E,116,75,A,0,5,3
800,CATOOSACIVICCENTER1,CTR,E,115,73,A,0,5,4
800,CATOOSACIVICCENTER1,CTR,E,114,71,A,0,5,5
800,CATOOSACIVICCENTER1,CTR,E,113,69,A,0,5,6
800,CATOOSACIVICCENTER1,CTR,E,112,67,A,0,5,7
800,CATOOSACIVICCENTER1,CTR,E,111,65,A,0,5,8
800,CATOOSACIVICCENTER1,CTR,E,110,63,A,0,5,9
800,CATOOSACIVICCENTER1,CTR,E,109,64,A,0,5,10
800,CATOOSACIVICCENTER1,CTR,E,108,66,A,0,5,11
800,CATOOSACIVICCENTER1,CTR,E,107,68,A,0,5,12
