VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1386,COMMONWEALTH1,ORF,Orchestra Front,1,A,Gold,Left,,,
1386,COMMONWEALTH1,ORR,Orchestra Rear,2,A,Blue,Left,,,
1386,COMMONWEALTH1,DCF,Dress Circle Front,3,A,Gold,Left,,,
1386,COMMONWEALTH1,DCR,Dress Circle Rear,4,A,Blue,Left,,,
1386,COMMONWEALTH1,UBF,Upper Balcony Front,5,A,Blue,Left,,,
1386,COMMONWEALTH1,UBR,Upper Balcony Rear,6,A,Green,Left,,,
1386,COMMONWEALTH1,ADAF,ADA Front,7,H,ADABlack,Left,,,
1386,COMMONWEALTH1,ADAR,ADA Rear,8,H,ADABlack,Left,,,
1386,COMMONWEALTH1,OBL,Obstructed Left,9,A,Green,Left,,,
1386,COMMONWEALTH1,OBR,Obstructed Right,10,A,Green,Left,,,
1386,COMMONWEALTH1,OBC,Obstructed Center,11,A,Green,Left,,,
