VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1435,YOUTHFRONTAUDITORIUM2,MFCR1,Main Floor Center Tier 1,1,A,Gold,Left,,POLY,"169,207,258,207,259,149,232,149,232,123,257,123,257,105,167,105,169,123,195,123,195,149,169,149,169,149"
1435,YOUTHFRONTAUDITORIUM2,MFCR2,Main Floor Center Tier 2,4,A,Blue,Left,,RECT,"168,207,259,285"
1435,YOUTHFRONTAUDITORIUM2,MFLT1,Main Floor Left Tier 1,2,A,Gold,Left,,RECT,"68,104,142,207"
1435,YOUTHFRONTAUDITORIUM2,MFLT2,Main Floor Left Tier 2,5,A,Blue,Left,,RECT,"66,206,142,285"
1435,YOUTHFRONTAUDITORIUM2,MFRT1,Main Floor Right Tier 1,3,A,Gold,Left,,RECT,"286,104,345,206"
1435,YOUTHFRONTAUDITORIUM2,MFRT2,Main Floor Right Tier 2,6,A,Blue,Left,,RECT,"287,208,346,285"
1435,YOUTHFRONTAUDITORIUM2,BALCR,Balcony Center,7,A,Blue,Left,,RECT,"168,318,258,445"
1435,YOUTHFRONTAUDITORIUM2,BALLT,Balcony Left,8,A,Blue,Left,,RECT,"71,317,137,477"
1435,YOUTHFRONTAUDITORIUM2,BALRT,Balcony Right,9,A,Blue,Left,,RECT,"288,316,357,478"
1435,YOUTHFRONTAUDITORIUM2,BAFLT,Balcony Far Left,10,A,Blue,Left,,RECT,"6,412,41,466"
1435,YOUTHFRONTAUDITORIUM2,BAFRT,Balcony Far Right,11,A,Blue,Left,,RECT,"387,412,423,466"
1435,YOUTHFRONTAUDITORIUM2,ADACR,ADA Center,12,A,ADAGold,Left,ADA,POLY,"168,147,168,125,193,125,194,147,165,146,160,146,159,99,264,99,264,146,233,146,233,124,260,123,259,147,264,145,264,99,159,99,160,148,160,148"
