EventCode,SectionCode,Row,Seat,Priority,StatusCode,StatusDate,Aisle,OrderNumber,RowSort,SeatSort,Image,HoldType
50210,ASUP,U,15,2012,A,4/7/2006 0:00,1,0,1,1,,0
50210,ASUP,U,14,2011,A,4/7/2006 0:00,0,0,1,2,,0
50210,ASUP,V,3,2015,A,4/7/2006 0:00,0,0,2,14,,0
50210,ASUP,V,2,2014,A,4/7/2006 0:00,0,0,2,15,,0
50210,ASUP,V,1,2013,A,4/7/2006 0:00,1,0,2,16,,0
50210,ASUP,W,17,2045,A,4/7/2006 0:00,1,0,3,1,,0
50210,ASUP,W,16,2044,A,4/7/2006 0:00,0,0,3,2,,0
50210,ASUP,W,15,2043,A,4/7/2006 0:00,0,0,3,3,,0
50210,ASUP,W,14,2042,A,4/7/2006 0:00,0,0,3,4,,0
50210,ASUP,W,13,2041,A,4/7/2006 0:00,0,0,3,5,,0
50210,ASUP,W,12,2040,A,4/7/2006 0:00,0,0,3,6,,0
50210,ASUP,W,11,2039,A,4/7/2006 0:00,0,0,3,7,,0
50210,ASUP,W,10,2038,A,4/7/2006 0:00,0,0,3,8,,0
50210,ASUP,W,9,2037,A,4/7/2006 0:00,0,0,3,9,,0
50210,ASUP,W,8,2036,A,4/7/2006 0:00,0,0,3,10,,0
50210,ASUP,W,7,2035,A,4/7/2006 0:00,0,0,3,11,,0
50210,ASUP,W,6,2034,A,4/7/2006 0:00,0,0,3,12,,0
50210,ASUP,W,5,2033,A,4/7/2006 0:00,0,0,3,13,,0
50210,ASUP,W,4,2032,A,4/7/2006 0:00,0,0,3,14,,0
50210,ASUP,W,3,2031,A,4/7/2006 0:00,0,0,3,15,,0
50210,ASUP,W,2,2030,A,4/7/2006 0:00,0,0,3,16,,0
50210,ASUP,W,1,2029,A,4/7/2006 0:00,1,0,3,17,,0
50210,ASUP,X,18,2063,A,4/7/2006 0:00,1,0,4,1,,0
50210,ASUP,X,17,2062,A,4/7/2006 0:00,0,0,4,2,,0
50210,ASUP,X,16,2061,A,4/7/2006 0:00,0,0,4,3,,0
50210,ASUP,X,15,2060,A,4/7/2006 0:00,0,0,4,4,,0
50210,ASUP,X,14,2059,A,4/7/2006 0:00,0,0,4,5,,0
50210,ASUP,X,13,2058,A,4/7/2006 0:00,0,0,4,6,,0
50210,ASUP,X,12,2057,A,4/7/2006 0:00,0,0,4,7,,0
50210,ASUP,X,11,2056,A,4/7/2006 0:00,0,0,4,8,,0
50210,ASUP,X,10,2055,A,4/7/2006 0:00,0,0,4,9,,0
50210,ASUP,X,9,2054,A,4/7/2006 0:00,0,0,4,10,,0
50210,ASUP,X,8,2053,A,4/7/2006 0:00,0,0,4,11,,0
50210,ASUP,X,7,2052,A,4/7/2006 0:00,0,0,4,12,,0
50210,ASUP,X,6,2051,A,4/7/2006 0:00,0,0,4,13,,0
50210,ASUP,X,5,2050,A,4/7/2006 0:00,0,0,4,14,,0
50210,ASUP,X,4,2049,A,4/7/2006 0:00,0,0,4,15,,0
50210,ASUP,X,3,2048,A,4/7/2006 0:00,0,0,4,16,,0
50210,ASUP,X,2,2047,A,4/7/2006 0:00,0,0,4,17,,0
50210,ASUP,X,1,2046,A,4/7/2006 0:00,1,0,4,18,,0
50210,BSUP,V,28,2083,A,4/7/2006 0:00,1,0,1,1,,0
50210,BSUP,V,27,2082,A,4/7/2006 0:00,0,0,1,2,,0
50210,BSUP,V,26,2081,A,4/7/2006 0:00,0,0,1,3,,0
50210,BSUP,V,25,2080,A,4/7/2006 0:00,0,0,1,4,,0
50210,BSUP,V,24,2079,A,4/7/2006 0:00,0,0,1,5,,0
50210,BSUP,V,23,2078,A,4/7/2006 0:00,0,0,1,6,,0
50210,BSUP,V,22,2077,A,4/7/2006 0:00,0,0,1,7,,0
50210,BSUP,V,21,2076,A,4/7/2006 0:00,0,0,1,8,,0
50210,BSUP,V,20,2075,A,4/7/2006 0:00,0,0,1,9,,0
50210,BSUP,V,19,2074,A,4/7/2006 0:00,0,0,1,10,,0
50210,BSUP,V,18,2073,A,4/7/2006 0:00,0,0,1,11,,0
50210,BSUP,V,17,2072,A,4/7/2006 0:00,0,0,1,12,,0
50210,BSUP,V,16,2071,A,4/7/2006 0:00,0,0,1,13,,0
50210,BSUP,V,15,2070,A,4/7/2006 0:00,0,0,1,14,,0
50210,BSUP,V,14,2069,A,4/7/2006 0:00,0,0,1,15,,0
50210,BSUP,V,13,2068,A,4/7/2006 0:00,0,0,1,16,,0
50210,BSUP,V,12,2067,A,4/7/2006 0:00,0,0,1,17,,0
50210,BSUP,V,11,2066,A,4/7/2006 0:00,0,0,1,18,,0
50210,BSUP,V,10,2065,A,4/7/2006 0:00,0,0,1,19,,0
50210,BSUP,V,9,2064,A,4/7/2006 0:00,1,0,1,20,,0
50210,BSUP,W,29,2112,A,4/7/2006 0:00,1,0,2,1,,0
50210,BSUP,W,28,2111,A,4/7/2006 0:00,0,0,2,2,,0
50210,BSUP,W,27,2110,A,4/7/2006 0:00,0,0,2,3,,0
50210,BSUP,W,26,2109,A,4/7/2006 0:00,0,0,2,4,,0
50210,BSUP,W,25,2108,A,4/7/2006 0:00,0,0,2,5,,0
50210,BSUP,W,24,2107,A,4/7/2006 0:00,0,0,2,6,,0
50210,BSUP,W,23,2106,A,4/7/2006 0:00,0,0,2,7,,0
50210,BSUP,W,22,2105,A,4/7/2006 0:00,0,0,2,8,,0
50210,BSUP,W,21,2104,A,4/7/2006 0:00,0,0,2,9,,0
50210,BSUP,W,20,2103,A,4/7/2006 0:00,0,0,2,10,,0
50210,BSUP,W,19,2102,A,4/7/2006 0:00,0,0,2,11,,0
50210,BSUP,W,18,2101,A,4/7/2006 0:00,0,0,2,12,,0
50210,BSUP,W,17,2100,A,4/7/2006 0:00,0,0,2,13,,0
50210,BSUP,W,16,2099,A,4/7/2006 0:00,0,0,2,14,,0
50210,BSUP,W,15,2098,A,4/7/2006 0:00,0,0,2,15,,0
50210,BSUP,W,14,2097,A,4/7/2006 0:00,0,0,2,16,,0
50210,BSUP,W,13,2096,A,4/7/2006 0:00,0,0,2,17,,0
50210,BSUP,W,12,2095,A,4/7/2006 0:00,0,0,2,18,,0
50210,BSUP,W,11,2094,A,4/7/2006 0:00,0,0,2,19,,0
50210,BSUP,W,10,2093,A,4/7/2006 0:00,0,0,2,20,,0
50210,BSUP,W,9,2092,A,4/7/2006 0:00,0,0,2,21,,0
50210,BSUP,W,8,2091,A,4/7/2006 0:00,0,0,2,22,,0
50210,BSUP,W,7,2090,A,4/7/2006 0:00,0,0,2,23,,0
50210,BSUP,W,6,2089,A,4/7/2006 0:00,0,0,2,24,,0
50210,BSUP,W,5,2088,A,4/7/2006 0:00,0,0,2,25,,0
50210,BSUP,W,4,2087,A,4/7/2006 0:00,0,0,2,26,,0
50210,BSUP,W,3,2086,A,4/7/2006 0:00,0,0,2,27,,0
50210,BSUP,W,2,2085,A,4/7/2006 0:00,0,0,2,28,,0
50210,BSUP,W,1,2084,A,4/7/2006 0:00,1,0,2,29,,0
50210,BSUP,X,13,2125,A,4/7/2006 0:00,1,0,3,1,,0
50210,BSUP,X,12,2124,A,4/7/2006 0:00,0,0,3,2,,0
50210,BSUP,X,11,2123,A,4/7/2006 0:00,0,0,3,3,,0
50210,BSUP,X,10,2122,A,4/7/2006 0:00,0,0,3,4,,0
50210,BSUP,X,9,2121,A,4/7/2006 0:00,0,0,3,5,,0
50210,BSUP,X,8,2120,A,4/7/2006 0:00,0,0,3,6,,0
50210,BSUP,X,7,2119,A,4/7/2006 0:00,0,0,3,7,,0
50210,BSUP,X,6,2118,A,4/7/2006 0:00,0,0,3,8,,0
50210,BSUP,X,5,2117,A,4/7/2006 0:00,0,0,3,9,,0
50210,BSUP,X,4,2116,A,4/7/2006 0:00,0,0,3,10,,0
50210,BSUP,X,3,2115,A,4/7/2006 0:00,0,0,3,11,,0
50210,BSUP,X,2,2114,A,4/7/2006 0:00,0,0,3,12,,0
50210,BSUP,X,1,2113,A,4/7/2006 0:00,1,0,3,13,,0
50210,BSUP,Y,12,2137,A,4/7/2006 0:00,1,0,4,1,,0
50210,BSUP,Y,11,2136,A,4/7/2006 0:00,0,0,4,2,,0
50210,BSUP,Y,10,2135,A,4/7/2006 0:00,0,0,4,3,,0
50210,BSUP,Y,9,2134,A,4/7/2006 0:00,0,0,4,4,,0
50210,BSUP,Y,8,2133,A,4/7/2006 0:00,0,0,4,5,,0
50210,BSUP,Y,7,2132,A,4/7/2006 0:00,0,0,4,6,,0
50210,BSUP,Y,6,2131,A,4/7/2006 0:00,0,0,4,7,,0
50210,BSUP,Y,5,2130,A,4/7/2006 0:00,0,0,4,8,,0
50210,BSUP,Y,4,2129,A,4/7/2006 0:00,0,0,4,9,,0
50210,BSUP,Y,3,2128,A,4/7/2006 0:00,0,0,4,10,,0
50210,BSUP,Y,2,2127,A,4/7/2006 0:00,0,0,4,11,,0
50210,BSUP,Y,1,2126,A,4/7/2006 0:00,1,0,4,12,,0
50210,BSUP,Z,7,2144,A,4/7/2006 0:00,1,0,5,1,,0
50210,BSUP,Z,6,2143,A,4/7/2006 0:00,0,0,5,2,,0
50210,BSUP,Z,5,2142,A,4/7/2006 0:00,0,0,5,3,,0
50210,BSUP,Z,4,2141,A,4/7/2006 0:00,0,0,5,4,,0
50210,BSUP,Z,3,2140,A,4/7/2006 0:00,0,0,5,5,,0
50210,BSUP,Z,2,2139,A,4/7/2006 0:00,0,0,5,6,,0
50210,BSUP,Z,1,2138,A,4/7/2006 0:00,1,0,5,7,,0
50210,CSUP,V,9,2145,A,4/7/2006 0:00,1,0,1,1,,0
50210,CSUP,V,10,2146,A,4/7/2006 0:00,0,0,1,2,,0
50210,CSUP,V,11,2147,A,4/7/2006 0:00,0,0,1,3,,0
50210,CSUP,V,12,2148,A,4/7/2006 0:00,0,0,1,4,,0
50210,CSUP,V,13,2149,A,4/7/2006 0:00,0,0,1,5,,0
50210,CSUP,V,14,2150,A,4/7/2006 0:00,0,0,1,6,,0
50210,CSUP,V,15,2151,A,4/7/2006 0:00,0,0,1,7,,0
50210,CSUP,V,16,2152,A,4/7/2006 0:00,0,0,1,8,,0
50210,CSUP,V,17,2153,A,4/7/2006 0:00,0,0,1,9,,0
50210,CSUP,V,18,2154,A,4/7/2006 0:00,0,0,1,10,,0
50210,CSUP,V,19,2155,A,4/7/2006 0:00,0,0,1,11,,0
50210,CSUP,V,20,2156,A,4/7/2006 0:00,0,0,1,12,,0
50210,CSUP,V,21,2157,A,4/7/2006 0:00,0,0,1,13,,0
50210,CSUP,V,22,2158,A,4/7/2006 0:00,0,0,1,14,,0
50210,CSUP,V,23,2159,A,4/7/2006 0:00,0,0,1,15,,0
50210,CSUP,V,24,2160,A,4/7/2006 0:00,0,0,1,16,,0
50210,CSUP,V,25,2161,A,4/7/2006 0:00,0,0,1,17,,0
50210,CSUP,V,26,2162,A,4/7/2006 0:00,0,0,1,18,,0
50210,CSUP,V,27,2163,A,4/7/2006 0:00,0,0,1,19,,0
50210,CSUP,V,28,2164,A,4/7/2006 0:00,1,0,1,20,,0
50210,CSUP,W,1,2165,A,4/7/2006 0:00,1,0,2,1,,0
50210,CSUP,W,2,2166,A,4/7/2006 0:00,0,0,2,2,,0
50210,CSUP,W,3,2167,A,4/7/2006 0:00,0,0,2,3,,0
50210,CSUP,W,4,2168,A,4/7/2006 0:00,0,0,2,4,,0
50210,CSUP,W,5,2169,A,4/7/2006 0:00,0,0,2,5,,0
50210,CSUP,W,6,2170,A,4/7/2006 0:00,0,0,2,6,,0
50210,CSUP,W,7,2171,A,4/7/2006 0:00,0,0,2,7,,0
50210,CSUP,W,8,2172,A,4/7/2006 0:00,0,0,2,8,,0
50210,CSUP,W,9,2173,A,4/7/2006 0:00,0,0,2,9,,0
50210,CSUP,W,10,2174,A,4/7/2006 0:00,0,0,2,10,,0
50210,CSUP,W,11,2175,A,4/7/2006 0:00,0,0,2,11,,0
50210,CSUP,W,12,2176,A,4/7/2006 0:00,0,0,2,12,,0
50210,CSUP,W,13,2177,A,4/7/2006 0:00,0,0,2,13,,0
50210,CSUP,W,14,2178,A,4/7/2006 0:00,0,0,2,14,,0
50210,CSUP,W,15,2179,A,4/7/2006 0:00,0,0,2,15,,0
50210,CSUP,W,16,2180,A,4/7/2006 0:00,0,0,2,16,,0
50210,CSUP,W,17,2181,A,4/7/2006 0:00,0,0,2,17,,0
50210,CSUP,W,18,2182,A,4/7/2006 0:00,0,0,2,18,,0
50210,CSUP,W,19,2183,A,4/7/2006 0:00,0,0,2,19,,0
50210,CSUP,W,20,2184,A,4/7/2006 0:00,0,0,2,20,,0
50210,CSUP,W,21,2185,A,4/7/2006 0:00,0,0,2,21,,0
50210,CSUP,W,22,2186,A,4/7/2006 0:00,0,0,2,22,,0
50210,CSUP,W,23,2187,A,4/7/2006 0:00,0,0,2,23,,0
50210,CSUP,W,24,2188,A,4/7/2006 0:00,0,0,2,24,,0
50210,CSUP,W,25,2189,A,4/7/2006 0:00,0,0,2,25,,0
50210,CSUP,W,26,2190,A,4/7/2006 0:00,0,0,2,26,,0
50210,CSUP,W,27,2191,A,4/7/2006 0:00,0,0,2,27,,0
50210,CSUP,W,28,2192,A,4/7/2006 0:00,0,0,2,28,,0
50210,CSUP,W,29,2193,A,4/7/2006 0:00,1,0,2,29,,0
50210,CSUP,X,1,2194,A,4/7/2006 0:00,1,0,3,1,,0
50210,CSUP,X,2,2195,A,4/7/2006 0:00,0,0,3,2,,0
50210,CSUP,X,3,2196,A,4/7/2006 0:00,0,0,3,3,,0
50210,CSUP,X,4,2197,A,4/7/2006 0:00,0,0,3,4,,0
50210,CSUP,X,5,2198,A,4/7/2006 0:00,0,0,3,5,,0
50210,CSUP,X,6,2199,A,4/7/2006 0:00,0,0,3,6,,0
50210,CSUP,X,7,2200,A,4/7/2006 0:00,0,0,3,7,,0
50210,CSUP,X,8,2201,A,4/7/2006 0:00,0,0,3,8,,0
50210,CSUP,X,9,2202,A,4/7/2006 0:00,0,0,3,9,,0
50210,CSUP,X,10,2203,A,4/7/2006 0:00,0,0,3,10,,0
50210,CSUP,X,11,2204,A,4/7/2006 0:00,0,0,3,11,,0
50210,CSUP,X,12,2205,A,4/7/2006 0:00,0,0,3,12,,0
50210,CSUP,X,13,2206,A,4/7/2006 0:00,0,0,3,13,,0
50210,CSUP,X,14,2207,A,4/7/2006 0:00,0,0,3,14,,0
50210,CSUP,X,15,2208,A,4/7/2006 0:00,0,0,3,15,,0
50210,CSUP,X,16,2209,A,4/7/2006 0:00,0,0,3,16,,0
50210,CSUP,X,17,2210,A,4/7/2006 0:00,1,0,3,17,,0
50210,CSUP,Y,1,2211,A,4/7/2006 0:00,1,0,4,1,,0
50210,CSUP,Y,2,2212,A,4/7/2006 0:00,0,0,4,2,,0
50210,CSUP,Y,3,2213,A,4/7/2006 0:00,0,0,4,3,,0
50210,CSUP,Y,4,2214,A,4/7/2006 0:00,0,0,4,4,,0
50210,CSUP,Y,5,2215,A,4/7/2006 0:00,0,0,4,5,,0
50210,CSUP,Y,6,2216,A,4/7/2006 0:00,0,0,4,6,,0
50210,CSUP,Y,7,2217,A,4/7/2006 0:00,0,0,4,7,,0
50210,CSUP,Y,8,2218,A,4/7/2006 0:00,0,0,4,8,,0
50210,CSUP,Y,9,2219,A,4/7/2006 0:00,0,0,4,9,,0
50210,CSUP,Y,10,2220,A,4/7/2006 0:00,0,0,4,10,,0
50210,CSUP,Y,11,2221,A,4/7/2006 0:00,0,0,4,11,,0
50210,CSUP,Y,12,2222,A,4/7/2006 0:00,0,0,4,12,,0
50210,CSUP,Y,13,2223,A,4/7/2006 0:00,0,0,4,13,,0
50210,CSUP,Y,14,2224,A,4/7/2006 0:00,0,0,4,14,,0
50210,CSUP,Y,15,2225,A,4/7/2006 0:00,0,0,4,15,,0
50210,CSUP,Y,16,2226,A,4/7/2006 0:00,0,0,4,16,,0
50210,CSUP,Y,17,2227,A,4/7/2006 0:00,0,0,4,17,,0
50210,CSUP,Y,18,2228,A,4/7/2006 0:00,0,0,4,18,,0
50210,CSUP,Y,19,2229,A,4/7/2006 0:00,0,0,4,19,,0
50210,CSUP,Y,20,2230,A,4/7/2006 0:00,1,0,4,20,,0
50210,CSUP,Z,1,2231,A,4/7/2006 0:00,1,0,5,1,,0
50210,CSUP,Z,2,2232,A,4/7/2006 0:00,0,0,5,2,,0
50210,CSUP,Z,3,2233,A,4/7/2006 0:00,0,0,5,3,,0
50210,CSUP,Z,4,2234,A,4/7/2006 0:00,0,0,5,4,,0
50210,CSUP,Z,5,2235,A,4/7/2006 0:00,0,0,5,5,,0
50210,CSUP,Z,6,2236,A,4/7/2006 0:00,0,0,5,6,,0
50210,CSUP,Z,7,2237,A,4/7/2006 0:00,0,0,5,7,,0
50210,CSUP,Z,8,2238,A,4/7/2006 0:00,0,0,5,8,,0
50210,CSUP,Z,9,2239,A,4/7/2006 0:00,0,0,5,9,,0
50210,CSUP,Z,10,2240,A,4/7/2006 0:00,1,0,5,10,,0
