EventCode,SectionCode,Row,Seat,Priority,StatusCode,StatusDate,Aisle,OrderNumber,RowSort,SeatSort,Image,HoldType
50212,ASUP,U,3,2000,H,3/29/2006,1,0,1,15,,0
50212,ASUP,U,4,2001,H,3/29/2006,0,0,1,14,,0
50212,ASUP,U,5,2002,H,3/29/2006,0,0,1,13,,0
50212,ASUP,U,6,2003,H,3/29/2006,0,0,1,12,,0
50212,ASUP,U,7,2004,H,3/29/2006,0,0,1,11,,0
50212,ASUP,U,8,2005,H,3/29/2006,0,0,1,10,,0
50212,ASUP,U,9,2006,H,3/29/2006,0,0,1,9,,0
50212,ASUP,U,10,2007,H,3/29/2006,0,0,1,8,,0
50212,ASUP,U,11,2008,H,3/29/2006,0,0,1,7,,0
50212,ASUP,U,12,2009,H,3/29/2006,0,0,1,6,,0
50212,ASUP,U,13,2010,H,3/29/2006,0,0,1,5,,0
50212,ASUP,U,14,2011,H,3/29/2006,0,0,1,4,,0
50212,ASUP,U,15,2012,H,3/29/2006,1,0,1,3,,0
50212,ASUP,V,1,2013,H,3/29/2006,1,0,2,16,,0
50212,ASUP,V,2,2014,H,3/29/2006,0,0,2,15,,0
50212,ASUP,V,3,2015,H,3/29/2006,0,0,2,14,,0
50212,ASUP,V,4,2016,H,3/29/2006,0,0,2,13,,0
50212,ASUP,V,5,2017,H,3/29/2006,0,0,2,12,,0
50212,ASUP,V,6,2018,H,3/29/2006,0,0,2,11,,0
50212,ASUP,V,7,2019,H,3/29/2006,0,0,2,10,,0
50212,ASUP,V,8,2020,H,3/29/2006,0,0,2,9,,0
50212,ASUP,V,9,2021,H,3/29/2006,0,0,2,8,,0
50212,ASUP,V,10,2022,H,3/29/2006,0,0,2,7,,0
50212,ASUP,V,11,2023,H,3/29/2006,0,0,2,6,,0
50212,ASUP,V,12,2024,H,3/29/2006,0,0,2,5,,0
50212,ASUP,V,13,2025,H,3/29/2006,0,0,2,4,,0
50212,ASUP,V,14,2026,H,3/29/2006,0,0,2,3,,0
50212,ASUP,V,15,2027,H,3/29/2006,0,0,2,2,,0
50212,ASUP,V,16,2028,H,3/29/2006,1,0,2,1,,0
50212,ASUP,W,1,2029,H,3/29/2006,1,0,3,17,,0
50212,ASUP,W,2,2030,H,3/29/2006,0,0,3,16,,0
50212,ASUP,W,3,2031,H,3/29/2006,0,0,3,15,,0
50212,ASUP,W,4,2032,H,3/29/2006,0,0,3,14,,0
50212,ASUP,W,5,2033,H,3/29/2006,0,0,3,13,,0
50212,ASUP,W,6,2034,H,3/29/2006,0,0,3,12,,0
50212,ASUP,W,7,2035,H,3/29/2006,0,0,3,11,,0
50212,ASUP,W,8,2036,H,3/29/2006,0,0,3,10,,0
50212,ASUP,W,9,2037,H,3/29/2006,0,0,3,9,,0
50212,ASUP,W,10,2038,H,3/29/2006,0,0,3,8,,0
