VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1593,CYPRESSGARDENS3,SECAF,SECTION A FRONT,3,A,GOLD,LEFT,,POLY,"158,131,120,114,158,73,178,80,178,80"
1593,CYPRESSGARDENS3,SECAB,SECTION A BACK,11,A,GREEN,LEFT,,POLY,"103,272,54,252,51,259,38,254,42,248,38,181,43,165,52,160,132,193,132,193"
1593,CYPRESSGARDENS3,SECBF,SECTION B FRONT,1,A,GOLD,LEFT,,POLY,"246,70,197,71,174,132,246,132,246,132"
1593,CYPRESSGARDENS3,SECBB,SECTION B BACK,9,A,GREEN,LEFT,,POLY,"247,197,155,198,126,285,216,285,216,291,247,291,247,291"
1593,CYPRESSGARDENS3,SECCF,SECTION C FRONT,2,A,GOLD,LEFT,,POLY,"266,69,267,135,338,133,315,71,315,71"
1593,CYPRESSGARDENS3,SECCB,SECTION C BACK,10,A,GREEN,LEFT,,POLY,"267,198,359,198,388,283,297,284,296,290,266,291,266,291"
1593,CYPRESSGARDENS3,SECDF,SECTION D FRONT,4,A,GOLD,LEFT,,POLY,"336,81,356,72,395,114,355,132,355,132"
1593,CYPRESSGARDENS3,SECDB,SECTION D BACK,12,A,GREEN,LEFT,,POLY,"382,193,411,268,461,252,464,258,476,253,473,247,478,182,470,166,462,161,462,161"
1593,CYPRESSGARDENS3,ADAAF,ADA A FRONT,13,H,ADABlack,LEFT,ADA,RECT,"171,67,178,79"
1593,CYPRESSGARDENS3,ADAAB,ADA A BACK,17,H,ADABlack,LEFT,ADA,POLY,"35,183,41,164,29,160,24,180,34,179,29,269,63,267,63,257,54,254,48,267,29,267,29,267"
1593,CYPRESSGARDENS3,ADABB,ADA B BACK,15,H,ADABlack,LEFT,ADA,POLY,"153,297,152,286,136,286,136,298,153,294,212,297,213,285,197,287,197,295,236,305,241,291,225,292,226,302,201,296,201,296"
1593,CYPRESSGARDENS3,ADACB,ADA C BACK,16,H,ADABlack,LEFT,ADA,POLY,"284,304,282,292,270,291,270,305,283,305,282,299,312,296,311,285,298,285,295,297,373,297,370,285,350,285,351,297,295,296,295,296"
1593,CYPRESSGARDENS3,ADADF,ADA D FRONT,14,H,ADABlack,LEFT,ADA,RECT,"330,67,346,75"
1593,CYPRESSGARDENS3,ADADB,ADA D BACK,18,H,ADABlack,LEFT,ADA,POLY,"467,262,454,267,448,257,461,252,467,262,491,262,485,163,470,168,478,180,485,177,490,261,490,261"
