VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
2489,WILSHIREEBELL2,VIP,VIP,1,A,BLUE,CENTER,,POLY,"134,138,226,138,220,56,136,57,136,56"
2489,WILSHIREEBELL2,ORCC1,ORCHESTRA CENTER TIER 1,2,A,GOLD,CENTER,,POLY,"134,138,227,138,227,203,132,204,132,204"
2489,WILSHIREEBELL2,ORCC2,ORCHESTRA CENTER TIER 2,10,A,GREEN,CENTER,,RECT,"132,204,228,316"
2489,WILSHIREEBELL2,ORCL1,ORCHESTRA LEFT TIER 1,3,A,GOLD,LEFT,,POLY,"86,37,125,54,110,198,35,161,35,161"
2489,WILSHIREEBELL2,ORCL2,ORCHESTRA LEFT TIER 2,11,A,GREEN,LEFT,,POLY,"86,36,78,34,16,166,17,226,110,262,110,198,34,161,34,161"
2489,WILSHIREEBELL2,ORCL3,ORCHESTRA LEFT TIER 3,17,A,RED,LEFT,,POLY,"17,226,17,283,61,300,64,285,109,297,109,262,109,262"
2489,WILSHIREEBELL2,ORCR1,ORCHESTRA RIGHT TIER 1,4,A,GOLD,LEFT,,POLY,"230,53,246,198,322,161,271,37,271,37"
2489,WILSHIREEBELL2,ORCR2,ORCHESTRA RIGHT TIER 2,12,A,GREEN,LEFT,,POLY,"280,34,271,36,322,162,245,198,246,262,339,227,340,163,340,163"
2489,WILSHIREEBELL2,ORCR3,ORCHESTRA RIGHT TIER 3,18,A,RED,LEFT,,POLY,"245,262,246,298,292,286,296,302,338,284,339,226,339,226"
2489,WILSHIREEBELL2,LOGEC,LOGE CENTER ,5,A,GOLD,CENTER,,POLY,"133,348,147,350,165,351,178,352,194,350,222,349,223,384,209,386,192,387,168,386,147,386,133,384,133,384"
2489,WILSHIREEBELL2,LOGL1,LOGE LEFT TIER 1,6,A,GOLD,LEFT,,POLY,"117,344,72,333,51,323,47,363,70,373,118,385,118,385"
2489,WILSHIREEBELL2,LOGL2,LOGE LEFT TIER 2,13,A,GREEN,LEFT,,POLY,"31,313,51,323,47,363,27,355,27,355"
2489,WILSHIREEBELL2,LOGR1,LOGE RIGHT TIER 1,7,A,GOLD,LEFT,,POLY,"241,346,279,336,306,326,309,365,281,373,241,382,241,382"
2489,WILSHIREEBELL2,LOGR2,LOGE RIGHT TIER 2,14,A,GREEN,LEFT,,POLY,"305,326,326,318,329,355,308,364,308,364"
2489,WILSHIREEBELL2,BALL1,BALCONY LEFT TIER 1,8,A,GOLD,LEFT,,POLY,"173,433,173,424,92,414,72,411,49,404,51,413,72,419,92,422,96,423"
2489,WILSHIREEBELL2,BALL2,BALCONY LEFT TIER 2,15,A,GREEN,LEFT,,POLY,"173,433,173,446,93,435,73,435,75,467,60,466,36,400,48,403,49,412,71,417,72,435,92,435,92,421,92,421"
2489,WILSHIREEBELL2,BALL3,BALCONY LEFT TIER 3,19,A,RED,LEFT,,POLY,"90,477,152,486,173,467,172,445,91,435,91,435"
2489,WILSHIREEBELL2,BALR1,BALCONY RIGHT TIER 1,9,A,GOLD,LEFT,,POLY,"187,423,187,432,269,421,284,417,299,412,303,400,283,408,268,412,268,412"
2489,WILSHIREEBELL2,BALR2,BALCONY RIGHT TIER 2,16,A,GREEN,LEFT,,POLY,"187,432,187,446,270,434,285,432,287,464,301,462,318,395,303,400,300,412,283,417,284,431,269,434,268,420,268,420"
2489,WILSHIREEBELL2,BALR3,BALCONY RIGHT TIER 3,20,A,RED,LEFT,,POLY,"187,445,188,467,209,485,271,478,268,434,268,434"
