VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
1464,MECHANICSHALL2,FLRC,A,101,13,A,1,1,1,,0
1464,MECHANICSHALL2,FLRC,A,102,11,A,0,1,2,,0
1464,MECHANICSHALL2,FLRC,A,103,9,A,0,1,3,,0
1464,MECHANICSHALL2,FLRC,A,104,7,A,0,1,4,,0
1464,MECHANICSHALL2,FLRC,A,105,5,A,0,1,5,,0
1464,MECHANICSHALL2,FLRC,A,106,3,A,0,1,6,,0
1464,MECHANICSHALL2,FLRC,A,107,1,A,0,1,7,,0
1464,MECHANICSHALL2,FLRC,A,108,2,A,0,1,8,,0
1464,MECHANICSHALL2,FLRC,A,109,4,A,0,1,9,,0
1464,MECHANICSHALL2,FLRC,A,110,6,A,0,1,10,,0
1464,MECHANICSHALL2,FLRC,A,111,8,A,0,1,11,,0
1464,MECHANICSHALL2,FLRC,A,112,10,A,0,1,12,,0
1464,MECHANICSHALL2,FLRC,A,113,12,A,1,1,13,,0
1464,MECHANICSHALL2,FLRC,B,101,26,A,1,2,1,,0
1464,MECHANICSHALL2,FLRC,B,102,24,A,0,2,2,,0
1464,MECHANICSHALL2,FLRC,B,103,22,A,0,2,3,,0
1464,MECHANICSHALL2,FLRC,B,104,20,A,0,2,4,,0
1464,MECHANICSHALL2,FLRC,B,105,18,A,0,2,5,,0
1464,MECHANICSHALL2,FLRC,B,106,16,A,0,2,6,,0
1464,MECHANICSHALL2,FLRC,B,107,14,A,0,2,7,,0
1464,MECHANICSHALL2,FLRC,B,108,15,A,0,2,8,,0
1464,MECHANICSHALL2,FLRC,B,109,17,A,0,2,9,,0
1464,MECHANICSHALL2,FLRC,B,110,19,A,0,2,10,,0
1464,MECHANICSHALL2,FLRC,B,111,21,A,0,2,11,,0
1464,MECHANICSHALL2,FLRC,B,112,23,A,0,2,12,,0
1464,MECHANICSHALL2,FLRC,B,113,25,A,1,2,13,,0
1464,MECHANICSHALL2,FLRC,C,101,39,A,1,3,1,,0
1464,MECHANICSHALL2,FLRC,C,102,37,A,0,3,2,,0
1464,MECHANICSHALL2,FLRC,C,103,35,A,0,3,3,,0
1464,MECHANICSHALL2,FLRC,C,104,33,A,0,3,4,,0
1464,MECHANICSHALL2,FLRC,C,105,31,A,0,3,5,,0
1464,MECHANICSHALL2,FLRC,C,106,29,A,0,3,6,,0
1464,MECHANICSHALL2,FLRC,C,107,27,A,0,3,7,,0
1464,MECHANICSHALL2,FLRC,C,108,28,A,0,3,8,,0
1464,MECHANICSHALL2,FLRC,C,109,30,A,0,3,9,,0
1464,MECHANICSHALL2,FLRC,C,110,32,A,0,3,10,,0
1464,MECHANICSHALL2,FLRC,C,111,34,A,0,3,11,,0
1464,MECHANICSHALL2,FLRC,C,112,36,A,0,3,12,,0
1464,MECHANICSHALL2,FLRC,C,113,38,A,1,3,13,,0
1464,MECHANICSHALL2,FLRC,D,101,52,A,1,4,1,,0
1464,MECHANICSHALL2,FLRC,D,102,50,A,0,4,2,,0
1464,MECHANICSHALL2,FLRC,D,103,48,A,0,4,3,,0
1464,MECHANICSHALL2,FLRC,D,104,46,A,0,4,4,,0
1464,MECHANICSHALL2,FLRC,D,105,44,A,0,4,5,,0
1464,MECHANICSHALL2,FLRC,D,106,42,A,0,4,6,,0
1464,MECHANICSHALL2,FLRC,D,107,40,A,0,4,7,,0
1464,MECHANICSHALL2,FLRC,D,108,41,A,0,4,8,,0
1464,MECHANICSHALL2,FLRC,D,109,43,A,0,4,9,,0
1464,MECHANICSHALL2,FLRC,D,110,45,A,0,4,10,,0
1464,MECHANICSHALL2,FLRC,D,111,47,A,0,4,11,,0
1464,MECHANICSHALL2,FLRC,D,112,49,A,0,4,12,,0
1464,MECHANICSHALL2,FLRC,D,113,51,A,1,4,13,,0
1464,MECHANICSHALL2,FLRC,E,101,81,A,1,5,1,,0
1464,MECHANICSHALL2,FLRC,E,102,79,A,0,5,2,,0
1464,MECHANICSHALL2,FLRC,E,103,77,A,0,5,3,,0
