VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
1460,PERFORMINGARTSCENTER1,ADAC,L,W2,772,H,1,1,1,,0
1460,PERFORMINGARTSCENTER1,ADAC,L,W1,771,H,1,1,2,,0
1460,PERFORMINGARTSCENTER1,ADAC,M,W2,774,H,1,2,1,,0
1460,PERFORMINGARTSCENTER1,ADAC,M,W1,773,H,1,2,2,,0
1460,PERFORMINGARTSCENTER1,ADAC,W,W2,780,H,1,3,1,,0
1460,PERFORMINGARTSCENTER1,ADAC,W,W1,779,H,1,3,2,,0
1460,PERFORMINGARTSCENTER1,ADAL,L,W1,775,H,1,1,1,,0
1460,PERFORMINGARTSCENTER1,ADAL,M,W1,777,H,1,2,1,,0
1460,PERFORMINGARTSCENTER1,ADAL,W,W1,781,H,1,3,1,,0
1460,PERFORMINGARTSCENTER1,ADAR,L,W1,776,H,1,1,1,,0
1460,PERFORMINGARTSCENTER1,ADAR,M,W1,778,H,1,2,1,,0
1460,PERFORMINGARTSCENTER1,ADAR,W,W1,782,H,1,3,1,,0
1460,PERFORMINGARTSCENTER1,CNTR,A,110,132,H,1,1,1,,0
1460,PERFORMINGARTSCENTER1,CNTR,A,109,130,H,0,1,2,,0
1460,PERFORMINGARTSCENTER1,CNTR,A,108,128,H,0,1,3,,0
1460,PERFORMINGARTSCENTER1,CNTR,A,107,126,H,0,1,4,,0
1460,PERFORMINGARTSCENTER1,CNTR,A,106,124,H,0,1,5,,0
1460,PERFORMINGARTSCENTER1,CNTR,A,105,125,H,0,1,6,,0
1460,PERFORMINGARTSCENTER1,CNTR,A,104,127,H,0,1,7,,0
1460,PERFORMINGARTSCENTER1,CNTR,A,103,129,H,0,1,8,,0
1460,PERFORMINGARTSCENTER1,CNTR,A,102,131,H,0,1,9,,0
1460,PERFORMINGARTSCENTER1,CNTR,A,101,133,H,1,1,10,,0
1460,PERFORMINGARTSCENTER1,CNTR,B,111,72,H,1,2,1,,0
1460,PERFORMINGARTSCENTER1,CNTR,B,110,70,H,0,2,2,,0
1460,PERFORMINGARTSCENTER1,CNTR,B,109,68,H,0,2,3,,0
1460,PERFORMINGARTSCENTER1,CNTR,B,108,66,H,0,2,4,,0
1460,PERFORMINGARTSCENTER1,CNTR,B,107,64,H,0,2,5,,0
1460,PERFORMINGARTSCENTER1,CNTR,B,106,62,H,0,2,6,,0
1460,PERFORMINGARTSCENTER1,CNTR,B,105,63,H,0,2,7,,0
1460,PERFORMINGARTSCENTER1,CNTR,B,104,65,H,0,2,8,,0
1460,PERFORMINGARTSCENTER1,CNTR,B,103,67,H,0,2,9,,0
1460,PERFORMINGARTSCENTER1,CNTR,B,102,69,H,0,2,10,,0
1460,PERFORMINGARTSCENTER1,CNTR,B,101,71,H,1,2,11,,0
1460,PERFORMINGARTSCENTER1,CNTR,C,112,11,A,1,3,1,,0
1460,PERFORMINGARTSCENTER1,CNTR,C,111,9,A,0,3,2,,0
1460,PERFORMINGARTSCENTER1,CNTR,C,110,7,A,0,3,3,,0
1460,PERFORMINGARTSCENTER1,CNTR,C,109,5,A,0,3,4,,0
1460,PERFORMINGARTSCENTER1,CNTR,C,108,3,A,0,3,5,,0
1460,PERFORMINGARTSCENTER1,CNTR,C,107,1,A,0,3,6,,0
1460,PERFORMINGARTSCENTER1,CNTR,C,106,2,A,0,3,7,,0
1460,PERFORMINGARTSCENTER1,CNTR,C,105,4,A,0,3,8,,0
1460,PERFORMINGARTSCENTER1,CNTR,C,104,6,A,0,3,9,,0
1460,PERFORMINGARTSCENTER1,CNTR,C,103,8,A,0,3,10,,0
1460,PERFORMINGARTSCENTER1,CNTR,C,102,10,A,0,3,11,,0
1460,PERFORMINGARTSCENTER1,CNTR,C,101,12,A,1,3,12,,0
1460,PERFORMINGARTSCENTER1,CNTR,D,113,43,A,1,4,1,,0
1460,PERFORMINGARTSCENTER1,CNTR,D,112,41,A,0,4,2,,0
1460,PERFORMINGARTSCENTER1,CNTR,D,111,39,A,0,4,3,,0
1460,PERFORMINGARTSCENTER1,CNTR,D,110,37,A,0,4,4,,0
1460,PERFORMINGARTSCENTER1,CNTR,D,109,35,A,0,4,5,,0
1460,PERFORMINGARTSCENTER1,CNTR,D,108,33,A,0,4,6,,0
1460,PERFORMINGARTSCENTER1,CNTR,D,107,31,A,0,4,7,,0
1460,PERFORMINGARTSCENTER1,CNTR,D,106,32,A,0,4,8,,0
1460,PERFORMINGARTSCENTER1,CNTR,D,105,34,A,0,4,9,,0
1460,PERFORMINGARTSCENTER1,CNTR,D,104,36,A,0,4,10,,0
1460,PERFORMINGARTSCENTER1,CNTR,D,103,38,A,0,4,11,,0
1460,PERFORMINGARTSCENTER1,CNTR,D,102,40,A,0,4,12,,0
1460,PERFORMINGARTSCENTER1,CNTR,D,101,42,A,1,4,13,,0
1460,PERFORMINGARTSCENTER1,CNTR,E,113,103,A,1,5,1,,0
1460,PERFORMINGARTSCENTER1,CNTR,E,112,101,A,0,5,2,,0
1460,PERFORMINGARTSCENTER1,CNTR,E,111,99,A,0,5,3,,0
1460,PERFORMINGARTSCENTER1,CNTR,E,110,97,A,0,5,4,,0
1460,PERFORMINGARTSCENTER1,CNTR,E,109,95,A,0,5,5,,0
1460,PERFORMINGARTSCENTER1,CNTR,E,108,93,A,0,5,6,,0
1460,PERFORMINGARTSCENTER1,CNTR,E,107,91,A,0,5,7,,0
1460,PERFORMINGARTSCENTER1,CNTR,E,106,92,A,0,5,8,,0
1460,PERFORMINGARTSCENTER1,CNTR,E,105,94,A,0,5,9,,0
1460,PERFORMINGARTSCENTER1,CNTR,E,104,96,A,0,5,10,,0
1460,PERFORMINGARTSCENTER1,CNTR,E,103,98,A,0,5,11,,0
1460,PERFORMINGARTSCENTER1,CNTR,E,102,100,A,0,5,12,,0
1460,PERFORMINGARTSCENTER1,CNTR,E,101,102,A,1,5,13,,0
1460,PERFORMINGARTSCENTER1,CNTR,F,114,164,A,1,6,1,,0
1460,PERFORMINGARTSCENTER1,CNTR,F,113,162,A,0,6,2,,0
1460,PERFORMINGARTSCENTER1,CNTR,F,112,160,A,0,6,3,,0
1460,PERFORMINGARTSCENTER1,CNTR,F,111,158,A,0,6,4,,0
1460,PERFORMINGARTSCENTER1,CNTR,F,110,156,A,0,6,5,,0
1460,PERFORMINGARTSCENTER1,CNTR,F,109,154,A,0,6,6,,0
1460,PERFORMINGARTSCENTER1,CNTR,F,108,152,A,0,6,7,,0
1460,PERFORMINGARTSCENTER1,CNTR,F,107,153,A,0,6,8,,0
1460,PERFORMINGARTSCENTER1,CNTR,F,106,155,A,0,6,9,,0
1460,PERFORMINGARTSCENTER1,CNTR,F,105,157,A,0,6,10,,0
1460,PERFORMINGARTSCENTER1,CNTR,F,104,159,A,0,6,11,,0
1460,PERFORMINGARTSCENTER1,CNTR,F,103,161,A,0,6,12,,0
1460,PERFORMINGARTSCENTER1,CNTR,F,102,163,A,0,6,13,,0
1460,PERFORMINGARTSCENTER1,CNTR,F,101,165,A,1,6,14,,0
1460,PERFORMINGARTSCENTER1,CNTR,G,115,200,A,1,7,1,,0
1460,PERFORMINGARTSCENTER1,CNTR,G,114,198,A,0,7,2,,0
1460,PERFORMINGARTSCENTER1,CNTR,G,113,196,A,0,7,3,,0
1460,PERFORMINGARTSCENTER1,CNTR,G,112,194,A,0,7,4,,0
1460,PERFORMINGARTSCENTER1,CNTR,G,111,192,A,0,7,5,,0
1460,PERFORMINGARTSCENTER1,CNTR,G,110,190,A,0,7,6,,0
1460,PERFORMINGARTSCENTER1,CNTR,G,109,188,A,0,7,7,,0
1460,PERFORMINGARTSCENTER1,CNTR,G,108,186,A,0,7,8,,0
1460,PERFORMINGARTSCENTER1,CNTR,G,107,187,A,0,7,9,,0
1460,PERFORMINGARTSCENTER1,CNTR,G,106,189,A,0,7,10,,0
1460,PERFORMINGARTSCENTER1,CNTR,G,105,191,A,0,7,11,,0
