VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
4067,WESTFORDACADEMY1,ADAC,A,WC114,835,H,1,1,1,,0
4067,WESTFORDACADEMY1,ADAC,A,WC112,833,H,1,1,2,,0
4067,WESTFORDACADEMY1,ADAC,A,WC105,834,H,1,1,8,,0
4067,WESTFORDACADEMY1,ADAC,A,WC103,836,H,1,1,9,,0
4067,WESTFORDACADEMY1,ADAL,KK,WC1,837,H,1,1,1,,0
4067,WESTFORDACADEMY1,ADAR,KK,WC2,838,H,1,1,1,,0
4067,WESTFORDACADEMY1,LCENT,A,117,3,A,1,1,1,,0
4067,WESTFORDACADEMY1,LCENT,A,116,1,A,1,1,2,,0
4067,WESTFORDACADEMY1,LCENT,A,102,2,A,1,1,16,,0
4067,WESTFORDACADEMY1,LCENT,A,101,4,A,1,1,17,,0
4067,WESTFORDACADEMY1,LCENT,B,117,21,A,1,2,1,,0
4067,WESTFORDACADEMY1,LCENT,B,116,19,A,0,2,2,,0
4067,WESTFORDACADEMY1,LCENT,B,115,17,A,0,2,3,,0
4067,WESTFORDACADEMY1,LCENT,B,114,15,A,0,2,4,,0
4067,WESTFORDACADEMY1,LCENT,B,113,13,A,0,2,5,,0
4067,WESTFORDACADEMY1,LCENT,B,112,11,A,0,2,6,,0
4067,WESTFORDACADEMY1,LCENT,B,111,9,A,0,2,7,,0
4067,WESTFORDACADEMY1,LCENT,B,110,7,A,0,2,8,,0
4067,WESTFORDACADEMY1,LCENT,B,109,5,A,0,2,9,,0
4067,WESTFORDACADEMY1,LCENT,B,108,6,A,0,2,10,,0
4067,WESTFORDACADEMY1,LCENT,B,107,8,A,0,2,11,,0
4067,WESTFORDACADEMY1,LCENT,B,106,10,A,0,2,12,,0
4067,WESTFORDACADEMY1,LCENT,B,105,12,A,0,2,13,,0
4067,WESTFORDACADEMY1,LCENT,B,104,14,A,0,2,14,,0
4067,WESTFORDACADEMY1,LCENT,B,103,16,A,0,2,15,,0
4067,WESTFORDACADEMY1,LCENT,B,102,18,A,0,2,16,,0
4067,WESTFORDACADEMY1,LCENT,B,101,20,A,1,2,17,,0
4067,WESTFORDACADEMY1,LCENT,C,117,38,A,1,3,1,,0
4067,WESTFORDACADEMY1,LCENT,C,116,36,A,0,3,2,,0
4067,WESTFORDACADEMY1,LCENT,C,115,34,A,0,3,3,,0
4067,WESTFORDACADEMY1,LCENT,C,114,32,A,0,3,4,,0
4067,WESTFORDACADEMY1,LCENT,C,113,30,A,0,3,5,,0
4067,WESTFORDACADEMY1,LCENT,C,112,28,A,0,3,6,,0
4067,WESTFORDACADEMY1,LCENT,C,111,26,A,0,3,7,,0
4067,WESTFORDACADEMY1,LCENT,C,110,24,A,0,3,8,,0
4067,WESTFORDACADEMY1,LCENT,C,109,22,A,0,3,9,,0
4067,WESTFORDACADEMY1,LCENT,C,108,23,A,0,3,10,,0
4067,WESTFORDACADEMY1,LCENT,C,107,25,A,0,3,11,,0
4067,WESTFORDACADEMY1,LCENT,C,106,27,A,0,3,12,,0
4067,WESTFORDACADEMY1,LCENT,C,105,29,A,0,3,13,,0
4067,WESTFORDACADEMY1,LCENT,C,104,31,A,0,3,14,,0
4067,WESTFORDACADEMY1,LCENT,C,103,33,A,0,3,15,,0
4067,WESTFORDACADEMY1,LCENT,C,102,35,A,0,3,16,,0
4067,WESTFORDACADEMY1,LCENT,C,101,37,A,1,3,17,,0
4067,WESTFORDACADEMY1,LCENT,D,118,55,A,1,4,1,,0
4067,WESTFORDACADEMY1,LCENT,D,117,53,A,0,4,2,,0
4067,WESTFORDACADEMY1,LCENT,D,116,51,A,0,4,3,,0
4067,WESTFORDACADEMY1,LCENT,D,115,49,A,0,4,4,,0
4067,WESTFORDACADEMY1,LCENT,D,114,47,A,0,4,5,,0
4067,WESTFORDACADEMY1,LCENT,D,113,45,A,0,4,6,,0
4067,WESTFORDACADEMY1,LCENT,D,112,43,A,0,4,7,,0
4067,WESTFORDACADEMY1,LCENT,D,111,41,A,0,4,8,,0
4067,WESTFORDACADEMY1,LCENT,D,110,39,A,0,4,9,,0
4067,WESTFORDACADEMY1,LCENT,D,109,40,A,0,4,10,,0
4067,WESTFORDACADEMY1,LCENT,D,108,42,A,0,4,11,,0
4067,WESTFORDACADEMY1,LCENT,D,107,44,A,0,4,12,,0
4067,WESTFORDACADEMY1,LCENT,D,106,46,A,0,4,13,,0
4067,WESTFORDACADEMY1,LCENT,D,105,48,A,0,4,14,,0
