VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
2904,MAJESTIC2,BALF,A,1,1010,H,1,1,1,,0
2904,MAJESTIC2,BALF,A,2,1012,H,0,1,2,,0
2904,MAJESTIC2,BALF,A,3,1014,H,0,1,3,,0
2904,MAJESTIC2,BALF,A,4,1016,H,0,1,4,,0
2904,MAJESTIC2,BALF,A,5,1018,H,0,1,5,,0
2904,MAJESTIC2,BALF,A,6,1020,H,0,1,6,,0
2904,MAJESTIC2,BALF,A,7,1022,H,0,1,7,,0
2904,MAJESTIC2,BALF,A,8,1024,H,0,1,8,,0
2904,MAJESTIC2,BALF,A,9,1026,H,0,1,9,,0
2904,MAJESTIC2,BALF,A,10,1028,H,0,1,10,,0
2904,MAJESTIC2,BALF,A,11,1030,H,0,1,11,,0
2904,MAJESTIC2,BALF,A,12,1032,H,0,1,12,,0
2904,MAJESTIC2,BALF,A,13,1034,H,0,1,13,,0
2904,MAJESTIC2,BALF,A,14,1036,H,1,1,14,,0
2904,MAJESTIC2,BALF,B,1,1053,H,1,2,1,,0
2904,MAJESTIC2,BALF,B,2,1055,H,0,2,2,,0
2904,MAJESTIC2,BALF,B,3,1057,H,0,2,3,,0
2904,MAJESTIC2,BALF,B,4,1059,H,0,2,4,,0
2904,MAJESTIC2,BALF,B,5,1061,H,0,2,5,,0
2904,MAJESTIC2,BALF,B,6,1063,H,0,2,6,,0
2904,MAJESTIC2,BALF,B,7,1065,H,0,2,7,,0
2904,MAJESTIC2,BALF,B,8,1067,H,0,2,8,,0
2904,MAJESTIC2,BALF,B,9,1069,H,0,2,9,,0
2904,MAJESTIC2,BALF,B,10,1071,H,0,2,10,,0
2904,MAJESTIC2,BALF,B,11,1073,H,0,2,11,,0
2904,MAJESTIC2,BALF,B,12,1075,H,0,2,12,,0
2904,MAJESTIC2,BALF,B,13,1077,H,0,2,13,,0
2904,MAJESTIC2,BALF,B,14,1079,H,1,2,14,,0
2904,MAJESTIC2,BALF,C,1,1096,H,1,3,1,,0
2904,MAJESTIC2,BALF,C,2,1098,H,0,3,2,,0
2904,MAJESTIC2,BALF,C,3,1100,H,0,3,3,,0
2904,MAJESTIC2,BALF,C,4,1102,H,0,3,4,,0
2904,MAJESTIC2,BALF,C,5,1104,H,0,3,5,,0
2904,MAJESTIC2,BALF,C,6,1106,H,0,3,6,,0
2904,MAJESTIC2,BALF,C,7,1108,H,0,3,7,,0
2904,MAJESTIC2,BALF,C,8,1110,H,0,3,8,,0
2904,MAJESTIC2,BALF,C,9,1112,H,0,3,9,,0
2904,MAJESTIC2,BALF,C,10,1114,H,0,3,10,,0
2904,MAJESTIC2,BALF,C,11,1116,H,0,3,11,,0
2904,MAJESTIC2,BALF,C,12,1118,H,0,3,12,,0
2904,MAJESTIC2,BALF,C,13,1120,H,0,3,13,,0
2904,MAJESTIC2,BALF,C,14,1122,H,1,3,14,,0
2904,MAJESTIC2,BALF,D,1,1139,H,1,4,1,,0
2904,MAJESTIC2,BALF,D,2,1141,H,0,4,2,,0
2904,MAJESTIC2,BALF,D,3,1143,H,0,4,3,,0
2904,MAJESTIC2,BALF,D,4,1145,H,0,4,4,,0
2904,MAJESTIC2,BALF,D,5,1147,H,0,4,5,,0
2904,MAJESTIC2,BALF,D,6,1149,H,0,4,6,,0
2904,MAJESTIC2,BALF,D,7,1151,H,0,4,7,,0
2904,MAJESTIC2,BALF,D,8,1153,H,0,4,8,,0
2904,MAJESTIC2,BALF,D,9,1155,H,0,4,9,,0
2904,MAJESTIC2,BALF,D,10,1157,H,0,4,10,,0
2904,MAJESTIC2,BALF,D,11,1159,H,0,4,11,,0
2904,MAJESTIC2,BALF,D,12,1161,H,0,4,12,,0
2904,MAJESTIC2,BALF,D,13,1163,H,0,4,13,,0
2904,MAJESTIC2,BALF,D,14,1165,H,1,4,14,,0
2904,MAJESTIC2,BALF,E,1,1182,H,1,5,1,,0
2904,MAJESTIC2,BALF,E,2,1184,H,0,5,2,,0
2904,MAJESTIC2,BALF,E,3,1186,H,0,5,3,,0
2904,MAJESTIC2,BALF,E,4,1188,H,0,5,4,,0
2904,MAJESTIC2,BALF,E,5,1190,H,0,5,5,,0
2904,MAJESTIC2,BALF,E,6,1192,H,0,5,6,,0
2904,MAJESTIC2,BALF,E,7,1194,H,0,5,7,,0
2904,MAJESTIC2,BALF,E,8,1196,H,0,5,8,,0
2904,MAJESTIC2,BALF,E,9,1198,H,0,5,9,,0
2904,MAJESTIC2,BALF,E,10,1200,H,0,5,10,,0
2904,MAJESTIC2,BALF,E,11,1202,H,0,5,11,,0
2904,MAJESTIC2,BALF,E,12,1204,H,0,5,12,,0
2904,MAJESTIC2,BALF,E,13,1206,H,0,5,13,,0
