VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
7520,DAVISHIGH6,CENTR,B,1,42,H,TRUE,2,15,,0
7520,DAVISHIGH6,CENTR,C,13,78,A,TRUE,3,3,,0
7520,DAVISHIGH6,CENTR,C,12,76,A,FALSE,3,4,,0
7520,DAVISHIGH6,CENTR,C,11,74,A,FALSE,3,5,,0
7520,DAVISHIGH6,CENTR,C,10,72,A,FALSE,3,6,,0
7520,DAVISHIGH6,CENTR,C,9,70,A,FALSE,3,7,,0
7520,DAVISHIGH6,CENTR,B,2,40,H,FALSE,2,14,,0
7520,DAVISHIGH6,CENTR,B,3,38,H,FALSE,2,13,,0
7520,DAVISHIGH6,CENTR,B,4,36,H,FALSE,2,12,,0
7520,DAVISHIGH6,CENTR,B,5,34,H,FALSE,2,11,,0
7520,DAVISHIGH6,CENTR,B,6,32,H,FALSE,2,10,,0
7520,DAVISHIGH6,CENTR,B,7,31,H,FALSE,2,9,,0
7520,DAVISHIGH6,CENTR,B,8,33,H,FALSE,2,8,,0
7520,DAVISHIGH6,CENTR,B,9,35,H,FALSE,2,7,,0
7520,DAVISHIGH6,CENTR,B,10,37,H,FALSE,2,6,,0
7520,DAVISHIGH6,CENTR,B,11,39,H,FALSE,2,5,,0
7520,DAVISHIGH6,CENTR,B,12,41,H,FALSE,2,4,,0
7520,DAVISHIGH6,CENTR,B,13,43,H,TRUE,2,3,,0
7520,DAVISHIGH6,CENTR,A,1,12,H,TRUE,1,14,,0
7520,DAVISHIGH6,CENTR,A,2,10,H,FALSE,1,13,,0
7520,DAVISHIGH6,CENTR,A,3,8,H,FALSE,1,12,,0
7520,DAVISHIGH6,CENTR,A,4,6,H,FALSE,1,11,,0
7520,DAVISHIGH6,CENTR,A,5,4,H,FALSE,1,10,,0
7520,DAVISHIGH6,CENTR,A,6,2,H,FALSE,1,9,,0
7520,DAVISHIGH6,CENTR,A,7,1,H,FALSE,1,8,,0
7520,DAVISHIGH6,CENTR,A,8,3,H,FALSE,1,7,,0
7520,DAVISHIGH6,CENTR,A,9,5,H,FALSE,1,6,,0
7520,DAVISHIGH6,CENTR,A,10,7,H,FALSE,1,5,,0
7520,DAVISHIGH6,CENTR,A,11,9,H,FALSE,1,4,,0
7520,DAVISHIGH6,CENTR,A,12,11,H,TRUE,1,3,,0
7520,DAVISHIGH6,CENTR,C,8,68,A,FALSE,3,8,,0
7520,DAVISHIGH6,CENTR,E,10,140,A,FALSE,5,6,,0
7520,DAVISHIGH6,CENTR,E,9,138,A,FALSE,5,7,,0
7520,DAVISHIGH6,CENTR,E,8,136,A,FALSE,5,8,,0
7520,DAVISHIGH6,CENTR,E,7,137,A,FALSE,5,9,,0
7520,DAVISHIGH6,CENTR,E,6,139,A,FALSE,5,10,,0
7520,DAVISHIGH6,CENTR,E,5,141,A,FALSE,5,11,,0
7520,DAVISHIGH6,CENTR,E,4,143,A,FALSE,5,12,,0
7520,DAVISHIGH6,CENTR,E,3,145,A,FALSE,5,13,,0
7520,DAVISHIGH6,CENTR,E,2,147,A,FALSE,5,14,,0
7520,DAVISHIGH6,CENTR,E,1,149,A,TRUE,5,15,,0
7520,DAVISHIGH6,CENTR,F,14,184,A,TRUE,6,2,,0
7520,DAVISHIGH6,CENTR,F,13,182,A,FALSE,6,3,,0
7520,DAVISHIGH6,CENTR,F,12,180,A,FALSE,6,4,,0
7520,DAVISHIGH6,CENTR,F,11,178,A,FALSE,6,5,,0
7520,DAVISHIGH6,CENTR,F,10,176,A,FALSE,6,6,,0
7520,DAVISHIGH6,CENTR,F,9,174,A,FALSE,6,7,,0
7520,DAVISHIGH6,CENTR,F,8,172,A,FALSE,6,8,,0
7520,DAVISHIGH6,CENTR,F,7,173,A,FALSE,6,9,,0
7520,DAVISHIGH6,CENTR,F,6,175,A,FALSE,6,10,,0
7520,DAVISHIGH6,CENTR,F,5,177,A,FALSE,6,11,,0
7520,DAVISHIGH6,CENTR,F,4,179,A,FALSE,6,12,,0
7520,DAVISHIGH6,CENTR,F,3,181,A,FALSE,6,13,,0
7520,DAVISHIGH6,CENTR,F,2,183,A,FALSE,6,14,,0
7520,DAVISHIGH6,CENTR,F,1,185,A,TRUE,6,15,,0
7520,DAVISHIGH6,CENTR,G,15,224,A,TRUE,7,2,,0
7520,DAVISHIGH6,CENTR,G,14,222,A,FALSE,7,3,,0
7520,DAVISHIGH6,CENTR,G,13,220,A,FALSE,7,4,,0
