VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,1,A,0,1,1,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,2,A,0,1,2,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,3,A,0,1,3,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,4,A,0,1,4,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,5,A,0,1,5,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,6,A,0,1,6,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,7,A,0,1,7,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,8,A,0,1,8,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,9,A,0,1,9,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,10,A,0,1,10,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,11,A,0,1,11,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,12,A,0,1,12,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,13,A,0,1,13,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,14,A,0,1,14,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,15,A,0,1,15,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,16,A,0,1,16,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,17,A,0,1,17,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,18,A,0,1,18,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,19,A,0,1,19,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,20,A,0,1,20,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,21,A,0,1,21,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,22,A,0,1,22,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,23,A,0,1,23,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,24,A,0,1,24,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,25,A,0,1,25,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,26,A,0,1,26,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,27,A,0,1,27,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,28,A,0,1,28,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,29,A,0,1,29,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,30,A,0,1,30,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,31,A,0,1,31,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,32,A,0,1,32,,0
4647,REGINALDLEWISMUSEUM1,GLD1,,GA,33,A,0,1,33,,0
