VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
4029,DIAMONDJOCASINO1,MAIN,A,28,27,A,1,1,4,,0
4029,DIAMONDJOCASINO1,MAIN,A,27,25,A,0,1,5,,0
4029,DIAMONDJOCASINO1,MAIN,A,26,23,A,0,1,6,,0
4029,DIAMONDJOCASINO1,MAIN,A,25,21,A,0,1,7,,0
4029,DIAMONDJOCASINO1,MAIN,A,24,19,A,0,1,8,,0
4029,DIAMONDJOCASINO1,MAIN,A,23,17,A,0,1,9,,0
4029,DIAMONDJOCASINO1,MAIN,A,22,15,A,0,1,10,,0
4029,DIAMONDJOCASINO1,MAIN,A,21,13,A,0,1,11,,0
4029,DIAMONDJOCASINO1,MAIN,A,20,11,A,0,1,12,,0
4029,DIAMONDJOCASINO1,MAIN,A,19,9,A,0,1,13,,0
4029,DIAMONDJOCASINO1,MAIN,A,18,7,A,0,1,14,,0
4029,DIAMONDJOCASINO1,MAIN,A,17,5,A,0,1,15,,0
4029,DIAMONDJOCASINO1,MAIN,A,16,3,A,0,1,16,,0
4029,DIAMONDJOCASINO1,MAIN,A,15,1,A,1,1,17,,0
4029,DIAMONDJOCASINO1,MAIN,A,14,2,A,1,1,20,,0
4029,DIAMONDJOCASINO1,MAIN,A,13,4,A,0,1,21,,0
4029,DIAMONDJOCASINO1,MAIN,A,12,6,A,0,1,22,,0
4029,DIAMONDJOCASINO1,MAIN,A,11,8,A,0,1,23,,0
4029,DIAMONDJOCASINO1,MAIN,A,10,10,A,0,1,24,,0
4029,DIAMONDJOCASINO1,MAIN,A,9,12,A,0,1,25,,0
4029,DIAMONDJOCASINO1,MAIN,A,8,14,A,0,1,26,,0
4029,DIAMONDJOCASINO1,MAIN,A,7,16,A,0,1,27,,0
4029,DIAMONDJOCASINO1,MAIN,A,6,18,A,0,1,28,,0
4029,DIAMONDJOCASINO1,MAIN,A,5,20,A,0,1,29,,0
4029,DIAMONDJOCASINO1,MAIN,A,4,22,A,0,1,30,,0
4029,DIAMONDJOCASINO1,MAIN,A,3,24,A,0,1,31,,0
4029,DIAMONDJOCASINO1,MAIN,A,2,26,A,0,1,32,,0
4029,DIAMONDJOCASINO1,MAIN,A,1,28,A,1,1,33,,0
4029,DIAMONDJOCASINO1,MAIN,B,28,55,A,1,2,4,,0
4029,DIAMONDJOCASINO1,MAIN,B,27,53,A,0,2,5,,0
4029,DIAMONDJOCASINO1,MAIN,B,26,51,A,0,2,6,,0
4029,DIAMONDJOCASINO1,MAIN,B,25,49,A,0,2,7,,0
4029,DIAMONDJOCASINO1,MAIN,B,24,47,A,0,2,8,,0
4029,DIAMONDJOCASINO1,MAIN,B,23,45,A,0,2,9,,0
4029,DIAMONDJOCASINO1,MAIN,B,22,43,A,0,2,10,,0
4029,DIAMONDJOCASINO1,MAIN,B,21,41,A,0,2,11,,0
4029,DIAMONDJOCASINO1,MAIN,B,20,39,A,0,2,12,,0
4029,DIAMONDJOCASINO1,MAIN,B,19,37,A,0,2,13,,0
4029,DIAMONDJOCASINO1,MAIN,B,18,35,A,0,2,14,,0
4029,DIAMONDJOCASINO1,MAIN,B,17,33,A,0,2,15,,0
4029,DIAMONDJOCASINO1,MAIN,B,16,31,A,0,2,16,,0
4029,DIAMONDJOCASINO1,MAIN,B,15,29,A,1,2,17,,0
4029,DIAMONDJOCASINO1,MAIN,B,14,30,A,1,2,20,,0
4029,DIAMONDJOCASINO1,MAIN,B,13,32,A,0,2,21,,0
4029,DIAMONDJOCASINO1,MAIN,B,12,34,A,0,2,22,,0
4029,DIAMONDJOCASINO1,MAIN,B,11,36,A,0,2,23,,0
4029,DIAMONDJOCASINO1,MAIN,B,10,38,A,0,2,24,,0
4029,DIAMONDJOCASINO1,MAIN,B,9,40,A,0,2,25,,0
4029,DIAMONDJOCASINO1,MAIN,B,8,42,A,0,2,26,,0
