VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
670,ATLANTACIVICCENTER1,ORCH1,Orchestra 1,1,A,Gold,Center
670,ATLANTACIVICCENTER1,ORCH2,Orchestra 2,1,A,Gold,Center
670,ATLANTACIVICCENTER1,ORCH3,Orchestra 3,1,A,Gold,Center
670,ATLANTACIVICCENTER1,ORCH4,Orchestra 4,1,A,Gold,Center
670,ATLANTACIVICCENTER1,ORCH5,Orchestra 5,1,A,Gold,Center
670,ATLANTACIVICCENTER1,LFTOR,Left Orchestra Rear,1,A,Gold,Center
670,ATLANTACIVICCENTER1,LCOR,Left Center Orchestra Rear,1,A,Gold,Center
670,ATLANTACIVICCENTER1,CTROR,Center Orchestra Rear,1,A,Gold,Center
670,ATLANTACIVICCENTER1,RCOR,Right Center Orchestra Rear,1,A,Gold,Center
670,ATLANTACIVICCENTER1,RGTOR,Right Orchestra Rear,1,A,Gold,Center
670,ATLANTACIVICCENTER1,LBOX,Left Box,1,A,Gold,Center
670,ATLANTACIVICCENTER1,RBOX,Right Box,1,A,Gold,Center
670,ATLANTACIVICCENTER1,LOGE1,Loge 1,1,A,Gold,Center
670,ATLANTACIVICCENTER1,LOGE2,Loge 2,1,A,Gold,Center
670,ATLANTACIVICCENTER1,LOGE3,Loge 3,1,A,Gold,Center
670,ATLANTACIVICCENTER1,LOGE4,Loge 4,1,A,Gold,Center
670,ATLANTACIVICCENTER1,LOGE5,Loge 5,1,A,Gold,Center
670,ATLANTACIVICCENTER1,LOGE6,Loge 6,1,A,Gold,Center
670,ATLANTACIVICCENTER1,LOGE7,Loge 7,1,A,Gold,Center
670,ATLANTACIVICCENTER1,DC1,Dress Circle 1,1,A,Gold,Center
670,ATLANTACIVICCENTER1,DC2,Dress Circle 2,1,A,Gold,Center
670,ATLANTACIVICCENTER1,DC3,Dress Circle 3,1,A,Gold,Center
670,ATLANTACIVICCENTER1,DC4,Dress Circle 4,1,A,Gold,Center
670,ATLANTACIVICCENTER1,DC5,Dress Circle 5,1,A,Gold,Center
670,ATLANTACIVICCENTER1,DC6,Dress Circle 6,1,A,Gold,Center
670,ATLANTACIVICCENTER1,DC7,Dress Circle 7,1,A,Gold,Center
670,ATLANTACIVICCENTER1,BALC2,Balcony 2,1,A,Gold,Center
670,ATLANTACIVICCENTER1,BALC3,Balcony 3,1,A,Gold,Center
670,ATLANTACIVICCENTER1,BALC4,Balcony 4,1,A,Gold,Center
670,ATLANTACIVICCENTER1,BALC5,Balcony 5,1,A,Gold,Center
670,ATLANTACIVICCENTER1,BALC6,Balcony 6,1,A,Gold,Center
670,ATLANTACIVICCENTER1,ADAL,ADA Left,1,H,ADABlack,Center
670,ATLANTACIVICCENTER1,ADAR,ADA Right,1,H,ADABlack,Center
