VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image
1953,CULLENTHEATER1,ADACC,K,W1,1050,H,1,1,1,
1953,CULLENTHEATER1,ADACC,P,W2,1051,H,0,1,2,
1953,CULLENTHEATER1,ADACC,P,W3,1052,H,0,1,3,
1953,CULLENTHEATER1,ADACC,P,W4,1053,H,0,1,4,
1953,CULLENTHEATER1,ADACC,P,W5,1054,H,0,1,5,
1953,CULLENTHEATER1,ADACC,P,W6,1055,H,0,1,6,
1953,CULLENTHEATER1,ADACC,P,W7,1056,H,0,1,7,
1953,CULLENTHEATER1,ADACC,P,W8,1057,H,0,1,8,
1953,CULLENTHEATER1,ADACC,P,W9,1058,H,0,1,9,
1953,CULLENTHEATER1,ADACC,P,W10,1059,H,1,1,10,
1953,CULLENTHEATER1,ADAFF,E,W7,1060,H,1,1,1,
1953,CULLENTHEATER1,ADAFF,E,W8,1061,H,0,1,2,
1953,CULLENTHEATER1,ADAFF,E,W9,1062,H,0,1,3,
1953,CULLENTHEATER1,ADAFF,E,W10,1063,H,0,1,4,
1953,CULLENTHEATER1,ADAFF,E,W11,1064,H,0,1,5,
1953,CULLENTHEATER1,ADAFF,E,W12,1065,H,1,1,6
1953,CULLENTHEATER1,SECAA,A,3,193,A,1,1,8
1953,CULLENTHEATER1,SECAA,A,2,191,A,0,1,9
1953,CULLENTHEATER1,SECAA,A,1,189,A,1,1,10
1953,CULLENTHEATER1,SECAA,B,5,139,A,1,2,6
1953,CULLENTHEATER1,SECAA,B,4,137,A,0,2,7
1953,CULLENTHEATER1,SECAA,B,3,135,A,0,2,8
1953,CULLENTHEATER1,SECAA,B,2,133,A,0,2,9
1953,CULLENTHEATER1,SECAA,B,1,131,A,1,2,10
1953,CULLENTHEATER1,SECAA,C,6,83,A,1,3,0
1953,CULLENTHEATER1,SECAA,C,5,81,A,0,3,1
1953,CULLENTHEATER1,SECAA,C,4,79,A,0,3,2
1953,CULLENTHEATER1,SECAA,C,3,77,A,0,3,3
1953,CULLENTHEATER1,SECAA,C,2,75,A,0,3,4
1953,CULLENTHEATER1,SECAA,C,1,73,A,1,3,5
1953,CULLENTHEATER1,SECAA,D,7,27,A,1,4,4
1953,CULLENTHEATER1,SECAA,D,6,25,A,0,4,5
1953,CULLENTHEATER1,SECAA,D,5,23,A,0,4,6
1953,CULLENTHEATER1,SECAA,D,4,21,A,0,4,7
1953,CULLENTHEATER1,SECAA,D,3,19,A,0,4,8
1953,CULLENTHEATER1,SECAA,D,2,17,A,0,4,9
1953,CULLENTHEATER1,SECAA,D,1,15,A,1,4,10
1953,CULLENTHEATER1,SECAA,E,8,57,A,1,5,3
1953,CULLENTHEATER1,SECAA,E,7,55,A,0,5,4
1953,CULLENTHEATER1,SECAA,E,6,53,A,0,5,5
1953,CULLENTHEATER1,SECAA,E,5,51,A,0,5,6
1953,CULLENTHEATER1,SECAA,E,4,49,A,0,5,7
1953,CULLENTHEATER1,SECAA,E,3,47,A,0,5,8
1953,CULLENTHEATER1,SECAA,E,2,45,A,0,5,9
1953,CULLENTHEATER1,SECAA,E,1,43,A,1,5,10
1953,CULLENTHEATER1,SECAA,F,9,115,A,1,6,2
1953,CULLENTHEATER1,SECAA,F,8,113,A,0,6,3
1953,CULLENTHEATER1,SECAA,F,7,111,A,0,6,4
1953,CULLENTHEATER1,SECAA,F,6,109,A,0,6,5
1953,CULLENTHEATER1,SECAA,F,5,107,A,0,6,6
1953,CULLENTHEATER1,SECAA,F,4,105,A,0,6,7
1953,CULLENTHEATER1,SECAA,F,3,103,A,0,6,8
1953,CULLENTHEATER1,SECAA,F,2,101,A,0,6,9
1953,CULLENTHEATER1,SECAA,F,1,99,A,1,6,10
