VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
2546,CADILLACPALACE1,VIP,ORCHESTRA VIP,1,A,BLUE,CENTER,,POLY,"148,169,222,169,222,93,208,96,164,96,147,93,147,93"
2546,CADILLACPALACE1,DRESC,DRESS CIRCLE CENTER,2,A,GOLD,CENTER,,POLY,"93,395,147,400,160,400,176,401,191,401,210,398,222,398,274,395,275,422,223,426,211,426,199,427,190,429,172,428,157,426,146,425,94,422,94,422"
2546,CADILLACPALACE1,DRESL,DRESS CIRCLE LEFT,3,A,GOLD,LEFT,,POLY,"60,383,78,392,79,417,52,411,12,377,34,317,34,283,47,273,59,278,58,281"
2546,CADILLACPALACE1,DRESR,DRESS CIRCLE RIGHT,4,A,GOLD,LEFT,,POLY,"307,383,290,392,291,000,000,000,000,000,000,000,000,000,000,000,000,000"
2546,CADILLACPALACE1,ORCHC,ORCHESTRA  CENTER,5,A,GREEN,CENTER,,POLY,###############################################################################################################################################################################################################################################################
2546,CADILLACPALACE1,ORCHL,ORCHESTRA LEFT,6,A,GREEN,LEFT,,POLY,"133,53,120,54,96,48,78,42,50,73,36,142,36,263,62,268,99,273,127,275,127,237,135,237,135,237"
2546,CADILLACPALACE1,ORCHR,ORCHESTRA RIGHT,7,A,GREEN,LEFT,,POLY,"234,53,251,54,268,52,295,42,322,77,336,147,336,263,317,267,295,271,277,273,253,274,243,274,243,237,234,237,234,237"
2546,CADILLACPALACE1,LOGEC,LOGE CENTER,8,A,ORANGE,CENTER,,POLY,"96,447,147,453,160,453,175,454,196,454,212,452,226,453,275,446,277,476,222,478,212,480,202,480,168,481,157,480,147,478,95,474"
2546,CADILLACPALACE1,LOGEL,LOGE LEFT,9,A,ORANGE,LEFT,,POLY,"84,445,82,471,34,451,6,431,12,404,42,427,42,427"
2546,CADILLACPALACE1,LOGER,LOGE RIGHT,10,A,ORANGE,LEFT,,POLY,"285,444,288,472,334,000,000,000,000,000,000,000,000,000"
2546,CADILLACPALACE1,BALFC,BALCONY FRONT CENTER,11,A,PURPLE,CENTER,,POLY,"96,502,147,509,161,509,178,511,201,511,212,509,277,503,276,569,210,575,158,574,96,570,96,570"
2546,CADILLACPALACE1,BALFL,BALCONY FRONT LEFT,12,A,PURPLE,LEFT,,POLY,"84,499,85,567,13,534,17,517,31,523,40,480,40,480"
2546,CADILLACPALACE1,BALFR,BALCONY FRONT RIGHT,13,A,PURPLE,LEFT,,POLY,"286,499,330,481,334,000,000,000,000,000,000,000,000,000"
2546,CADILLACPALACE1,BALMC,BALCONY MIDDLE CENTER,14,A,RED,CENTER,,POLY,"94,573,149,580,224,581,277,574,274,631,206,639,158,638,96,632,96,632"
2546,CADILLACPALACE1,BALML,BALCONY MIDDLE LEFT,15,A,RED,LEFT,,POLY,"82,630,83,601,65,592,65,566,5,540,4,601,4,600"
2546,CADILLACPALACE1,BALMR,BALCONY MIDDLE RIGHT,16,A,RED,LEFT,,POLY,"287,628,288,599,303,000,000,000,000,000,000,000,000,000"
2546,CADILLACPALACE1,BALRC,BALCONY REAR CENTER,17,A,YELLOW,CENTER,,POLY,"95,657,95,633,178,639,207,638,274,631,274,658,209,665,191,668,159,666,159,666"
2546,CADILLACPALACE1,BALRL,BALCONY REAR LEFT,18,A,YELLOW,LEFT,,POLY,"82,654,82,629,5,602,3,628,3,628"
2546,CADILLACPALACE1,BALRR,BALCONY REAR RIGHT,19,A,YELLOW,LEFT,,POLY,"286,629,365,604,366,000,000,000"
